LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ADDRESS,LEA_CITY,LEA_ZIP,CJJ,LEA_HSE_IND,LEA_HSEPART_HI_M,LEA_HSEPART_HI_F,LEA_HSEPART_AM_M,LEA_HSEPART_AM_F,LEA_HSEPART_AS_M,LEA_HSEPART_AS_F,LEA_HSEPART_HP_M,LEA_HSEPART_HP_F,LEA_HSEPART_BL_M,LEA_HSEPART_BL_F,LEA_HSEPART_WH_M,LEA_HSEPART_WH_F,LEA_HSEPART_TR_M,LEA_HSEPART_TR_F,TOT_HSEPART_M,TOT_HSEPART_F,LEA_HSEPART_EL_M,LEA_HSEPART_EL_F,LEA_HSEPART_IDEA_M,LEA_HSEPART_IDEA_F
"AL","ALABAMA","0100002","Alabama Youth Services","1000 Industrial School Road","Mt Meigs","36057","Yes","Yes",0,0,0,0,0,0,0,0,23,0,3,0,0,0,26,0,1,0,5,0
"AL","ALABAMA","0100005","Albertville City","8379 US 431","Albertville","35950","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100006","Marshall County","12380 US Highway 431 S","Guntersville","35976","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100007","Hoover City","2810 Metropolitan Way","Hoover","35243","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100008","Madison City","211 Celtic Drive","Madison","35758","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100009","Al Inst Deaf And Blind","205 E South Street","Talladega","35160","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100011","Leeds City","1517 Hurst Avenue","Leeds","35094","No","Yes",0,3,0,0,0,0,0,0,0,3,1,1,0,0,1,7,0,0,0,0
"AL","ALABAMA","0100012","Boaz City","126 Newt Parker Dr","Boaz","35957","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100013","Trussville City","113 North Chalkville Road","Trussville","35173","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100030","Alexander City","375 Lee Street","Alexander City","35010","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100033","Glenwood Mental Health Service","150 Glenwood Lane","Birmingham","35242","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100060","Andalusia City","1201 C C Baker Avenue","Andalusia","36421","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100090","Anniston City","4804 McClellan Boulevard","Anniston","36206","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100100","Arab City","241 South Main Street","Arab","35016","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100120","Athens City","455 US Highway 31 North","Athens","35611","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100180","Attalla City","101 Case Ave","Attalla","35954","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100185","Saraland City","4010 Lil Spartan Drive","Saraland","36571","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100188","Chickasaw City","201 N Craft HWY","Chickasaw","36611","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100189","Satsuma City","220 Baker Road","Satsuma","36572","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100190","Alabaster City","10111 Highway 119","Alabaster","35007","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100194","Pelham City","3160 Pelham Parkway","Pelham","35124","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100195","Pike Road City","PO Box 640064","Pike Road","36064","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100197","Acceleration Day and Evening Academy","3100 Cottage Hill Road Bldg 3","Mobile","36606","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100199","University Charter School","108 North Street","Livingston","35470","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100201","Legacy Prep","1500 Daniel Payne Drive","Birmingham","35214","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100202","Gulf Shores City","300 East 16th Ave","Gulf Shores","36542","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100203","LEAD Academy","2897 Eastern Blvd","Montgomery","36116","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100204","i3 Academy","55th Place 1st Avenue South","Birmingham","35212","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100210","Auburn City","855 E Samford Ave","Auburn","36830","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100211","Magic City Acceptance Academy","75 Bagby Drive","Homewood","35209","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100240","Autauga County","153 W 4th St","Prattville","36067","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100270","Baldwin County","2600 North Hand Ave","Bay Minette","36507","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100300","Barbour County","168 Western Bypass","Clayton","36016","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100330","Bessemer City","1621 5th Avenue North","Bessemer","35020","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100360","Bibb County","721 Walnut Street","Centreville","35042","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
