lea_state,leaid,lea_name,pct_fte_cert,n_schools
CT,0900002,Connecticut Technical Education and Career System,0.9723783141514636,18
CT,0900005,Regional School District 19,0.9791666666666666,1
CT,0900007,Jumoke Academy District,0.7142857142857143,1
CT,0900009,Odyssey Community School District,1,1
CT,0900010,Integrated Day Charter School District,1,1
CT,0900011,Interdistrict School for Arts and Comm District,0.9629629629629629,1
CT,0900014,Common Ground High School District,0.9288135593220338,1
CT,0900015,The Bridge Academy District,1,1
CT,0900016,Side By Side Charter School District,1,1
CT,0900018,Explorations District,1,1
CT,0900024,Amistad Academy District,0.9624060150375939,1
CT,0900028,New Beginnings Inc Family Academy District,0.7894736842105263,1
CT,0900030,Andover School District,1,1
CT,0900033,Park City Prep Charter School District,1,1
CT,0900060,Ansonia School District,1,6
CT,0900070,Area Cooperative Educational Services,0.9726005783465715,11
CT,0900090,Ashford School District,1,1
CT,0900120,Avon School District,1,5
CT,0900150,Barkhamsted School District,1,2
CT,0900207,Highville Charter School District,0.5675675675675675,1
CT,0900208,Achievement First Bridgeport Academy District,0.9384615384615385,1
CT,0900210,Berlin School District,1,6
CT,0900212,Achievement First Hartford Academy District,0.961038961038961,1
CT,0900214,Elm City College Preparatory School District,1,1
CT,0900215,Brass City Charter School District,0.8805970149253731,1
CT,0900216,Elm City Montessori School District,1,1
CT,0900217,Booker T. Washington Academy District,0.9615384615384616,1
CT,0900219,Great Oaks Charter School District,0.8974358974358975,1
CT,0900220,Stamford Charter School for Excellence District,0.9523809523809523,1
CT,0900221,Capital Preparatory Harbor School District,0.6122448979591837,1
CT,0900226,Goodwin University Educational Services (GUES),1,2
CT,0900240,Bethany School District,1,1
CT,0900270,Bethel School District,1,6
CT,0900330,Bloomfield School District,1,7
CT,0900360,Bolton School District,1,3
CT,0900390,Bozrah School District,1,1
CT,0900420,Branford School District,1,7
CT,0900450,Bridgeport School District,0.961892247043364,39
CT,0900510,Bristol School District,1,13
CT,0900540,Brookfield School District,1,4
CT,0900570,Brooklyn School District,1,2
CT,0900630,Canaan School District,1,1
CT,0900660,Canterbury School District,1,2
CT,0900690,Canton School District,1,4
CT,0900700,Capitol Region Education Council,0.9958679963162526,20
CT,0900720,Chaplin School District,1,1
CT,0900750,Cheshire School District,1,11
CT,0900780,Chester School District,1,1
CT,0900810,Clinton School District,1,3
CT,0900840,Colchester School District,1,5
CT,0900870,Colebrook School District,1,1
CT,0900900,Columbia School District,1,1
CT,0900910,Cooperative Educational Services,0.8761061946902655,7
CT,0900930,Cornwall School District,1,1
CT,0900960,Coventry School District,1,6
CT,0900990,Cromwell School District,0.9940546966481497,4
CT,0901020,Danbury School District,1,19
CT,0901050,Darien School District,1,7
CT,0901080,Deep River School District,1,1
CT,0901110,Derby School District,1,5
CT,0901170,East Granby School District,1,4
CT,0901200,East Haddam School District,1,3
CT,0901230,East Hampton School District,1,5
CT,0901260,East Hartford School District,1,15
CT,0901290,East Haven School District,0.9388489210832772,8
CT,0901320,East Lyme School District,1,7
CT,0901350,East Windsor School District,1,3
CT,0901360,Eastern Connecticut Regional Educational Service Center (EAS,1,3
CT,0901380,Eastford School District,0.9766763848396502,1
CT,0901410,Easton School District,1,2
CT,0901440,Ellington School District,1,8
CT,0901470,Enfield School District,1,22
CT,0901500,Essex School District,1,1
CT,0901530,Fairfield School District,1,17
CT,0901560,Farmington School District,0.9928039115723565,8
CT,0901590,Franklin School District,1,1
CT,0901620,Glastonbury School District,1,10
CT,0901680,Granby School District,1,4
CT,0901710,Greenwich School District,0.9609929078014184,16
CT,0901740,Griswold School District,1,4
CT,0901770,Groton School District,1,7
CT,0901800,Guilford School District,1,7
CT,0901860,Hamden School District,1,19
CT,0901890,Hampton School District,1,1
CT,0901920,Hartford School District,0.9799822920429747,39
CT,0901950,Hartland School District,1,1
CT,0902010,Hebron School District,1,2
CT,0902040,Kent School District,1,1
CT,0902070,Killingly School District,1,4
CT,0902130,Lebanon School District,1,3
CT,0902160,Ledyard School District,1,6
CT,0902190,Lisbon School District,1,1
CT,0902220,Litchfield School District,1,4
CT,0902280,Madison School District,1,6
CT,0902310,Manchester School District,1,15
CT,0902340,Mansfield School District,1,4
CT,0902370,Marlborough School District,1,1
CT,0902400,Meriden School District,1,13
CT,0902490,Middletown School District,1,10
CT,0902520,Milford School District,1,14
CT,0902550,Monroe School District,1,7
CT,0902580,Montville School District,1,5
CT,0902640,Naugatuck School District,0.9935691318327974,9
CT,0902670,New Britain School District,1,29
CT,0902700,New Canaan School District,1,5
CT,0902730,New Fairfield School District,1,4
CT,0902760,New Hartford School District,1,3
CT,0902790,New Haven School District,0.9842209072978304,38
CT,0902820,New London School District,0.9667673716012085,6
CT,0902850,New Milford School District,1,5
CT,0902880,Newington School District,1,7
CT,0902910,Newtown School District,0.9972785412833232,9
CT,0902940,Norfolk School District,1,1
CT,0902970,North Branford School District,0.99375,4
CT,0903000,North Canaan School District,1,1
CT,0903030,North Haven School District,1,6
CT,0903060,North Stonington School District,1,2
CT,0903090,Norwalk School District,0.94611488289508,21
CT,0903120,Norwich School District,0.9930555555073303,11
CT,0903180,Old Saybrook School District,1,3
CT,0903210,Orange School District,1,4
CT,0903240,Oxford School District,1,4
CT,0903270,PLAINFIELD SCHOOL DISTRICT,0.9463098329134952,6
CT,0903300,Plainville School District,1,5
