"Student Counts by District and Year"
"All Districts"
"2024-25"

"District","District Code","Count"
"Achievement First Bridgeport Academy District","=""2850013""",1090
"Achievement First Hartford Academy District","=""2880013""",907
"Amistad Academy District","=""2790013""",1105
"Andover School District","=""0010011""",239
"Ansonia School District","=""0020011""",2404
"Area Cooperative Educational Services","=""2440014""",1726
"Ashford School District","=""0030011""",351
"Avon School District","=""0040011""",3092
"Barkhamsted School District","=""0050011""",227
"Berlin School District","=""0070011""",2634
"Bethany School District","=""0080011""",430
"Bethel School District","=""0090011""",3227
"Bloomfield School District","=""0110011""",1897
"Bolton School District","=""0120011""",688
"Booker T. Washington Academy District","=""2950013""",404
"Bozrah School District","=""0130011""",180
"Branford School District","=""0140011""",2567
"Brass City Charter School District","=""2900013""",401
"Bridgeport School District","=""0150011""",20022
"Bristol School District","=""0170011""",7713
"Brookfield School District","=""0180011""",2542
"Brooklyn School District","=""0190011""",852
"Canaan School District","=""0210011""",70
"Canterbury School District","=""0220011""",512
"Canton School District","=""0230011""",1439
"Capital Preparatory Harbor School District","=""2970013""",775
"Capitol Region Education Council","=""2410014""",9091
"Chaplin School District","=""0240011""",150
"Cheshire School District","=""0250011""",4317
"Chester School District","=""0260011""",198
"Clinton School District","=""0270011""",1426
"Colchester School District","=""0280011""",2101
"Colebrook School District","=""0290011""",61
"Columbia School District","=""0300011""",444
"Common Ground High School District","=""2680013""",221
"Connecticut Technical Education and Career System","=""9000016""",11296
"Cooperative Educational Services","=""2430014""",757
"Cornwall School District","=""0310011""",86
"Coventry School District","=""0320011""",1612
"Cromwell School District","=""0330011""",1841
"Danbury School District","=""0340011""",11956
"Darien School District","=""0350011""",4673
"Deep River School District","=""0360011""",189
"Department of Mental Health and Addiction Services","=""""","*"
"Derby School District","=""0370011""",1311
"East Granby School District","=""0400011""",880
"East Haddam School District","=""0410011""",954
"East Hampton School District","=""0420011""",1676
"East Hartford School District","=""0430011""",6504
"East Haven School District","=""0440011""",2857
"East Lyme School District","=""0450011""",2500
"East Windsor School District","=""0470011""",1035
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",367
"Eastford School District","=""0390011""",173
"Easton School District","=""0460011""",894
"EdAdvance","=""2420014""",263
"Ellington School District","=""0480011""",2526
"Elm City College Preparatory School District","=""2890013""",760
"Elm City Montessori School District","=""2910013""",312
"Enfield School District","=""0490011""",4694
"Essex School District","=""0500011""",308
"Explorations District","=""2720013""",77
"Fairfield School District","=""0510011""",9139
"Farmington School District","=""0520011""",4195
"Franklin School District","=""0530011""",188
"Glastonbury School District","=""0540011""",5696
"Goodwin University Educational Services (GUES)","=""2310018""",1223
"Granby School District","=""0560011""",1709
"Great Oaks Charter School District","=""2940013""",662
"Greenwich School District","=""0570011""",8465
"Griswold School District","=""0580011""",1823
"Groton School District","=""0590011""",4009
"Guilford School District","=""0600011""",3080
"Hamden School District","=""0620011""",5464
"Hampton School District","=""0630011""",74
"Hartford School District","=""0640011""",16434
"Hartland School District","=""0650011""",123
"Hebron School District","=""0670011""",681
"Highville Charter School District","=""2860013""",499
"Integrated Day Charter School District","=""2640013""",364
"Interdistrict School for Arts and Comm District","=""2650013""",328
"Jumoke Academy District","=""2610013""",571
"Kent School District","=""0680011""",180
"Killingly School District","=""0690011""",2392
"Learn","=""2450014""",1390
"Lebanon School District","=""0710011""",968
"Ledyard School District","=""0720011""",2347
"Lisbon School District","=""0730011""",422
"Madison School District","=""0760011""",2445
"Manchester School District","=""0770011""",6122
"Mansfield School District","=""0780011""",966
"Marlborough School District","=""0790011""",458
"Meriden School District","=""0800011""",8707
"Middletown School District","=""0830011""",4394
"Milford School District","=""0840011""",5218
"Monroe School District","=""0850011""",3458
"Montville School District","=""0860011""",2001
"Naugatuck School District","=""0880011""",4095
"New Beginnings Inc Family Academy District","=""2800013""",431
"New Britain School District","=""0890011""",10038
"New Canaan School District","=""0900011""",4060
"New Fairfield School District","=""0910011""",2123
"New Hartford School District","=""0920011""",433
"New Haven School District","=""0930011""",18817
"New London School District","=""0950011""",2918
"New Milford School District","=""0960011""",3532
"Newington School District","=""0940011""",3855
"Newtown School District","=""0970011""",3924
"Norfolk School District","=""0980011""",61
"North Branford School District","=""0990011""",1546
"North Canaan School District","=""1000011""",245
"North Haven School District","=""1010011""",3214
"North Stonington School District","=""1020011""",726
"Norwalk School District","=""1030011""",11473
"Norwich Free Academy District","=""9010022""",2097
"Norwich School District","=""1040011""",3291
"Odyssey Community School District","=""2630013""",410
"Old Saybrook School District","=""1060011""",1030
"Orange School District","=""1070011""",1254
"Oxford School District","=""1080011""",1622
"Park City Prep Charter School District","=""2830013""",434
"Plainfield School District","=""1090011""",1886
"Plainville School District","=""1100011""",2223
"Plymouth School District","=""1110011""",1244
"Pomfret School District","=""1120011""",333
"Portland School District","=""1130011""",1250
"Preston School District","=""1140011""",432
"Putnam School District","=""1160011""",1176
"Redding School District","=""1170011""",855
"Regional School District 01","=""2010012""",356
"Regional School District 04","=""2040012""",646
"Regional School District 05","=""2050012""",2138
"Regional School District 07","=""2070012""",818
"Regional School District 08","=""2080012""",1075
"Regional School District 09","=""2090012""",712
"Regional School District 10","=""2100012""",2140
"Regional School District 11","=""2110012""",194
"Regional School District 12","=""2120012""",798
"Regional School District 13","=""2130012""",1339
"Regional School District 14","=""2140012""",1561
"Regional School District 15","=""2150012""",3368
"Regional School District 16","=""2160012""",1898
"Regional School District 17","=""2170012""",1716
"Regional School District 18","=""2180012""",1281
"Regional School District 19","=""2190012""",1061
"Regional School District 20","=""2200012""",1619
"Ridgefield School District","=""1180011""",4484
"Rocky Hill School District","=""1190011""",2539
"Salem School District","=""1210011""",392
"Salisbury School District","=""1220011""",288
"Scotland School District","=""1230011""",96
"Seymour School District","=""1240011""",2103
"Sharon School District","=""1250011""",97
"Shelton School District","=""1260011""",4518
"Sherman School District","=""1270011""",231
"Side By Side Charter School District","=""2700013""",236
"Simsbury School District","=""1280011""",4127
"Somers School District","=""1290011""",1347
"South Windsor School District","=""1320011""",5125
"Southington School District","=""1310011""",6200
"Sprague School District","=""1330011""",265
"Stafford School District","=""1340011""",1266
"Stamford Charter School for Excellence District","=""2960013""",543
"Stamford School District","=""1350011""",16185
"Sterling School District","=""1360011""",310
"Stonington School District","=""1370011""",1722
"Stratford School District","=""1380011""",6578
"Suffield School District","=""1390011""",2027
"The Bridge Academy District","=""2690013""",281
"The Gilbert School District","=""9020022""",452
"The Woodstock Academy District","=""9030022""",1022
"Thomaston School District","=""1400011""",777
"Thompson School District","=""1410011""",826
"Tolland School District","=""1420011""",2144
"Torrington School District","=""1430011""",3911
"Trumbull School District","=""1440011""",6943
"Unified School District #1","=""3360015""",145
"Unified School District #2","=""3470015""",80
"Union School District","=""1450011""","*"
"Vernon School District","=""1460011""",3236
"Voluntown School District","=""1470011""",217
"Wallingford School District","=""1480011""",5241
"Waterbury School District","=""1510011""",18776
"Waterford School District","=""1520011""",2281
"Watertown School District","=""1530011""",2528
"West Hartford School District","=""1550011""",9128
"West Haven School District","=""1560011""",5950
"Westbrook School District","=""1540011""",592
"Weston School District","=""1570011""",2101
"Westport School District","=""1580011""",5281
"Wethersfield School District","=""1590011""",3471
"Willington School District","=""1600011""",376
"Wilton School District","=""1610011""",3782
"Winchester School District","=""1620011""",599
"Windham School District","=""1630011""",3153
"Windsor Locks School District","=""1650011""",1448
"Windsor School District","=""1640011""",3266
"Wolcott School District","=""1660011""",2100
"Woodbridge School District","=""1670011""",862
"Woodstock School District","=""1690011""",756
"Total","=""""",508402

