"Four-Year Graduation Rates, 2023-24"
"All Districts, All Students"

"",,,"Graduates",
"District","District Code","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Achievement First Bridgeport Academy District","=""2850013""",48,43,89.6
"Achievement First Hartford Academy District","=""2880013""",68,56,82.4
"Amistad Academy District","=""2790013""",63,57,90.5
"Ansonia School District","=""0020011""",161,138,85.7
"Avon School District","=""0040011""",222,210,94.6
"Berlin School District","=""0070011""",199,189,95.0
"Bethel School District","=""0090011""",247,232,93.9
"Bloomfield School District","=""0110011""",150,125,83.3
"Bolton School District","=""0120011""",52,49,94.2
"Branford School District","=""0140011""",216,197,91.2
"Bridgeport School District","=""0150011""",1491,1120,75.1
"Bristol School District","=""0170011""",618,562,90.9
"Brookfield School District","=""0180011""",227,214,94.3
"Canton School District","=""0230011""",114,104,91.2
"Capital Preparatory Harbor School District","=""2970013""",40,38,95.0
"Capitol Region Education Council","=""2410014""",461,417,90.5
"Cheshire School District","=""0250011""",294,276,93.9
"Clinton School District","=""0270011""",121,115,95.0
"Colchester School District","=""0280011""",154,145,94.2
"Common Ground High School District","=""2680013""",51,37,72.5
"Connecticut Technical Education and Career System","=""9000016""",2592,2517,97.1
"Coventry School District","=""0320011""",102,97,95.1
"Cromwell School District","=""0330011""",139,131,94.2
"Danbury School District","=""0340011""",924,702,76.0
"Darien School District","=""0350011""",328,318,97.0
"Derby School District","=""0370011""",112,87,77.7
"East Granby School District","=""0400011""",51,48,94.1
"East Haddam School District","=""0410011""",67,62,92.5
"East Hampton School District","=""0420011""",148,144,97.3
"East Hartford School District","=""0430011""",499,422,84.6
"East Haven School District","=""0440011""",241,199,82.6
"East Lyme School District","=""0450011""",249,235,94.4
"East Windsor School District","=""0470011""",59,51,86.4
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",46,38,82.6
"Ellington School District","=""0480011""",196,183,93.4
"Elm City College Preparatory School District","=""2890013""",52,40,76.9
"Enfield School District","=""0490011""",411,369,89.8
"Explorations District","=""2720013""",23,15,65.2
"Fairfield School District","=""0510011""",818,775,94.7
"Farmington School District","=""0520011""",304,292,96.1
"Glastonbury School District","=""0540011""",440,426,96.8
"Goodwin University Educational Services (GUES)","=""2310018""",105,86,81.9
"Granby School District","=""0560011""",144,136,94.4
"Great Oaks Charter School District","=""2940013""",66,49,74.2
"Greenwich School District","=""0570011""",652,627,96.2
"Griswold School District","=""0580011""",123,102,82.9
"Groton School District","=""0590011""",267,235,88.0
"Guilford School District","=""0600011""",271,261,96.3
"Hamden School District","=""0620011""",476,402,84.5
"Hartford School District","=""0640011""",1273,1001,78.6
"Highville Charter School District","=""2860013""",17,14,"*"
"Killingly School District","=""0690011""",151,129,85.4
"Learn","=""2450014""",104,101,97.1
"Lebanon School District","=""0710011""",83,69,83.1
"Ledyard School District","=""0720011""",193,182,94.3
"Litchfield School District","=""0740011""",61,59,96.7
"Madison School District","=""0760011""",212,202,95.3
"Manchester School District","=""0770011""",439,368,83.8
"Meriden School District","=""0800011""",637,545,85.6
"Middletown School District","=""0830011""",320,288,90.0
"Milford School District","=""0840011""",432,398,92.1
"Monroe School District","=""0850011""",265,254,95.8
"Montville School District","=""0860011""",119,106,89.1
"Naugatuck School District","=""0880011""",345,302,87.5
"New Britain School District","=""0890011""",661,469,71.0
"New Canaan School District","=""0900011""",316,304,96.2
"New Fairfield School District","=""0910011""",182,176,96.7
"New Haven School District","=""0930011""",1520,1102,72.5
"New London School District","=""0950011""",237,186,78.5
"New Milford School District","=""0960011""",328,284,86.6
"Newington School District","=""0940011""",339,322,95.0
"Newtown School District","=""0970011""",345,336,97.4
"North Branford School District","=""0990011""",101,99,98.0
"North Haven School District","=""1010011""",233,218,93.6
"North Stonington School District","=""1020011""",47,44,93.6
"Norwalk School District","=""1030011""",1017,942,92.6
"Norwich Free Academy District","=""9010022""",535,478,89.3
"Old Saybrook School District","=""1060011""",82,78,95.1
"Oxford School District","=""1080011""",133,125,94.0
"Plainfield School District","=""1090011""",136,110,80.9
"Plainville School District","=""1100011""",171,160,93.6
"Plymouth School District","=""1110011""",107,101,94.4
"Portland School District","=""1130011""",74,63,85.1
"Putnam School District","=""1160011""",58,54,93.1
"Regional School District 01","=""2010012""",58,55,94.8
"Regional School District 04","=""2040012""",142,136,95.8
"Regional School District 05","=""2050012""",349,337,96.6
"Regional School District 06","=""2060012""",92,91,98.9
"Regional School District 07","=""2070012""",127,125,98.4
"Regional School District 08","=""2080012""",219,207,94.5
"Regional School District 09","=""2090012""",194,184,94.8
"Regional School District 10","=""2100012""",149,145,97.3
"Regional School District 11","=""2110012""",11,11,"*"
"Regional School District 12","=""2120012""",78,74,94.9
"Regional School District 13","=""2130012""",91,86,94.5
"Regional School District 14","=""2140012""",158,152,96.2
"Regional School District 15","=""2150012""",267,259,97.0
"Regional School District 16","=""2160012""",149,139,93.3
"Regional School District 17","=""2170012""",138,133,96.4
"Regional School District 18","=""2180012""",109,104,95.4
"Regional School District 19","=""2190012""",271,254,93.7
"Ridgefield School District","=""1180011""",365,350,95.9
"Rocky Hill School District","=""1190011""",179,170,95.0
"Seymour School District","=""1240011""",140,121,86.4
"Shelton School District","=""1260011""",319,292,91.5
"Simsbury School District","=""1280011""",317,305,96.2
"Somers School District","=""1290011""",114,105,92.1
"South Windsor School District","=""1320011""",318,309,97.2
"Southington School District","=""1310011""",492,449,91.3
"Stafford School District","=""1340011""",103,101,98.1
"Stamford School District","=""1350011""",1329,1056,79.5
"Stonington School District","=""1370011""",137,128,93.4
"Stratford School District","=""1380011""",616,560,90.9
"Suffield School District","=""1390011""",199,192,96.5
"The Bridge Academy District","=""2690013""",40,37,92.5
"The Gilbert School District","=""9020022""",63,53,84.1
"The Woodstock Academy District","=""9030022""",237,227,95.8
"Thomaston School District","=""1400011""",45,43,95.6
"Thompson School District","=""1410011""",60,54,90.0
"Tolland School District","=""1420011""",188,183,97.3
"Torrington School District","=""1430011""",271,207,76.4
"Trumbull School District","=""1440011""",554,529,95.5
"Unified School District #1","=""3360015""",46,"*","*"
"Vernon School District","=""1460011""",252,224,88.9
"Wallingford School District","=""1480011""",416,378,90.9
"Waterbury School District","=""1510011""",1263,1082,85.7
"Waterford School District","=""1520011""",177,161,91.0
"Watertown School District","=""1530011""",203,177,87.2
"West Hartford School District","=""1550011""",745,687,92.2
"West Haven School District","=""1560011""",518,459,88.6
"Westbrook School District","=""1540011""",51,48,94.1
"Weston School District","=""1570011""",182,174,95.6
"Westport School District","=""1580011""",427,409,95.8
"Wethersfield School District","=""1590011""",273,259,94.9
"Wilton School District","=""1610011""",314,307,97.8
"Windham School District","=""1630011""",163,130,79.8
"Windsor Locks School District","=""1650011""",106,94,88.7
"Windsor School District","=""1640011""",297,253,85.2
"Wolcott School District","=""1660011""",164,148,90.2

