"Smarter Balanced Assessments, 2024-25"
"All Districts, ELA and Math, All Grades, All Students"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","Subject","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Average VSS"
"Achievement First Bridgeport Academy District","=""2850013""","03","ELA",92,91,98.9,91,45,49.5,20,22.0,17,18.7,9,9.9,26,28.6,2374
,,,"Math",92,91,98.9,91,30,33.0,21,23.1,26,28.6,14,15.4,40,44.0,2417
,,"04","ELA",88,88,100.0,88,33,37.5,22,25.0,21,23.9,12,13.6,33,37.5,2448
,,,"Math",88,87,98.9,87,32,36.8,29,33.3,18,20.7,8,9.2,26,29.9,2447
,,"05","ELA",87,86,98.9,86,52,60.5,"*","*",17,19.8,"*","*","*","*",2425
,,,"Math",87,86,98.9,86,71,82.6,9,10.5,"*","*","*","*",6,7.0,2399
,,"06","ELA",87,87,100.0,87,29,33.3,"*","*",30,34.5,"*","*","*","*",2501
,,,"Math",86,86,100.0,86,38,44.2,31,36.0,11,12.8,6,7.0,17,19.8,2470
,,"07","ELA",86,86,100.0,86,21,24.4,30,34.9,26,30.2,9,10.5,35,40.7,2539
,,,"Math",86,85,98.8,85,51,60.0,24,28.2,"*","*","*","*",10,11.8,2457
,,"08","ELA",89,89,100.0,89,17,19.1,26,29.2,36,40.4,10,11.2,46,51.7,2564
,,,"Math",89,87,97.8,86,51,59.3,19,22.1,"*","*","*","*",16,18.6,2480
"Achievement First Hartford Academy District","=""2880013""","03","ELA",67,67,100.0,67,16,23.9,23,34.3,14,20.9,14,20.9,28,41.8,2420
,,,"Math",67,66,98.5,66,22,33.3,16,24.2,20,30.3,8,12.1,28,42.4,2416
,,"04","ELA",63,63,100.0,63,17,27.0,11,17.5,12,19.0,23,36.5,35,55.6,2483
,,,"Math",63,63,100.0,63,19,30.2,15,23.8,18,28.6,11,17.5,29,46.0,2466
,,"05","ELA",72,70,97.2,70,30,42.9,16,22.9,14,20.0,10,14.3,24,34.3,2471
,,,"Math",72,70,97.2,69,42,60.9,16,23.2,"*","*","*","*",11,15.9,2453
