"Per Pupil Expenditures by Function (District), 2023-24"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"Achievement First Bridgeport Academy District","=""2850013""","Instruction","$9,190,429",1098,1,"$8,370"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - students","$1,180,418",1098,2,"$1,075"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - instruction","$270,494",1098,2,"$246"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - general administration","$0",1098,2,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - school based administration","$2,204,097",1098,2,"$2,007"
"Achievement First Bridgeport Academy District","=""2850013""","Central and other support services","$2,149,569",1098,2,"$1,958"
"Achievement First Bridgeport Academy District","=""2850013""","Operation and maintenance of plant","$749,111",1098,2,"$682"
"Achievement First Bridgeport Academy District","=""2850013""","Student transportation services","$304,757",485,3,"$628"
"Achievement First Bridgeport Academy District","=""2850013""","Food services","$0",1098,2,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Enterprise operations","$0",1098,2,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Minor school construction","N/A","N/A","N/A","N/A"
"Achievement First Bridgeport Academy District","=""2850013""","Total","$16,048,875",1098,1,"$14,616"
"Achievement First Hartford Academy District","=""2880013""","Instruction","$9,550,873",961,1,"$9,938"
"Achievement First Hartford Academy District","=""2880013""","Support services - students","$1,420,812",961,2,"$1,478"
"Achievement First Hartford Academy District","=""2880013""","Support services - instruction","$483,327",961,2,"$503"
"Achievement First Hartford Academy District","=""2880013""","Support services - general administration","$0",961,2,"$0"
"Achievement First Hartford Academy District","=""2880013""","Support services - school based administration","$2,892,064",961,2,"$3,009"
"Achievement First Hartford Academy District","=""2880013""","Central and other support services","$2,489,165",961,2,"$2,590"
"Achievement First Hartford Academy District","=""2880013""","Operation and maintenance of plant","$127,416",961,2,"$133"
"Achievement First Hartford Academy District","=""2880013""","Student transportation services","$34,596",961,3,"$36"
"Achievement First Hartford Academy District","=""2880013""","Food services","$0",961,2,"$0"
"Achievement First Hartford Academy District","=""2880013""","Enterprise operations","$0",961,2,"$0"
"Achievement First Hartford Academy District","=""2880013""","Minor school construction","N/A","N/A","N/A","N/A"
"Achievement First Hartford Academy District","=""2880013""","Total","$16,998,253",961,1,"$17,688"
"Amistad Academy District","=""2790013""","Instruction","$9,402,589",1125,1,"$8,358"
"Amistad Academy District","=""2790013""","Support services - students","$1,277,626",1125,2,"$1,136"
"Amistad Academy District","=""2790013""","Support services - instruction","$292,121",1125,2,"$260"
"Amistad Academy District","=""2790013""","Support services - general administration","$0",1125,2,"$0"
"Amistad Academy District","=""2790013""","Support services - school based administration","$2,296,665",1125,2,"$2,041"
"Amistad Academy District","=""2790013""","Central and other support services","$1,923,809",1125,2,"$1,710"
"Amistad Academy District","=""2790013""","Operation and maintenance of plant","$835,979",1125,2,"$743"
"Amistad Academy District","=""2790013""","Student transportation services","$273,263",1200,3,"$228"
"Amistad Academy District","=""2790013""","Food services","$0",1125,2,"$0"
"Amistad Academy District","=""2790013""","Enterprise operations","$0",1125,2,"$0"
"Amistad Academy District","=""2790013""","Minor school construction","N/A","N/A","N/A","N/A"
"Amistad Academy District","=""2790013""","Total","$16,302,052",1125,1,"$14,491"
"Andover School District","=""0010011""","Instruction","$3,041,107",207,1,"$14,691"
"Andover School District","=""0010011""","Support services - students","$199,087",205,2,"$971"
"Andover School District","=""0010011""","Support services - instruction","$204,779",205,2,"$999"
"Andover School District","=""0010011""","Support services - general administration","$143,362",205,2,"$699"
"Andover School District","=""0010011""","Support services - school based administration","$211,463",205,2,"$1,032"
"Andover School District","=""0010011""","Central and other support services","$153,513",205,2,"$749"
"Andover School District","=""0010011""","Operation and maintenance of plant","$476,000",205,2,"$2,322"
"Andover School District","=""0010011""","Student transportation services","$126,505",210,3,"$602"
"Andover School District","=""0010011""","Food services","$0",205,2,"$0"
"Andover School District","=""0010011""","Enterprise operations","$6,150",205,2,"$30"
"Andover School District","=""0010011""","Minor school construction","N/A","N/A","N/A","N/A"
"Andover School District","=""0010011""","Total","$4,561,966",207,1,"$22,038"
"Ansonia School District","=""0020011""","Instruction","$35,893,502",2567,1,"$13,983"
"Ansonia School District","=""0020011""","Support services - students","$2,285,642",2377,2,"$962"
"Ansonia School District","=""0020011""","Support services - instruction","$386,807",2377,2,"$163"
"Ansonia School District","=""0020011""","Support services - general administration","$1,187,918",2377,2,"$500"
"Ansonia School District","=""0020011""","Support services - school based administration","$2,559,404",2377,2,"$1,077"
"Ansonia School District","=""0020011""","Central and other support services","$1,512,141",2377,2,"$636"
"Ansonia School District","=""0020011""","Operation and maintenance of plant","$3,552,608",2377,2,"$1,495"
"Ansonia School District","=""0020011""","Student transportation services","$3,275,109",1474,3,"$2,222"
"Ansonia School District","=""0020011""","Food services","$0",2377,2,"$0"
"Ansonia School District","=""0020011""","Enterprise operations","$350,949",2377,2,"$148"
"Ansonia School District","=""0020011""","Minor school construction","N/A","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","Total","$51,004,081",2567,1,"$19,869"
"Area Cooperative Educational Services","=""2440014""","Instruction","$44,941,395",1995,1,"$22,527"
"Area Cooperative Educational Services","=""2440014""","Support services - students","$18,486,268",1995,2,"$9,266"
"Area Cooperative Educational Services","=""2440014""","Support services - instruction","$2,068,707",1995,2,"$1,037"
"Area Cooperative Educational Services","=""2440014""","Support services - general administration","$4,983,475",1995,2,"$2,498"
"Area Cooperative Educational Services","=""2440014""","Support services - school based administration","$5,516,791",1995,2,"$2,765"
"Area Cooperative Educational Services","=""2440014""","Central and other support services","$9,025,345",1995,2,"$4,524"
"Area Cooperative Educational Services","=""2440014""","Operation and maintenance of plant","$10,709,983",1995,2,"$5,368"
"Area Cooperative Educational Services","=""2440014""","Student transportation services","$8,313,722",1839,3,"$4,521"
"Area Cooperative Educational Services","=""2440014""","Food services","$0",1995,2,"$0"
"Area Cooperative Educational Services","=""2440014""","Enterprise operations","$0",1995,2,"$0"
"Area Cooperative Educational Services","=""2440014""","Minor school construction","N/A","N/A","N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Total","$104,045,685",1995,1,"$52,153"
"Ashford School District","=""0030011""","Instruction","$5,541,529",357,1,"$15,522"
"Ashford School District","=""0030011""","Support services - students","$644,295",354,2,"$1,820"
"Ashford School District","=""0030011""","Support services - instruction","$229,566",354,2,"$648"
"Ashford School District","=""0030011""","Support services - general administration","$272,436",354,2,"$770"
"Ashford School District","=""0030011""","Support services - school based administration","$645,458",354,2,"$1,823"
