"Find School/District Results"
"Your search returned           23 result(s)."

"OrganizationType","District","OrganizationCode","OrganizationName","Street","City","State","ZIP","Phone","Fax","Website","Education Program","Program Type","School Type","Inter-District Magnet","NCES Code","Designated High School","Agricultural Science and Technology (ASTE)","Title I Type","State Board of Education Approved","For Profit","Pre Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12"
"Public Charter School Districts","Achievement First Bridgeport Academy District",="2850013","Achievement First Bridgeport Academy District","470 James Street, Suite 007","New Haven","CT",="06513","203-773-3223",,"https://www.achievementfirst.org/schools/connecticut/",,,,,="0900208",No,No,,No,No,,,,,,,,,,,,,,
"Public Charter School Districts","Achievement First Hartford Academy District",="2880013","Achievement First Hartford Academy District","470 James Street, Suite 007","New Haven","CT",="06513","860-695-5280",,"https://www.achievementfirst.org/schools/connecticut/",,,,,="0900212",No,No,,No,No,,,,,,,,,,,,,,
"Public Charter School Districts","Amistad Academy District",="2790013","Amistad Academy District","470 James Street, Suite 007","New Haven","CT",="06513","203-773-3223",,"https://www.achievementfirst.org/schools/connecticut/",,,,,="0900024",No,No,,No,No,,,,,,,,,,,,,,
"Public Charter School Districts","Booker T. Washington Academy District",="2950013","Booker T. Washington Academy District","804 State Street","New Haven","CT",="06511","203-691-6535",,"http://www.btwanewhaven.org",,,,,="0900217",No,No,,No,No,,,,,,,,,,,,,,
"Public Charter School Districts","Brass City Charter School District",="2900013","Brass City Charter School District","289 Willow St.","Waterbury","CT",="06710","203-527-5942",,"http://www.brasscitycharter.org",,,,,="0900215",No,No,,No,No,,,,,,,,,,,,,,
"Public Charter School Districts","Capital Preparatory Harbor School District",="2970013","Capital Preparatory Harbor School District","777 Main St.","Bridgeport","CT",="06604","475-422-5900",,"http://capitalprepharbor.org/",,,,,="0900221",No,No,,No,No,,,,,,,,,,,,,,
"Public Charter School Districts","Common Ground High School District",="2680013","Common Ground High School District","358 Springside Ave.","New Haven","CT",="06515","203-389-0823",,,,,,,="0900014",No,No,,No,No,,,,,,,,,,,,,,
"Public Charter School Districts","Edmonds Cofield Preparatory Academy for Young Men, Inc. District",="2980013","Edmonds Cofield Preparatory Academy for Young Men, Inc. District","609 Dixwell Avenue","New Haven","CT",="06511","203-710-4998",,"http://www.",,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Public Charter School Districts","Elm City College Preparatory School District",="2890013","Elm City College Preparatory School District","470 James Street, Suite 007","New Haven","CT",="06513","203-773-3223",,"https://www.achievementfirst.org/schools/connecticut/",,,,,="0900214",No,No,,No,No,,,,,,,,,,,,,,
"Public Charter School Districts","Elm City Montessori School District",="2910013","Elm City Montessori School District","495 Blake Street","New Haven","CT",="06515","475-220-4100",,"http://elmcitymontessori.org/",,,,,="0900216",No,No,,No,No,,,,,,,,,,,,,,
"Public Charter School Districts","Explorations District",="2720013","Explorations District","71 Spencer St.","Winsted","CT",="06098","860-738-9070","860-738-9092","http://www.ExplorationsCS.com",,,,,="0900018",No,No,,No,No,,,,,,,,,,,,,,
"Public Charter School Districts","Great Oaks Charter School District",="2940013","Great Oaks Charter School District","375 Howard Avenue","Bridgeport","CT",="06605","203-870-8188","203-870-8189","https://gobpt.org/",,,,,="0900219",No,No,,No,No,,,,,,,,,,,,,,
"Public Charter School Districts","Highville Charter School District",="2860013","Highville Charter School District","1 Science Park","New Haven","CT",="06511","203-287-0528",,"http://highvillecharter.com/",,,,,="0900207",No,No,,No,No,,,,,,,,,,,,,,
"Public Charter School Districts","Integrated Day Charter School District",="2640013","Integrated Day Charter School District","68 Thermos Ave.","Norwich","CT",="06360","860-892-1900","860-892-1902","http://www.idcs.org",,,,,="0900010",No,No,,No,No,,,,,,,,,,,,,,
"Public Charter School Districts","Interdistrict School for Arts and Comm District",="2650013","Interdistrict School for Arts and Comm District","190 Governor Winthrop Blvd.","New London","CT",="06320","860-447-1003","860-447-0470","http://www.isaacschool.org",,,,,="0900011",No,No,,No,No,,,,,,,,,,,,,,
