"Next Generation Accountability, 2023-24"

"FallOfYear","RptngDistrictName","ReportingDistrictCode","SchoolName","SchoolCode","SchoolOrgType","SchoolLowGrade","SchoolHighGrade","SchoolTitleIType","Category","TotalPoints","TotalPossiblePoints","OutcomeRatePct","FinalCategory","AchievementGapFlag","Ind1ELA_All_Rate","Ind1ELA_All_Points","Ind1ELA_All_PossiblePoints","Ind1ELA_HN_Rate","Ind1ELA_NHN_Rate","Ind1ELA_HN_Points","Ind1ELA_HN_PossiblePoints","Ind1Math_All_Rate","Ind1Math_All_Points","Ind1Math_All_PossiblePoints","Ind1Math_NHN_Rate","Ind1Math_HN_Rate","Ind1Math_HN_Points","Ind1Math_HN_PossiblePoints","Ind1Sci_All_Rate","Ind1Sci_All_Points","Ind1Sci_All_PossiblePoints","Ind1Sci_HN_Rate","Ind1Sci_NHN_Rate","Ind1Sci_HN_Points","Ind1Sci_HN_PossiblePoints","Ind1ELAGap","Ind1MathGap","Ind1SciGap","Ind2ELA_All_Rate","Ind2ELA_All_Points","Ind2ELA_All_Possiblepoints","Ind2Math_All_Rate","Ind2Math_All_Points","Ind2Math_All_Possiblepoints","Ind2ELA_HN_Rate","Ind2ELA_NHN_Rate","Ind2ELA_HN_Points","Ind2ELA_HN_Possiblepoints","Ind2Math_HN_Rate","Ind2Math_NHN_Rate","Ind2Math_HN_Points","Ind2Math_HN_Possiblepoints","Ind2LEP_LTCY_Rate","Ind2LEP_LTCY_Points","Ind2LEP_LTCY_PossiblePoints","Ind2LEP_ORAL_Rate","Ind2LEP_ORAL_Points","Ind2LEP_ORAL_PossiblePoints","Ind3PartRateFlag","Ind3ELA_All_Rate","Ind3ELA_HN_Rate","Ind3ELA_NHN_Rate","Ind3Math_All_Rate","Ind3Math_HN_Rate","Ind3Math_NHN_Rate","Ind3Sci_All_Rate","Ind3Sci_HN_Rate","Ind3Sci_NHN_Rate","Ind4Rate","Ind4Points","Ind4PossiblePoints","Ind4HNRate","Ind4HNPoints","Ind4HNPossiblePoints","Ind5Rate","Ind5Points","Ind5PossiblePoints","Ind6Rate","Ind6Points","Ind6PossiblePoints","Ind7Rate","Ind7points","Ind7PointsPossible","Ind8Rate","Ind8Points","Ind8PointsPossible","GradGapFlag","Ind9Rate","Ind9Points","Ind9PointsPossible","Ind10Rate","Ind10Points","Ind10PossiblePoints","Ind11FitnessRate","Ind11ParticipationRate","Ind11Points","Ind11PossiblePoints","Ind12Rate","Ind12Points","Ind12PossiblePoints","Grad6YrRateHN","Grad6YrRateNHN","Grad6YrHNNHNDiff","Hurdle_Mean_ELA","Hurdle_Mean_Math","Hurdle_Mean_Sci","Hurdle_Means_Grad","CategoryDropFlag","Support","SupportCategory","Distinction","DistinctionCategory","Perform","ELA_ALL_YN","Math_ALL_YN","ELA_HN_YN","Math_HN_YN","Improve","schoolyear"
2023.000000,"Bloomfield School District","=""0110011""","District","=""0000000""","District","District","District",,"DistrictTot",986.005513,1450.000000,68.000380,".",0.000000,54.998115,36.665410,50.000000,49.950194,63.979482,33.300129,50.000000,49.522404,33.014936,50.000000,57.649040,44.938148,29.958766,50.000000,52.317107,34.878071,50.000000,47.617915,60.985210,31.745277,50.000000,14.020000,12.710000,13.360000,0.511261,51.126057,100.000000,0.514315,51.431516,100.000000,0.487117,0.551500,48.711721,100.000000,0.500091,0.537697,50.009097,100.000000,0.619916,30.995815,50.000000,0.587207,29.360329,50.000000,0.000000,0.983333,0.980903,0.987654,0.981111,0.977431,0.987654,0.964206,0.955631,0.980519,0.171377,25.724594,50.000000,0.223909,15.218216,50.000000,0.904459,50.000000,50.000000,0.261146,17.409766,50.000000,0.822368,43.743001,50.000000,0.886076,94.263399,100.000000,0.000000,0.916667,97.517730,100.000000,0.686000,91.466667,100.000000,0.615094,0.941901,41.006289,50.000000,0.581505,48.458725,50.000000,0.916667,0.940000,0.023333,16.898041,18.152907,17.881821,9.916864,".",,,,,".",".",".",".",".",".","2023-24"
2023.000000,"Bolton School District","=""0120011""","District","=""0000000""","District","District","District",,"DistrictTot",989.124522,1250.000000,79.129962,".",1.000000,71.422021,47.614681,50.000000,55.767707,75.000000,37.178471,50.000000,68.837819,45.891879,50.000000,75.000000,51.518524,34.345683,50.000000,72.722639,48.481759,50.000000,58.361053,75.000000,38.907369,50.000000,19.230000,23.480000,16.630000,0.628019,62.801928,100.000000,0.674926,67.492614,100.000000,0.550952,0.661736,55.095161,100.000000,0.528075,0.738702,52.807488,100.000000,".",".",".",".",".",".",1.000000,0.957333,0.949153,0.961089,0.957333,0.949153,0.961089,0.963636,0.962963,0.963964,0.082969,43.406114,50.000000,0.158140,28.372093,50.000000,0.920792,50.000000,50.000000,0.683168,45.544554,50.000000,0.968750,50.000000,50.000000,0.959459,100.000000,100.000000,0.000000,".",".",".",0.746000,99.466667,100.000000,0.475771,0.978448,31.718062,50.000000,0.677419,50.000000,50.000000,".",".",".",16.898041,18.152907,17.881821,9.916864,".",,,,,".",".",".",".",".",".","2023-24"
2023.000000,"Bozrah School District","=""0130011""","District","=""0000000""","District","District","District",,"DistrictTot",670.176377,850.000000,78.844280,".",0.000000,68.637013,45.758009,50.000000,60.975461,75.000000,40.650308,50.000000,69.059013,46.039342,50.000000,75.000000,61.533960,41.022640,50.000000,69.609988,46.406659,50.000000,".",".",".",".",14.020000,13.460000,".",0.675717,67.571714,100.000000,0.769112,76.911199,100.000000,0.594351,0.778621,59.435097,100.000000,0.763946,0.775645,76.394635,100.000000,".",".",".",".",".",".",0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,".",".",0.047619,50.000000,50.000000,0.095890,40.821918,50.000000,".",".",".",".",".",".",0.900000,47.872340,50.000000,".",".",".",".",".",".",".",".",".",".",0.469388,0.980000,31.292517,50.000000,".",".",".",".",".",".",16.898041,18.152907,17.881821,".",".",,,,,".",".",".",".",".",".","2023-24"
2023.000000,"Branford School District","=""0140011""","District","=""0000000""","District","District","District",,"DistrictTot",1093.113065,1450.000000,75.387108,".",0.000000,67.444263,44.962842,50.000000,60.081033,73.913691,40.054022,50.000000,65.073872,43.382581,50.000000,71.594690,57.551527,38.367684,50.000000,62.693194,41.795463,50.000000,54.436307,68.731813,36.290871,50.000000,13.830000,14.040000,14.290000,0.558425,55.842517,100.000000,0.592001,59.200130,100.000000,0.524979,0.588672,52.497939,100.000000,0.537644,0.640345,53.764355,100.000000,0.717488,35.874381,50.000000,0.689912,34.495616,50.000000,1.000000,0.990262,0.985827,0.994286,0.980539,0.968504,0.991441,0.967051,0.946970,0.982507,0.140436,31.912833,50.000000,0.194690,21.061947,50.000000,0.968293,50.000000,50.000000,0.426829,28.455285,50.000000,0.873995,46.489076,50.000000,0.932692,99.222586,100.000000,0.000000,0.911392,96.956639,100.000000,0.783000,100.000000,100.000000,0.487294,0.900671,32.486298,50.000000,0.602500,50.000000,50.000000,0.911392,0.940000,0.028608,16.898041,18.152907,17.881821,9.916864,".",,,,,".",".",".",".",".",".","2023-24"
2023.000000,"Hartland School District","=""0650011""","District","=""0000000""","District","District","District",,"DistrictTot",495.304209,600.000000,82.550702,".",0.000000,75.631533,50.000000,50.000000,65.099271,75.000000,43.399514,50.000000,70.599793,47.066528,50.000000,75.000000,58.437406,38.958271,50.000000,76.151650,50.000000,50.000000,".",".",".",".",9.900000,16.560000,".",0.637312,63.731181,100.000000,0.671067,67.106698,100.000000,".",0.678916,".",".",".",0.725846,".",".",".",".",".",".",".",".",0.000000,0.987654,0.961538,1.000000,0.987654,0.961538,1.000000,0.960000,".",".",0.057143,48.571429,50.000000,0.117647,36.470588,50.000000,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.805556,0.900000,50.000000,50.000000,".",".",".",".",".",".",16.898041,18.152907,17.881821,".",".",,,,,".",".",".",".",".",".","2023-24"
2023.000000,"Hebron School District","=""0670011""","District","=""0000000""","District","District","District",,"DistrictTot",626.906774,850.000000,73.753738,".",0.000000,76.428668,50.000000,50.000000,66.064114,75.000000,44.042743,50.000000,72.397417,48.264945,50.000000,75.000000,62.784277,41.856185,50.000000,73.482278,48.988185,50.000000,60.500000,75.000000,40.333333,50.000000,8.930000,12.210000,14.500000,0.599415,59.941463,100.000000,0.659360,65.935961,100.000000,0.563294,0.612196,56.329394,100.000000,0.566134,0.692347,56.613390,100.000000,".",".",".",".",".",".",0.000000,0.994505,0.989796,0.996241,0.994505,0.989796,0.996241,1.000000,1.000000,1.000000,0.064771,47.045814,50.000000,0.137755,32.448980,50.000000,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.526596,0.994792,35.106383,50.000000,".",".",".",".",".",".",16.898041,18.152907,17.881821,".",".",,,,,".",".",".",".",".",".","2023-24"
2023.000000,"Kent School District","=""0680011""","District","=""0000000""","District","District","District",,"DistrictTot",599.164090,800.000000,74.895511,".",0.000000,80.686898,50.000000,50.000000,75.878958,75.000000,50.000000,50.000000,74.149872,49.433248,50.000000,75.000000,70.695593,47.130395,50.000000,77.244037,50.000000,50.000000,".",75.000000,".",".",-0.870000,4.300000,".",0.715323,71.532328,100.000000,0.649997,64.999655,100.000000,0.808625,0.672375,80.862471,100.000000,0.539079,0.701054,53.907917,100.000000,".",".",".",".",".",".",1.000000,0.974359,0.950000,0.987013,0.974359,0.950000,0.987013,0.948718,".",1.000000,0.115385,36.923077,50.000000,0.187500,22.500000,50.000000,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.328125,0.905405,21.875000,50.000000,".",".",".",".",".",".",16.898041,18.152907,17.881821,".",".",,,,,".",".",".",".",".",".","2023-24"
2023.000000,"Lebanon School District","=""0710011""","District","=""0000000""","District","District","District",,"DistrictTot",1043.753729,1350.000000,77.315091,".",1.000000,70.606751,47.071167,50.000000,60.048663,75.000000,40.032442,50.000000,65.651496,43.767664,50.000000,73.365761,53.951526,35.967684,50.000000,66.896911,44.597941,50.000000,58.534186,72.450283,39.022791,50.000000,14.950000,19.410000,13.910000,0.676072,67.607153,100.000000,0.637523,63.752257,100.000000,0.618736,0.715836,61.873617,100.000000,0.549864,0.697846,54.986445,100.000000,".",".",".",".",".",".",1.000000,0.989177,0.978495,0.996377,0.984848,0.967742,0.996377,0.963801,0.934066,0.984615,0.134361,33.127753,50.000000,0.227390,14.521964,50.000000,0.921687,50.000000,50.000000,0.397590,26.506024,50.000000,0.849057,45.162585,50.000000,0.930556,98.995272,100.000000,1.000000,0.827586,88.041086,100.000000,0.761000,100.000000,100.000000,0.618677,0.928315,41.245136,50.000000,0.569697,47.474747,50.000000,0.827586,0.940000,0.112414,16.898041,18.152907,17.881821,9.916864,".",,,,,".",".",".",".",".",".","2023-24"
2023.000000,"Ledyard School District","=""0720011""","District","=""0000000""","District","District","District",,"DistrictTot",1072.216537,1450.000000,73.945968,".",0.000000,63.017343,42.011562,50.000000,54.263904,69.433216,36.175936,50.000000,60.068984,40.045989,50.000000,66.831908,50.769962,33.846641,50.000000,65.292288,43.528192,50.000000,56.443676,71.950942,37.629117,50.000000,15.160000,16.060000,15.500000,0.547360,54.735951,100.000000,0.544095,54.409494,100.000000,0.516364,0.570277,51.636442,100.000000,0.535521,0.550417,53.552128,100.000000,0.840770,42.038499,50.000000,0.781476,39.073792,50.000000,0.000000,0.996010,0.990741,1.000000,0.992817,0.983333,1.000000,0.981685,0.962810,0.996711,0.124519,35.096277,50.000000,0.196640,20.671937,50.000000,0.832898,50.000000,50.000000,0.344648,22.976501,50.000000,0.951841,50.000000,50.000000,0.968085,100.000000,100.000000,0.000000,0.974026,100.000000,100.000000,0.614000,81.866667,100.000000,0.513966,0.944737,34.264432,50.000000,0.583884,48.656979,50.000000,0.974026,0.940000,0.000000,16.898041,18.152907,17.881821,9.916864,".",,,,,".",".",".",".",".",".","2023-24"
2023.000000,"Lisbon School District","=""0730011""","District","=""0000000""","District","District","District",,"DistrictTot",644.629866,900.000000,71.625541,".",0.000000,64.999707,43.333138,50.000000,60.619917,69.727100,40.413278,50.000000,65.294057,43.529371,50.000000,70.947355,60.017645,40.011763,50.000000,67.698328,45.132219,50.000000,65.921819,69.151835,43.947879,50.000000,9.100000,10.920000,3.230000,0.543676,54.367606,100.000000,0.618389,61.838947,100.000000,0.532603,0.554327,53.260330,100.000000,0.671247,0.568049,67.124659,100.000000,".",".",".",".",".",".",0.000000,0.996255,0.992806,1.000000,0.992509,0.985612,1.000000,1.000000,1.000000,1.000000,0.150259,29.948187,50.000000,0.191388,21.722488,50.000000,".",".",".",".",".",".",0.948718,50.000000,50.000000,".",".",".",".",".",".",".",".",".",".",0.801527,0.916084,50.000000,50.000000,".",".",".",".",".",".",16.898041,18.152907,17.881821,".",".",,,,,".",".",".",".",".",".","2023-24"
