District Name,District Code,School Name,School Code,Account Index,Drop Flag,Final Category,Support Type,Distinction
Andover School District,0010011,Andover Elementary School,0010111,72.94,,2,,
Ansonia School District,0020011,Ansonia High School,0026111,65.40,Yes,3,,
Ansonia School District,0020011,Ansonia Middle School,0025111,53.57,,3,,
Ansonia School District,0020011,Mead School,0020311,64.03,,3,,
Ansonia School District,0020011,Prendergast School,0020811,64.56,,4,Focus,
Ashford School District,0030011,Ashford School,0030111,67.72,,3,,
Avon School District,0040011,Avon High School,0046111,81.54,Yes,3,,
Avon School District,0040011,Avon Middle School,0045111,73.46,Yes,3,,
Avon School District,0040011,Pine Grove School,0040411,72.16,,2,,
Avon School District,0040011,Roaring Brook School,0040311,79.34,Yes,3,,
Avon School District,0040011,Thompson Brook School,0040511,74.53,Yes,3,,
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,81.88,,2,,High Growth
Berlin School District,0070011,Berlin High School,0076111,78.44,,2,,
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,70.17,Yes,3,,
Berlin School District,0070011,Emma Hart Willard School,0070411,69.98,,3,,
Berlin School District,0070011,Mary E. Griswold School,0070511,74.51,,2,,
Berlin School District,0070011,Richard D. Hubbard School,0070111,76.60,,2,,
Bethany School District,0080011,Bethany Community School,0080111,84.78,Yes,3,,
Bethel School District,0090011,Anna H. Rockwell School,0090411,96.44,,1,,
Bethel School District,0090011,Bethel High School,0096111,79.58,Yes,3,,
Bethel School District,0090011,Bethel Middle School,0095111,74.97,Yes,3,,
Bethel School District,0090011,Ralph M. T. Johnson School,0090511,83.71,,2,,High Performance and High Growth
Bloomfield School District,0110011,Bloomfield High School,0116111,67.60,Yes,3,,
Bloomfield School District,0110011,Carmen Arace Intermediate School,0110711,59.38,,3,,
Bloomfield School District,0110011,Carmen Arace Middle School,0115211,62.90,,3,,
Bloomfield School District,0110011,Global Experience Magnet School,0116311,57.80,,3,,
Bloomfield School District,0110011,Metacomet School,0110511,63.73,,3,,
Bolton School District,0120011,Bolton Center School,0120111,71.72,Yes,3,,
Bolton School District,0120011,Bolton High School,0126111,88.70,,1,,High Performance
Bozrah School District,0130011,Fields Memorial School,0130111,77.99,,2,,High Growth
Branford School District,0140011,Branford High School,0146111,73.83,,2,,
Branford School District,0140011,Francis Walsh Intermediate School,0145111,68.06,,3,,
Branford School District,0140011,John B. Sliney School,0141611,77.06,,2,,High Growth
Branford School District,0140011,Mary R. Tisko School,0141511,81.06,,2,,
Branford School District,0140011,Mary T. Murphy School,0141411,66.48,,3,,
Bridgeport School District,0150011,"Aerospace/Hydrospace, Engineering and Physical Sciences Magnet High School",0150811,64.27,Yes,3,,
Bridgeport School District,0150011,Barnum School,0150111,46.68,,5,Turnaround,
Bridgeport School District,0150011,Bassick High School,0156111,42.98,Yes,5,Turnaround,
Bridgeport School District,0150011,Beardsley School,0150211,52.46,,3,,
Bridgeport School District,0150011,"Biotechnology, Research & Zoological Studies Magnet High School",0150611,64.27,,3,,
Bridgeport School District,0150011,Black Rock School,0150311,63.42,,3,,
Bridgeport School District,0150011,Blackham School,0154011,60.15,,3,,
Bridgeport School District,0150011,Bridgeport Military Academy,0151611,54.46,,5,Focus,
Bridgeport School District,0150011,Bryant School,0150411,50.05,,3,,
Bridgeport School District,0150011,Central High School,0156211,58.49,Yes,3,,
Bridgeport School District,0150011,Cesar Batalla School,0151411,46.43,Yes,4,Turnaround,
Bridgeport School District,0150011,Classical Studies Academy,0152111,60.36,,3,,
Bridgeport School District,0150011,Columbus School,0150511,50.17,,4,Turnaround,
Bridgeport School District,0150011,Edison School,0150711,41.75,,4,Focus,
Bridgeport School District,0150011,Geraldine Claytor Magnet Academy,0153111,48.48,,4,Turnaround,
Bridgeport School District,0150011,Geraldine Johnson School,0153211,56.27,,3,,
Bridgeport School District,0150011,Hall School,0151111,46.73,,3,,
Bridgeport School District,0150011,Hallen School,0151211,58.49,,3,,
Bridgeport School District,0150011,High Horizons Magnet School,0154511,63.94,,3,,
Bridgeport School District,0150011,Information Technology & Software Engineering Magnet High School,0151511,63.62,,3,,
Bridgeport School District,0150011,Interdistrict Discovery Magnet School,0153711,66.01,,3,,
Bridgeport School District,0150011,James J. Curiale School,0154211,47.69,,3,,
Bridgeport School District,0150011,Jettie S. Tisdale School,0152211,55.57,,3,,
Bridgeport School District,0150011,John Winthrop School,0153611,62.75,,3,,
Bridgeport School District,0150011,Luis Munoz Marin School,0151011,45.01,,5,Turnaround,
Bridgeport School District,0150011,Madison School,0152011,53.40,,4,Focus,
Bridgeport School District,0150011,Multicultural Magnet School,0154611,73.60,,2,,
Bridgeport School District,0150011,Park City Magnet School,0151711,61.80,,3,,
Bridgeport School District,0150011,Paul Laurence Dunbar School,0154111,46.54,,5,Turnaround,
Bridgeport School District,0150011,Read School,0152511,51.66,,3,,
Bridgeport School District,0150011,Roosevelt School,0152611,49.36,,5,Turnaround,
Bridgeport School District,0150011,Thomas Hooker School,0151311,57.22,,3,,
Bridgeport School District,0150011,Waltersville School,0153011,47.79,,3,,
Bridgeport School District,0150011,Warren Harding High School,0156311,48.65,Yes,5,Turnaround,
Bridgeport School District,0150011,Wilbur Cross School,0153911,45.02,,5,Turnaround,
Bristol School District,0170011,Bristol Arts and Innovation Magnet School,0174011,60.91,,3,,
Bristol School District,0170011,Bristol Central High School,0176111,69.01,Yes,3,,
Bristol School District,0170011,Bristol Eastern High School,0176211,70.66,Yes,3,,
