"Chronic Absenteeism, 2024-25"
"All Districts, All Students"

"",,"Chronically Absent",
"District","District Code","Student Count","%"
"Achievement First Bridgeport Academy District","=""2850013""",279,27.3
"Achievement First Hartford Academy District","=""2880013""",137,15.7
"Amistad Academy District","=""2790013""",302,28.3
"Andover School District","=""0010011""",10,5.6
"Ansonia School District","=""0020011""",524,23.1
"Area Cooperative Educational Services","=""2440014""",514,30.6
"Ashford School District","=""0030011""",20,6.1
"Avon School District","=""0040011""",326,11.0
"Barkhamsted School District","=""0050011""",25,11.6
"Berlin School District","=""0070011""",381,14.8
"Bethany School District","=""0080011""",38,9.1
"Bethel School District","=""0090011""",265,8.4
"Bloomfield School District","=""0110011""",278,17.9
"Bolton School District","=""0120011""",65,9.8
"Booker T. Washington Academy District","=""2950013""",75,19.6
"Bozrah School District","=""0130011""",17,10.6
"Branford School District","=""0140011""",312,12.9
"Brass City Charter School District","=""2900013""",75,20.8
"Bridgeport School District","=""0150011""",6230,33.1
"Bristol School District","=""0170011""",1370,18.4
"Brookfield School District","=""0180011""",100,4.0
"Brooklyn School District","=""0190011""",63,8.2
"Canaan School District","=""0210011""",7,10.3
"Canterbury School District","=""0220011""",42,8.9
"Canton School District","=""0230011""",190,13.6
"Capital Preparatory Harbor School District","=""2970013""",123,16.8
"Capitol Region Education Council","=""2410014""",2154,27.5
"Chaplin School District","=""0240011""",10,7.9
"Cheshire School District","=""0250011""",309,7.4
"Chester School District","=""0260011""",18,9.3
"Clinton School District","=""0270011""",153,11.4
"Colchester School District","=""0280011""",303,15.2
"Colebrook School District","=""0290011""",0,0.0
"Columbia School District","=""0300011""",31,7.5
"Common Ground High School District","=""2680013""",99,48.1
"Connecticut Technical Education and Career System","=""9000016""",1834,16.5
"Cooperative Educational Services","=""2430014""",144,24.1
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",141,9.4
"Cromwell School District","=""0330011""",220,12.2
"Danbury School District","=""0340011""",1756,15.2
"Darien School District","=""0350011""",208,4.6
"Deep River School District","=""0360011""",17,9.1
"Department of Mental Health and Addiction Services","=""3370015""","*","*"
"Derby School District","=""0370011""",240,19.2
"East Granby School District","=""0400011""",88,10.5
"East Haddam School District","=""0410011""",79,8.7
"East Hampton School District","=""0420011""",184,11.4
"East Hartford School District","=""0430011""",1466,23.5
"East Haven School District","=""0440011""",449,17.2
"East Lyme School District","=""0450011""",205,8.4
"East Windsor School District","=""0470011""",156,16.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",140,40.2
"Eastford School District","=""0390011""",14,9.0
"Easton School District","=""0460011""",68,7.8
"EdAdvance","=""2420014""",49,46.7
"Ellington School District","=""0480011""",275,11.3
"Elm City College Preparatory School District","=""2890013""",187,25.8
"Elm City Montessori School District","=""2910013""",31,14.0
"Enfield School District","=""0490011""",793,18.0
"Essex School District","=""0500011""",19,7.3
"Explorations District","=""2720013""",30,41.1
"Fairfield School District","=""0510011""",786,8.8
"Farmington School District","=""0520011""",344,8.4
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""",425,7.6
"Goodwin University Educational Services (GUES)","=""2310018""",316,28.8
"Granby School District","=""0560011""",197,11.7
"Great Oaks Charter School District","=""2940013""",194,31.3
"Greenwich School District","=""0570011""",809,9.9
"Griswold School District","=""0580011""",399,23.0
"Groton School District","=""0590011""",748,20.1
"Guilford School District","=""0600011""",307,10.2
"Hamden School District","=""0620011""",1092,20.8
"Hampton School District","=""0630011""",9,15.8
"Hartford School District","=""0640011""",5457,36.2
"Hartland School District","=""0650011""","*","*"
"Hebron School District","=""0670011""",44,7.2
"Highville Charter School District","=""2860013""",94,23.6
"Integrated Day Charter School District","=""2640013""",42,12.8
"Interdistrict School for Arts and Comm District","=""2650013""",49,15.4
"Jumoke Academy District","=""2610013""",101,20.0
"Kent School District","=""0680011""",22,12.7
"Killingly School District","=""0690011""",453,20.4
"Learn","=""2450014""",169,18.7
"Lebanon School District","=""0710011""",110,12.4
"Ledyard School District","=""0720011""",305,13.6
"Lisbon School District","=""0730011""",57,14.9
"Madison School District","=""0760011""",130,5.4
"Manchester School District","=""0770011""",1248,21.5
"Mansfield School District","=""0780011""",68,7.5
"Marlborough School District","=""0790011""",31,7.3
"Meriden School District","=""0800011""",1821,21.6
"Middletown School District","=""0830011""",1035,25.0
"Milford School District","=""0840011""",725,14.5
"Monroe School District","=""0850011""",256,7.5
"Montville School District","=""0860011""",333,17.1
"Naugatuck School District","=""0880011""",758,19.3
"New Beginnings Inc Family Academy District","=""2800013""",118,39.1
"New Britain School District","=""0890011""",3098,32.2
"New Canaan School District","=""0900011""",178,4.5
"New Fairfield School District","=""0910011""",226,11.0
"New Hartford School District","=""0920011""",23,5.7
"New Haven School District","=""0930011""",5543,32.1
"New London School District","=""0950011""",821,28.9
"New Milford School District","=""0960011""",504,14.7
"Newington School District","=""0940011""",458,12.4
"Newtown School District","=""0970011""",329,8.5
"Norfolk School District","=""0980011""","*","*"
"North Branford School District","=""0990011""",129,8.6
"North Canaan School District","=""1000011""",21,9.2
"North Haven School District","=""1010011""",299,9.5
"North Stonington School District","=""1020011""",97,14.0
"Norwalk School District","=""1030011""",2005,17.9
"Norwich Free Academy District","=""9010022""",617,29.9
"Norwich School District","=""1040011""",638,21.0
"Odyssey Community School District","=""2630013""",33,10.0
"Old Saybrook School District","=""1060011""",78,8.2
"Orange School District","=""1070011""",73,6.0
"Oxford School District","=""1080011""",189,11.8
"Park City Prep Charter School District","=""2830013""",78,19.3
"Plainfield School District","=""1090011""",355,20.1
"Plainville School District","=""1100011""",326,15.6
"Plymouth School District","=""1110011""",237,20.2
"Pomfret School District","=""1120011""",24,7.7
"Portland School District","=""1130011""",142,11.9
"Preston School District","=""1140011""",53,13.1
"Putnam School District","=""1160011""",211,19.8
"Redding School District","=""1170011""",82,10.1
"Regional School District 01","=""2010012""",99,27.5
"Regional School District 04","=""2040012""",93,14.6
"Regional School District 05","=""2050012""",116,5.4
"Regional School District 07","=""2070012""",134,16.3
"Regional School District 08","=""2080012""",153,14.3
"Regional School District 09","=""2090012""",111,15.7
"Regional School District 10","=""2100012""",231,11.1
"Regional School District 11","=""2110012""",32,16.7
"Regional School District 12","=""2120012""",81,10.8
"Regional School District 13","=""2130012""",139,10.6
"Regional School District 14","=""2140012""",142,9.4
"Regional School District 15","=""2150012""",284,8.6
"Regional School District 16","=""2160012""",142,7.7
"Regional School District 17","=""2170012""",84,5.0
"Regional School District 18","=""2180012""",123,10.3
"Regional School District 19","=""2190012""",157,15.1
"Regional School District 20","=""2200012""",184,11.9
"Ridgefield School District","=""1180011""",215,4.9
"Rocky Hill School District","=""1190011""",219,8.8
"Salem School District","=""1210011""",48,13.0
"Salisbury School District","=""1220011""",31,11.5
"Scotland School District","=""1230011""",7,10.0
"Seymour School District","=""1240011""",335,16.3
"Sharon School District","=""1250011""",6,6.4
"Shelton School District","=""1260011""",491,11.2
"Sherman School District","=""1270011""",26,12.5
"Side By Side Charter School District","=""2700013""",18,9.2
"Simsbury School District","=""1280011""",369,9.1
"Somers School District","=""1290011""",114,8.7
"South Windsor School District","=""1320011""",424,8.4
"Southington School District","=""1310011""",615,10.2
"Sprague School District","=""1330011""",46,19.1
"Stafford School District","=""1340011""",150,12.6
"Stamford Charter School for Excellence District","=""2960013""",32,6.2
"Stamford School District","=""1350011""",3028,19.4
"Sterling School District","=""1360011""",55,20.0
"Stonington School District","=""1370011""",232,13.8
"Stratford School District","=""1380011""",1066,16.6
"Suffield School District","=""1390011""",196,10.0
"The Bridge Academy District","=""2690013""",67,25.0
"The Gilbert School District","=""9020022""",102,23.0
"The Woodstock Academy District","=""9030022""",174,17.2
"Thomaston School District","=""1400011""",101,14.1
"Thompson School District","=""1410011""",110,14.0
"Tolland School District","=""1420011""",196,9.5
"Torrington School District","=""1430011""",668,17.8
"Trumbull School District","=""1440011""",455,6.7
"Unified School District #1","=""3360015""",31,21.2
"Unified School District #2","=""3470015""",28,30.1
"Union School District","=""1450011""","*","*"
"Vernon School District","=""1460011""",405,13.2
"Voluntown School District","=""1470011""",19,10.6
"Wallingford School District","=""1480011""",626,12.5
"Waterbury School District","=""1510011""",4612,25.8
"Waterford School District","=""1520011""",239,10.9
"Watertown School District","=""1530011""",368,14.8
"West Hartford School District","=""1550011""",883,9.9
"West Haven School District","=""1560011""",1505,25.5
"Westbrook School District","=""1540011""",46,8.3
"Weston School District","=""1570011""",88,4.3
"Westport School District","=""1580011""",390,7.5
"Wethersfield School District","=""1590011""",251,7.4
"Willington School District","=""1600011""",21,6.0
"Wilton School District","=""1610011""",170,4.6
"Winchester School District","=""1620011""",142,25.5
"Windham School District","=""1630011""",916,31.6
"Windsor Locks School District","=""1650011""",299,22.0
"Windsor School District","=""1640011""",576,18.2
"Wolcott School District","=""1660011""",141,7.0
"Woodbridge School District","=""1670011""",88,10.3
"Woodstock School District","=""1690011""",87,12.3

