"CT School Day SAT, 2024-25"
"All Districts, All Subjects, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Subject","Total Numberof Students","Total NumberTested","CT School Day SATParticipationRate","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Bridgeport Academy District","=""2850013""","ELA",53,48,90.6,48,"*","*",11,22.9,24,50.0,"*","*","*","*",474
,,"Math",53,48,90.6,48,17,35.4,20,41.7,"*","*","*","*",11,22.9,453
"Achievement First Hartford Academy District","=""2880013""","ELA",48,48,100.0,48,22,45.8,12,25.0,14,29.2,0,0.0,14,29.2,431
,,"Math",48,48,100.0,48,25,52.1,15,31.3,8,16.7,0,0.0,8,16.7,421
"Amistad Academy District","=""2790013""","ELA",54,47,87.0,46,13,28.3,"*","*",21,45.7,"*","*","*","*",465
,,"Math",54,47,87.0,46,20,43.5,20,43.5,"*","*","*","*",6,13.0,441
"Ansonia School District","=""0020011""","ELA",152,149,98.0,149,63,42.3,"*","*",53,35.6,"*","*","*","*",440
,,"Math",152,149,98.0,149,80,53.7,55,36.9,"*","*","*","*",14,9.4,412
"Area Cooperative Educational Services","=""2440014""","ELA",40,29,72.5,29,22,75.9,"*","*","*","*",0,0.0,"*","*",373
,,"Math",40,29,72.5,29,"*","*","*","*",0,0.0,0,0.0,0,0.0,336
"Avon School District","=""0040011""","ELA",215,213,99.1,213,21,9.9,11,5.2,85,39.9,96,45.1,181,85.0,592
,,"Math",215,213,99.1,213,28,13.1,53,24.9,67,31.5,65,30.5,132,62.0,572
"Berlin School District","=""0070011""","ELA",193,188,97.4,188,30,16.0,30,16.0,98,52.1,30,16.0,128,68.1,518
,,"Math",193,188,97.4,188,40,21.3,83,44.1,43,22.9,22,11.7,65,34.6,495
"Bethel School District","=""0090011""","ELA",278,266,95.7,266,41,15.4,37,13.9,140,52.6,48,18.0,188,70.7,526
,,"Math",278,266,95.7,266,68,25.6,90,33.8,69,25.9,39,14.7,108,40.6,503
"Bloomfield School District","=""0110011""","ELA",151,149,98.7,147,55,37.4,"*","*",53,36.1,"*","*","*","*",448
,,"Math",151,149,98.7,147,92,62.6,43,29.3,"*","*","*","*",12,8.2,409
"Bolton School District","=""0120011""","ELA",64,64,100.0,64,6,9.4,9,14.1,42,65.6,7,10.9,49,76.6,527
,,"Math",64,64,100.0,64,"*","*",33,51.6,18,28.1,"*","*","*","*",506
"Branford School District","=""0140011""","ELA",188,177,94.1,177,22,12.4,36,20.3,98,55.4,21,11.9,119,67.2,517
,,"Math",188,177,94.1,177,34,19.2,81,45.8,46,26.0,16,9.0,62,35.0,494
"Bridgeport School District","=""0150011""","ELA",1268,1106,87.2,1103,533,48.3,200,18.1,319,28.9,51,4.6,370,33.5,430
