"Student Counts by District and Race"
"All Districts"
"2024-25"

"",,"Race",,,,,,,
"District","District Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Two or More Races","White","Total","Native Hawaiian or Other Pacific Islander"
"Achievement First Bridgeport Academy District","=""2850013""","*","*",570,474,14,22,1090,0
"Achievement First Hartford Academy District","=""2880013""",12,"*",690,183,15,"*",907,0
"Amistad Academy District","=""2790013""","*",13,665,393,21,"*",1105,0
"Andover School District","=""0010011""",0,0,"*",27,"*",203,239,0
"Ansonia School District","=""0020011""","*",48,522,1184,111,533,2404,"*"
"Area Cooperative Educational Services","=""2440014""","*",44,567,580,98,430,1726,"*"
"Ashford School District","=""0030011""",0,"*",7,33,10,294,351,"*"
"Avon School District","=""0040011""","*",552,184,277,152,1917,3092,"*"
"Barkhamsted School District","=""0050011""","*","*",0,12,9,204,227,0
"Berlin School District","=""0070011""","*",116,64,367,68,2016,2634,"*"
"Bethany School District","=""0080011""","*",31,11,26,"*",351,430,0
"Bethel School District","=""0090011""",47,233,147,908,128,1751,3227,13
"Bloomfield School District","=""0110011""","*",34,1231,344,88,192,1897,"*"
"Bolton School District","=""0120011""",0,11,39,76,39,523,688,0
"Booker T. Washington Academy District","=""2950013""",0,"*",302,75,19,"*",404,"*"
"Bozrah School District","=""0130011""","*","*","*",19,12,145,180,0
"Branford School District","=""0140011""","*",160,118,443,137,1702,2567,"*"
"Brass City Charter School District","=""2900013""",0,6,132,227,21,15,401,0
"Bridgeport School District","=""0150011""",71,324,5349,12226,490,1542,20022,20
"Bristol School District","=""0170011""","*",271,639,2998,488,3306,7713,"*"
"Brookfield School District","=""0180011""",24,195,103,466,"*",1731,2542,"*"
"Brooklyn School District","=""0190011""","*",17,18,104,49,662,852,"*"
"Canaan School District","=""0210011""","*","*",0,"*","*",61,70,"*"
"Canterbury School District","=""0220011""",0,6,"*",62,"*",434,512,0
"Canton School District","=""0230011""",0,"*",83,103,44,1177,1439,"*"
"Capital Preparatory Harbor School District","=""2970013""","*","*",501,262,"*","*",775,0
"Capitol Region Education Council","=""2410014""","*",406,2841,4004,536,1281,9091,"*"
"Chaplin School District","=""0240011""",0,"*","*",17,7,119,150,0
"Cheshire School District","=""0250011""","*",438,152,449,172,3100,4317,"*"
"Chester School District","=""0260011""",0,"*",0,17,"*",173,198,0
"Clinton School District","=""0270011""",0,40,12,376,33,965,1426,0
"Colchester School District","=""0280011""","*",40,57,201,99,1701,2101,"*"
"Colebrook School District","=""0290011""",0,0,0,"*","*",55,61,0
"Columbia School District","=""0300011""","*","*","*",47,20,370,444,0
"Common Ground High School District","=""2680013""","*","*",72,103,7,34,221,0
"Connecticut Technical Education and Career System","=""9000016""","*",85,1405,4990,583,4201,11296,"*"
