"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2024-25"

"",,"Free/Reduced Lunch Eligibility",,,
"District","District Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Bridgeport Academy District","=""2850013""",709,279,102,1090
"Achievement First Hartford Academy District","=""2880013""",660,185,62,907
"Amistad Academy District","=""2790013""",768,237,100,1105
"Andover School District","=""0010011""",55,172,12,239
"Ansonia School District","=""0020011""",1334,875,195,2404
"Area Cooperative Educational Services","=""2440014""",756,861,109,1726
"Ashford School District","=""0030011""",115,215,21,351
"Avon School District","=""0040011""",355,2677,60,3092
"Barkhamsted School District","=""0050011""",45,171,11,227
"Berlin School District","=""0070011""",565,1987,82,2634
"Bethany School District","=""0080011""",46,375,9,430
"Bethel School District","=""0090011""",842,2153,232,3227
"Bloomfield School District","=""0110011""",853,871,173,1897
"Bolton School District","=""0120011""",146,527,15,688
"Booker T. Washington Academy District","=""2950013""",321,32,51,404
"Bozrah School District","=""0130011""",42,117,21,180
"Branford School District","=""0140011""",816,1593,158,2567
"Brass City Charter School District","=""2900013""",239,120,42,401
"Bridgeport School District","=""0150011""",16801,2512,709,20022
"Bristol School District","=""0170011""",3647,3444,622,7713
"Brookfield School District","=""0180011""",486,1935,121,2542
"Brooklyn School District","=""0190011""",291,507,54,852
"Canaan School District","=""0210011""",15,44,11,70
"Canterbury School District","=""0220011""",129,335,48,512
"Canton School District","=""0230011""",220,1154,65,1439
"Capital Preparatory Harbor School District","=""2970013""",476,244,55,775
"Capitol Region Education Council","=""2410014""",4996,3343,752,9091
"Chaplin School District","=""0240011""","*",98,"*",150
"Cheshire School District","=""0250011""",569,3548,200,4317
"Chester School District","=""0260011""",50,142,6,198
"Clinton School District","=""0270011""",453,832,141,1426
"Colchester School District","=""0280011""",433,1566,102,2101
"Colebrook School District","=""0290011""",13,42,6,61
"Columbia School District","=""0300011""",80,346,18,444
"Common Ground High School District","=""2680013""",129,79,13,221
"Connecticut Technical Education and Career System","=""9000016""",4547,5792,957,11296
"Cooperative Educational Services","=""2430014""",256,416,85,757
"Cornwall School District","=""0310011""",25,54,7,86
"Coventry School District","=""0320011""",334,1174,104,1612
"Cromwell School District","=""0330011""",440,1282,119,1841
"Danbury School District","=""0340011""",5401,5201,1354,11956
"Darien School District","=""0350011""",87,4567,19,4673
"Deep River School District","=""0360011""",47,128,14,189
"Department of Mental Health and Addiction Services","=""""","*",0,0,"*"
"Derby School District","=""0370011""",665,577,69,1311
"East Granby School District","=""0400011""",168,712,0,880
"East Haddam School District","=""0410011""",215,692,47,954
"East Hampton School District","=""0420011""",311,1289,76,1676
"East Hartford School District","=""0430011""",3489,2529,486,6504
"East Haven School District","=""0440011""",1374,1176,307,2857
"East Lyme School District","=""0450011""",494,1872,134,2500
"East Windsor School District","=""0470011""",500,433,102,1035
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",130,214,23,367
"Eastford School District","=""0390011""",43,130,0,173
"Easton School District","=""0460011""",48,829,17,894
"EdAdvance","=""2420014""",168,86,9,263
"Ellington School District","=""0480011""",478,1924,124,2526
"Elm City College Preparatory School District","=""2890013""",535,166,59,760
"Elm City Montessori School District","=""2910013""","*",175,"*",312
"Enfield School District","=""0490011""",1980,2308,406,4694
"Essex School District","=""0500011""",55,243,10,308
"Explorations District","=""2720013""",38,32,7,77
"Fairfield School District","=""0510011""",1277,7519,343,9139
"Farmington School District","=""0520011""",673,3356,166,4195
"Franklin School District","=""0530011""",43,137,8,188
"Glastonbury School District","=""0540011""",690,4816,190,5696
"Goodwin University Educational Services (GUES)","=""2310018""",602,527,94,1223
"Granby School District","=""0560011""",217,1417,75,1709
"Great Oaks Charter School District","=""2940013""",499,118,45,662
"Greenwich School District","=""0570011""",1268,6768,429,8465
"Griswold School District","=""0580011""",818,840,165,1823
"Groton School District","=""0590011""",2367,1297,345,4009
"Guilford School District","=""0600011""",337,2636,107,3080
"Hamden School District","=""0620011""",2133,2973,358,5464
"Hampton School District","=""0630011""",29,38,7,74
"Hartford School District","=""0640011""",12098,3835,501,16434
"Hartland School District","=""0650011""","*",101,"*",123
"Hebron School District","=""0670011""",91,564,26,681
"Highville Charter School District","=""2860013""",307,146,46,499
"Integrated Day Charter School District","=""2640013""",157,172,35,364
"Interdistrict School for Arts and Comm District","=""2650013""",188,104,36,328
"Jumoke Academy District","=""2610013""","*","*",0,571
"Kent School District","=""0680011""",35,131,14,180
"Killingly School District","=""0690011""",1007,1170,215,2392
"Learn","=""2450014""",677,564,149,1390
"Lebanon School District","=""0710011""",209,699,60,968
"Ledyard School District","=""0720011""",523,1677,147,2347
