"Student Counts by District and English Learner Status"
"All Districts"
"2024-25"

"",,"English Learner Status",,
"District","District Code","Not English Learner/Multilingual Learner","English Learner/Multilingual Learner","Total"
"Achievement First Bridgeport Academy District","=""2850013""",923,167,1090
"Achievement First Hartford Academy District","=""2880013""",855,52,907
"Amistad Academy District","=""2790013""",958,147,1105
"Andover School District","=""0010011""",232,7,239
"Ansonia School District","=""0020011""",2217,187,2404
"Area Cooperative Educational Services","=""2440014""",1636,90,1726
"Ashford School District","=""0030011""","*","*",351
"Avon School District","=""0040011""",2993,99,3092
"Barkhamsted School District","=""0050011""","*","*",227
"Berlin School District","=""0070011""",2512,122,2634
"Bethany School District","=""0080011""",407,23,430
"Bethel School District","=""0090011""",2963,264,3227
"Bloomfield School District","=""0110011""",1802,95,1897
"Bolton School District","=""0120011""","*","*",688
"Booker T. Washington Academy District","=""2950013""",387,17,404
"Bozrah School District","=""0130011""","*","*",180
"Branford School District","=""0140011""",2373,194,2567
"Brass City Charter School District","=""2900013""",384,17,401
"Bridgeport School District","=""0150011""",13800,6222,20022
"Bristol School District","=""0170011""",7152,561,7713
"Brookfield School District","=""0180011""",2423,119,2542
"Brooklyn School District","=""0190011""",836,16,852
"Canaan School District","=""0210011""","*","*",70
"Canterbury School District","=""0220011""",497,15,512
"Canton School District","=""0230011""",1427,12,1439
"Capital Preparatory Harbor School District","=""2970013""",701,74,775
"Capitol Region Education Council","=""2410014""",8176,915,9091
"Chaplin School District","=""0240011""","*","*",150
"Cheshire School District","=""0250011""",4159,158,4317
"Chester School District","=""0260011""","*","*",198
"Clinton School District","=""0270011""",1252,174,1426
"Colchester School District","=""0280011""",2057,44,2101
"Colebrook School District","=""0290011""",61,0,61
"Columbia School District","=""0300011""","*","*",444
"Common Ground High School District","=""2680013""",205,16,221
"Connecticut Technical Education and Career System","=""9000016""",10645,651,11296
"Cooperative Educational Services","=""2430014""",728,29,757
"Cornwall School District","=""0310011""","*","*",86
"Coventry School District","=""0320011""",1592,20,1612
"Cromwell School District","=""0330011""",1740,101,1841
"Danbury School District","=""0340011""",7463,4493,11956
"Darien School District","=""0350011""",4607,66,4673
"Deep River School District","=""0360011""",179,10,189
"Department of Mental Health and Addiction Services","=""""","*",0,"*"
"Derby School District","=""0370011""",1228,83,1311
"East Granby School District","=""0400011""",857,23,880
"East Haddam School District","=""0410011""",948,6,954
"East Hampton School District","=""0420011""",1659,17,1676
"East Hartford School District","=""0430011""",5223,1281,6504
"East Haven School District","=""0440011""",2467,390,2857
"East Lyme School District","=""0450011""",2399,101,2500
"East Windsor School District","=""0470011""",976,59,1035
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",359,8,367
"Eastford School District","=""0390011""","*","*",173
"Easton School District","=""0460011""",861,33,894
"EdAdvance","=""2420014""",257,6,263
"Ellington School District","=""0480011""",2474,52,2526
"Elm City College Preparatory School District","=""2890013""",670,90,760
"Elm City Montessori School District","=""2910013""",303,9,312
"Enfield School District","=""0490011""",4502,192,4694
"Essex School District","=""0500011""",298,10,308
"Explorations District","=""2720013""",77,0,77
"Fairfield School District","=""0510011""",8795,344,9139
"Farmington School District","=""0520011""",3947,248,4195
"Franklin School District","=""0530011""",188,0,188
"Glastonbury School District","=""0540011""",5479,217,5696
"Goodwin University Educational Services (GUES)","=""2310018""",1061,162,1223
"Granby School District","=""0560011""",1698,11,1709
"Great Oaks Charter School District","=""2940013""",534,128,662
"Greenwich School District","=""0570011""",8005,460,8465
"Griswold School District","=""0580011""",1791,32,1823
"Groton School District","=""0590011""",3838,171,4009
"Guilford School District","=""0600011""",3025,55,3080
"Hamden School District","=""0620011""",4988,476,5464
"Hampton School District","=""0630011""",74,0,74
"Hartford School District","=""0640011""",12121,4313,16434
"Hartland School District","=""0650011""",123,0,123
"Hebron School District","=""0670011""","*","*",681
"Highville Charter School District","=""2860013""","*","*",499
"Integrated Day Charter School District","=""2640013""",337,27,364
"Interdistrict School for Arts and Comm District","=""2650013""",274,54,328
"Jumoke Academy District","=""2610013""",562,9,571
"Kent School District","=""0680011""","*","*",180
"Killingly School District","=""0690011""",2328,64,2392
"Learn","=""2450014""",1268,122,1390
"Lebanon School District","=""0710011""",962,6,968
"Ledyard School District","=""0720011""",2308,39,2347
"Lisbon School District","=""0730011""",412,10,422
"Madison School District","=""0760011""",2416,29,2445
"Manchester School District","=""0770011""",5568,554,6122
"Mansfield School District","=""0780011""",890,76,966
"Marlborough School District","=""0790011""","*","*",458
"Meriden School District","=""0800011""",6962,1745,8707
"Middletown School District","=""0830011""",4101,293,4394
"Milford School District","=""0840011""",5069,149,5218
"Monroe School District","=""0850011""",3375,83,3458
"Montville School District","=""0860011""",1905,96,2001
"Naugatuck School District","=""0880011""",3535,560,4095
"New Beginnings Inc Family Academy District","=""2800013""",380,51,431
"New Britain School District","=""0890011""",7996,2042,10038
"New Canaan School District","=""0900011""",4041,19,4060
"New Fairfield School District","=""0910011""",2032,91,2123
"New Hartford School District","=""0920011""",427,6,433
"New Haven School District","=""0930011""",14275,4542,18817
"New London School District","=""0950011""",1973,945,2918
"New Milford School District","=""0960011""",3207,325,3532
"Newington School District","=""0940011""",3492,363,3855
"Newtown School District","=""0970011""",3854,70,3924
"Norfolk School District","=""0980011""","*","*",61
"North Branford School District","=""0990011""",1524,22,1546
"North Canaan School District","=""1000011""",231,14,245
"North Haven School District","=""1010011""",3014,200,3214
"North Stonington School District","=""1020011""","*","*",726
"Norwalk School District","=""1030011""",8792,2681,11473
"Norwich Free Academy District","=""9010022""",1779,318,2097
"Norwich School District","=""1040011""",2484,807,3291
"Odyssey Community School District","=""2630013""",372,38,410
