"Student Counts by District and Special Education Status"
"All Districts"
"2024-25"

"",,"Special Education Status",,
"District","District Code","Students without Disabilities","Students with Disabilities","Total"
"Achievement First Bridgeport Academy District","=""2850013""",941,149,1090
"Achievement First Hartford Academy District","=""2880013""",803,104,907
"Amistad Academy District","=""2790013""",1004,101,1105
"Andover School District","=""0010011""",207,32,239
"Ansonia School District","=""0020011""",1972,432,2404
"Area Cooperative Educational Services","=""2440014""",878,848,1726
"Ashford School District","=""0030011""",292,59,351
"Avon School District","=""0040011""",2695,397,3092
"Barkhamsted School District","=""0050011""",164,63,227
"Berlin School District","=""0070011""",2196,438,2634
"Bethany School District","=""0080011""",339,91,430
"Bethel School District","=""0090011""",2674,553,3227
"Bloomfield School District","=""0110011""",1484,413,1897
"Bolton School District","=""0120011""",611,77,688
"Booker T. Washington Academy District","=""2950013""",362,42,404
"Bozrah School District","=""0130011""",141,39,180
"Branford School District","=""0140011""",2172,395,2567
"Brass City Charter School District","=""2900013""",343,58,401
"Bridgeport School District","=""0150011""",15868,4154,20022
"Bristol School District","=""0170011""",6025,1688,7713
"Brookfield School District","=""0180011""",2180,362,2542
"Brooklyn School District","=""0190011""",660,192,852
"Canaan School District","=""0210011""",58,12,70
"Canterbury School District","=""0220011""",439,73,512
"Canton School District","=""0230011""",1166,273,1439
"Capital Preparatory Harbor School District","=""2970013""",711,64,775
"Capitol Region Education Council","=""2410014""",7026,2065,9091
"Chaplin School District","=""0240011""",118,32,150
"Cheshire School District","=""0250011""",3681,636,4317
"Chester School District","=""0260011""",171,27,198
"Clinton School District","=""0270011""",1177,249,1426
"Colchester School District","=""0280011""",1702,399,2101
"Colebrook School District","=""0290011""",46,15,61
"Columbia School District","=""0300011""",376,68,444
"Common Ground High School District","=""2680013""",156,65,221
"Connecticut Technical Education and Career System","=""9000016""",9370,1926,11296
"Cooperative Educational Services","=""2430014""",449,308,757
"Cornwall School District","=""0310011""","*","*",86
"Coventry School District","=""0320011""",1361,251,1612
"Cromwell School District","=""0330011""",1579,262,1841
"Danbury School District","=""0340011""",10205,1751,11956
"Darien School District","=""0350011""",3700,973,4673
"Deep River School District","=""0360011""",155,34,189
"Department of Mental Health and Addiction Services","=""""",0,"*","*"
"Derby School District","=""0370011""",990,321,1311
"East Granby School District","=""0400011""",752,128,880
"East Haddam School District","=""0410011""",819,135,954
"East Hampton School District","=""0420011""",1348,328,1676
"East Hartford School District","=""0430011""",4955,1549,6504
"East Haven School District","=""0440011""",2294,563,2857
"East Lyme School District","=""0450011""",1977,523,2500
"East Windsor School District","=""0470011""",832,203,1035
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",214,153,367
"Eastford School District","=""0390011""",138,35,173
"Easton School District","=""0460011""",723,171,894
"EdAdvance","=""2420014""",161,102,263
"Ellington School District","=""0480011""",2078,448,2526
"Elm City College Preparatory School District","=""2890013""",672,88,760
"Elm City Montessori School District","=""2910013""",260,52,312
"Enfield School District","=""0490011""",3686,1008,4694
"Essex School District","=""0500011""",220,88,308
"Explorations District","=""2720013""",48,29,77
"Fairfield School District","=""0510011""",7346,1793,9139
"Farmington School District","=""0520011""",3633,562,4195
"Franklin School District","=""0530011""",165,23,188
"Glastonbury School District","=""0540011""",4897,799,5696
"Goodwin University Educational Services (GUES)","=""2310018""",1016,207,1223
"Granby School District","=""0560011""",1410,299,1709
"Great Oaks Charter School District","=""2940013""",549,113,662
"Greenwich School District","=""0570011""",7112,1353,8465
"Griswold School District","=""0580011""",1434,389,1823
"Groton School District","=""0590011""",3185,824,4009
"Guilford School District","=""0600011""",2575,505,3080
"Hamden School District","=""0620011""",4344,1120,5464
"Hampton School District","=""0630011""",52,22,74
"Hartford School District","=""0640011""",13029,3405,16434
"Hartland School District","=""0650011""",100,23,123
"Hebron School District","=""0670011""",579,102,681
"Highville Charter School District","=""2860013""",449,50,499
"Integrated Day Charter School District","=""2640013""",323,41,364
"Interdistrict School for Arts and Comm District","=""2650013""",263,65,328
"Jumoke Academy District","=""2610013""",525,46,571
"Kent School District","=""0680011""",151,29,180
"Killingly School District","=""0690011""",1881,511,2392
"Learn","=""2450014""",1127,263,1390
"Lebanon School District","=""0710011""",782,186,968
"Ledyard School District","=""0720011""",1873,474,2347
"Lisbon School District","=""0730011""",331,91,422
"Madison School District","=""0760011""",2036,409,2445
"Manchester School District","=""0770011""",4851,1271,6122
"Mansfield School District","=""0780011""",832,134,966
"Marlborough School District","=""0790011""",399,59,458
"Meriden School District","=""0800011""",6829,1878,8707
"Middletown School District","=""0830011""",3577,817,4394
"Milford School District","=""0840011""",4201,1017,5218
"Monroe School District","=""0850011""",2862,596,3458
"Montville School District","=""0860011""",1573,428,2001
"Naugatuck School District","=""0880011""",3277,818,4095
"New Beginnings Inc Family Academy District","=""2800013""",385,46,431
"New Britain School District","=""0890011""",7577,2461,10038
"New Canaan School District","=""0900011""",3511,549,4060
"New Fairfield School District","=""0910011""",1723,400,2123
"New Hartford School District","=""0920011""",326,107,433
"New Haven School District","=""0930011""",15743,3074,18817
"New London School District","=""0950011""",2244,674,2918
"New Milford School District","=""0960011""",2903,629,3532
"Newington School District","=""0940011""",3218,637,3855
"Newtown School District","=""0970011""",3311,613,3924
"Norfolk School District","=""0980011""",45,16,61
"North Branford School District","=""0990011""",1323,223,1546
"North Canaan School District","=""1000011""",210,35,245
"North Haven School District","=""1010011""",2741,473,3214
"North Stonington School District","=""1020011""",622,104,726
"Norwalk School District","=""1030011""",9342,2131,11473
"Norwich Free Academy District","=""9010022""",1840,257,2097
"Norwich School District","=""1040011""",2524,767,3291
"Odyssey Community School District","=""2630013""",357,53,410
"Old Saybrook School District","=""1060011""",868,162,1030
"Orange School District","=""1070011""",1117,137,1254
"Oxford School District","=""1080011""",1345,277,1622
"Park City Prep Charter School District","=""2830013""",393,41,434
"Plainfield School District","=""1090011""",1505,381,1886
"Plainville School District","=""1100011""",1869,354,2223
"Plymouth School District","=""1110011""",926,318,1244
"Pomfret School District","=""1120011""",275,58,333
"Portland School District","=""1130011""",968,282,1250
"Preston School District","=""1140011""",362,70,432
"Putnam School District","=""1160011""",945,231,1176
"Redding School District","=""1170011""",708,147,855
"Regional School District 01","=""2010012""",304,52,356
"Regional School District 04","=""2040012""",524,122,646
"Regional School District 05","=""2050012""",1845,293,2138
"Regional School District 07","=""2070012""",626,192,818
"Regional School District 08","=""2080012""",911,164,1075
"Regional School District 09","=""2090012""",608,104,712
"Regional School District 10","=""2100012""",1779,361,2140
"Regional School District 11","=""2110012""",143,51,194
"Regional School District 12","=""2120012""",691,107,798
"Regional School District 13","=""2130012""",1048,291,1339
"Regional School District 14","=""2140012""",1260,301,1561
"Regional School District 15","=""2150012""",2730,638,3368
"Regional School District 16","=""2160012""",1583,315,1898
"Regional School District 17","=""2170012""",1403,313,1716
"Regional School District 18","=""2180012""",1086,195,1281
"Regional School District 19","=""2190012""",855,206,1061
"Regional School District 20","=""2200012""",1312,307,1619
"Ridgefield School District","=""1180011""",3634,850,4484
"Rocky Hill School District","=""1190011""",2148,391,2539
"Salem School District","=""1210011""",328,64,392
"Salisbury School District","=""1220011""",237,51,288
"Scotland School District","=""1230011""",70,26,96
"Seymour School District","=""1240011""",1726,377,2103
"Sharon School District","=""1250011""",77,20,97
"Shelton School District","=""1260011""",3703,815,4518
"Sherman School District","=""1270011""",208,23,231
"Side By Side Charter School District","=""2700013""",219,17,236
"Simsbury School District","=""1280011""",3391,736,4127
"Somers School District","=""1290011""",1141,206,1347
"South Windsor School District","=""1320011""",4463,662,5125
"Southington School District","=""1310011""",5126,1074,6200
"Sprague School District","=""1330011""",214,51,265
"Stafford School District","=""1340011""",1006,260,1266
"Stamford Charter School for Excellence District","=""2960013""",512,31,543
"Stamford School District","=""1350011""",13355,2830,16185
"Sterling School District","=""1360011""",241,69,310
"Stonington School District","=""1370011""",1434,288,1722
"Stratford School District","=""1380011""",5310,1268,6578
"Suffield School District","=""1390011""",1684,343,2027
"The Bridge Academy District","=""2690013""",232,49,281
"The Gilbert School District","=""9020022""",386,66,452
"The Woodstock Academy District","=""9030022""",930,92,1022
"Thomaston School District","=""1400011""",655,122,777
"Thompson School District","=""1410011""",648,178,826
"Tolland School District","=""1420011""",1770,374,2144
"Torrington School District","=""1430011""",3128,783,3911
"Trumbull School District","=""1440011""",5890,1053,6943
"Unified School District #1","=""3360015""",22,123,145
"Unified School District #2","=""3470015""",9,71,80
"Union School District","=""1450011""",39,"*","*"
"Vernon School District","=""1460011""",2592,644,3236
"Voluntown School District","=""1470011""",182,35,217
"Wallingford School District","=""1480011""",4236,1005,5241
"Waterbury School District","=""1510011""",14845,3931,18776
"Waterford School District","=""1520011""",1866,415,2281
"Watertown School District","=""1530011""",2083,445,2528
"West Hartford School District","=""1550011""",7427,1701,9128
"West Haven School District","=""1560011""",4762,1188,5950
"Westbrook School District","=""1540011""",496,96,592
"Weston School District","=""1570011""",1781,320,2101
