"Student Counts by District and Grade"
"All Districts"
"2024-25"

"",,"Grade",,,,,,,,,,,,,,
"District","District Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"Andover School District","=""0010011""",60,22,21,25,35,27,26,23,0,0,0,0,0,0,239
"Ansonia School District","=""0020011""",123,133,168,173,183,195,194,164,190,210,176,158,187,150,2404
"Area Cooperative Educational Services","=""2440014""","*","*",88,94,91,93,93,261,239,288,134,55,55,179,1726
"Ashford School District","=""0030011""",34,30,33,31,32,31,38,45,43,34,0,0,0,0,351
"Avon School District","=""0040011""",88,160,233,214,231,238,257,240,207,254,236,255,221,258,3092
"Barkhamsted School District","=""0050011""",17,31,32,26,35,33,28,25,0,0,0,0,0,0,227
"Berlin School District","=""0070011""",72,158,172,188,200,190,185,198,205,195,195,209,198,269,2634
"Bethany School District","=""0080011""",18,53,56,46,62,56,77,62,0,0,0,0,0,0,430
"Bethel School District","=""0090011""",92,172,223,196,197,212,245,238,261,259,268,269,286,309,3227
"Bloomfield School District","=""0110011""",326,69,88,79,100,85,101,138,129,127,171,136,176,172,1897
"Bolton School District","=""0120011""",14,45,41,61,47,53,49,56,53,54,51,48,66,50,688
"Bozrah School District","=""0130011""",17,19,12,23,18,18,18,16,21,18,0,0,0,0,180
"Branford School District","=""0140011""",126,157,168,187,186,180,182,214,178,203,189,191,199,207,2567
"Brass City Charter School District","=""2900013""",40,40,40,42,40,40,42,40,40,37,0,0,0,0,401
"Bridgeport School District","=""0150011""",1072,1343,1509,1551,1538,1395,1455,1470,1433,1484,1906,1387,1287,1192,20022
"Bristol School District","=""0170011""",295,476,517,540,610,523,619,542,592,605,624,584,585,601,7713
"Brookfield School District","=""0180011""",44,127,172,168,202,181,193,195,191,209,204,209,210,237,2542
"Brooklyn School District","=""0190011""",83,56,80,75,84,91,108,95,92,80,"*",0,"*","*",852
"Canterbury School District","=""0220011""",42,56,57,43,50,47,47,56,51,59,"*",0,"*","*",512
"Canton School District","=""0230011""",42,81,98,96,109,105,118,112,98,119,110,126,101,124,1439
"Capitol Region Education Council","=""2410014""",1067,598,610,615,584,584,586,697,715,673,670,587,597,508,9091
"Chaplin School District","=""0240011""",18,11,19,18,23,19,26,16,0,0,0,0,0,0,150
"Cheshire School District","=""0250011""",159,240,312,314,388,324,315,347,339,324,316,310,305,324,4317
"Clinton School District","=""0270011""",65,88,79,91,106,104,93,110,115,100,110,109,135,121,1426
"Colchester School District","=""0280011""",94,135,145,179,185,174,152,148,145,160,150,134,159,141,2101
"Columbia School District","=""0300011""",30,36,33,52,39,41,54,47,57,53,0,0,"*","*",444
"Cooperative Educational Services","=""2430014""",146,42,56,57,68,57,55,45,47,44,25,17,20,78,757
"Cornwall School District","=""0310011""","*",7,13,10,10,12,9,11,7,"*",0,0,0,0,86
