"Student Enrollment Trend"
"Student Counts by District and Year"
"All Districts"

"",,"YEAR",,,,,
"DISTRICT","District Code","2019-20","2020-21","2021-22","2022-23","2023-24","2024-25"
"Achievement First Bridgeport Academy District","=""2850013""",1110,1127,1105,1084,1098,1090
"Achievement First Hartford Academy District","=""2880013""",1169,1164,1123,1041,961,907
"Amistad Academy District","=""2790013""",1103,1134,1115,1116,1125,1105
"Andover School District","=""0010011""",195,174,192,197,205,239
"Ansonia School District","=""0020011""",2284,2238,2265,2332,2397,2404
"Area Cooperative Educational Services","=""2440014""",1836,1826,1819,1740,1719,1726
"Ashford School District","=""0030011""",390,370,381,368,355,351
"Avon School District","=""0040011""",3185,3128,3127,3106,3125,3092
"Barkhamsted School District","=""0050011""",219,203,209,209,218,227
"Berlin School District","=""0070011""",2755,2715,2668,2682,2661,2634
"Bethany School District","=""0080011""",370,370,389,429,445,430
"Bethel School District","=""0090011""",3148,3089,3160,3223,3249,3227
"Bloomfield School District","=""0110011""",2206,2080,2041,2055,1982,1897
"Bolton School District","=""0120011""",779,753,750,734,699,688
"Booker T. Washington Academy District","=""2950013""",420,480,519,444,384,404
"Bozrah School District","=""0130011""",190,180,169,170,170,180
"Branford School District","=""0140011""",2802,2590,2634,2651,2625,2567
"Brass City Charter School District","=""2900013""",326,361,360,360,363,401
"Bridgeport School District","=""0150011""",20311,19449,19231,19337,19591,20022
"Bristol School District","=""0170011""",7976,7726,7756,7784,7774,7713
"Brookfield School District","=""0180011""",2623,2563,2601,2563,2582,2542
"Brooklyn School District","=""0190011""",918,831,878,903,885,852
"Canaan School District","=""0210011""",67,68,74,72,80,70
"Canterbury School District","=""0220011""",475,435,470,474,486,512
"Canton School District","=""0230011""",1574,1517,1512,1528,1506,1439
"Capital Preparatory Harbor School District","=""2970013""",760,785,793,772,781,775
"Capitol Region Education Council","=""2410014""",8657,8799,8751,8942,8916,9091
"Chaplin School District","=""0240011""",140,131,155,144,154,150
"Cheshire School District","=""0250011""",4199,4122,4193,4208,4224,4317
"Chester School District","=""0260011""",186,201,210,222,207,198
"Clinton School District","=""0270011""",1682,1570,1549,1497,1457,1426
"Colchester School District","=""0280011""",2322,2193,2221,2235,2161,2101
"Colebrook School District","=""0290011""",74,75,77,72,66,61
"Columbia School District","=""0300011""",410,402,442,464,477,444
"Common Ground High School District","=""2680013""",223,236,231,226,223,221
"Connecticut Technical Education and Career System","=""9000016""",10995,11338,11500,11183,11194,11296
"Cooperative Educational Services","=""2430014""",859,789,828,822,808,757
"Cornwall School District","=""0310011""",87,104,111,94,97,86
"Coventry School District","=""0320011""",1678,1606,1658,1657,1633,1612
