"Student Counts by School and Year"
"All Districts, All Schools"
"2024-25"

"District","District Code","School","School Code","Count"
"Achievement First Bridgeport Academy District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",1090
"Achievement First Hartford Academy District","=""2880013""","Achievement First Hartford Academy","=""2880113""",907
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",1105
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",239
"Ansonia School District","=""0020011""","Ansonia 18-21 Transition Program","=""0021011""",7
,,"Ansonia High School","=""0026111""",617
,,"Ansonia Middle School","=""0025111""",560
,,"Mead School","=""0020311""",578
,,"P.A.C.E. (Positive And Creative Education)","=""0020111""",29
,,"P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""",8
,,"Prendergast School","=""0020811""",588
"Area Cooperative Educational Services","=""2440014""","ACES Mill Road School","=""2449414""",126
,,"ACES at Ansonia Middle School","=""2440514""",14
,,"ACES at Mead Elementary School","=""2440414""",24
,,"CREATE at Whitney Academy","=""2440114""",103
,,"Center for Autism Spectrum and Development Disorders","=""2449614""",46
,,"The Bridge at ACES","=""2440614""",32
,,"Village School","=""2449514""",137
,,"Whitney Academy","=""2449214""",72
,,"Whitney High School North","=""2449114""",107
,,"Wintergreen Interdistrict Magnet School","=""2440314""",509
"Ashford School District","=""0030011""","Ashford School","=""0030111""",351
"Avon School District","=""0040011""","Avon Early Learning Center at Roaring Brook School","=""0040111""",88
,,"Avon High School","=""0046111""",946
,,"Avon Middle School","=""0045111""",461
,,"Pine Grove School","=""0040411""",613
,,"Roaring Brook School","=""0040311""",461
,,"Thompson Brook School","=""0040511""",497
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",205
,,"Bridges at Barkhamsted Elementary School","=""0050211""","*"
,,"Shared Services Integrated Preschool","=""0058011""",17
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",836
,,"Catherine M. McGee Middle School","=""0075111""",595
,,"Central Connecticut Transition Academy","=""0070311""",21
,,"Emma Hart Willard School","=""0070411""",434
,,"Mary E. Griswold School","=""0070511""",513
,,"Richard D. Hubbard School","=""0070111""",215
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",430
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",303
,,"Bethel High School","=""0096111""",1097
,,"Bethel Middle School","=""0095111""",758
,,"Community Partnership Program","=""0090211""",15
,,"Frank A. Berry School","=""0090111""",378
,,"Ralph M. T. Johnson School","=""0090511""",652
,,"TASK","=""0090311""",11
"Bloomfield School District","=""0110011""","BELIEVE Academy","=""0110211""","*"
,,"Bloomfield High School","=""0116111""",528
,,"Bloomfield P.E.E.P.S","=""0110411""",21
,,"Carmen Arace Intermediate School","=""0110711""",210
,,"Carmen Arace Middle School","=""0115211""",202
,,"Global Experience Magnet School","=""0116311""",175
,,"Laurel Literacy Academy","=""0110611""",247
,,"Metacomet School","=""0110511""",183
,,"Steps to Success","=""0110111""",8
,,"Wintonbury Early Childhood Magnet School","=""0110811""",289
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",473
,,"Bolton High School","=""0126111""",212
,,"Bolton Transition Program","=""0120211""","*"
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""",404
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",180
"Branford School District","=""0140011""","Access Transition Program","=""0140311""",12
,,"Branford High School","=""0146111""",738
,,"Branford High School Atlas Program","=""0140211""",22
,,"Francis Walsh Intermediate School","=""0145111""",775
,,"Indian Neck School","=""0148011""",68
,,"John B. Sliney School","=""0141611""",252
,,"Mary R. Tisko School","=""0141511""",365
,,"Mary T. Murphy School","=""0141411""",318
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""",401
"Bridgeport School District","=""0150011""","A.B. Skane Center","=""0154411""",183
,,"Aerospace/Hydrospace, Engineering and Physical Sciences Magnet High School","=""0150811""",324
,,"Barnum School","=""0150111""",588
,,"Bassick High School","=""0156111""",1075
,,"Beardsley School","=""0150211""",327
,,"Biotechnology, Research & Zoological Studies Magnet High School","=""0150611""",376
,,"Black Rock School","=""0150311""",439
,,"Blackham School","=""0154011""",1088
,,"Bridgeport Learning Center","=""0159011""",46
,,"Bridgeport Military Academy","=""0151611""",321
,,"Bryant School","=""0150411""",317
,,"Central High School","=""0156211""",1803
,,"Cesar Batalla School","=""0151411""",990
,,"Classical Studies Academy","=""0152111""",351
,,"Columbus School","=""0150511""",546
,,"Edison School","=""0150711""",181
,,"Geraldine Claytor Magnet Academy","=""0153111""",450
,,"Geraldine Johnson School","=""0153211""",825
,,"Hall School","=""0151111""",162
,,"Hallen School","=""0151211""",280
,,"High Horizons Magnet School","=""0154511""",443
,,"Information Technology & Software Engineering Magnet High School","=""0151511""",386
,,"Interdistrict Discovery Magnet School","=""0153711""",492
,,"James J. Curiale School","=""0154211""",509
,,"Jettie S. Tisdale School","=""0152211""",547
,,"John Winthrop School","=""0153611""",607
,,"Luis Munoz Marin School","=""0151011""",709
,,"Madison School","=""0152011""",451
,,"Multicultural Magnet School","=""0154611""",436
,,"Park City Magnet School","=""0151711""",487
,,"Paul Laurence Dunbar School","=""0154111""",391
,,"Read School","=""0152511""",863
,,"Roosevelt School","=""0152611""",493
,,"The Transition Academy","=""0152811""",40
,,"Thomas Hooker School","=""0151311""",288
,,"Waltersville School","=""0153011""",432
,,"Warren Harding High School","=""0156311""",1324
,,"Wilbur Cross School","=""0153911""",318
"Bristol School District","=""0170011""","ACCESS","=""0170211""",8
,,"Breakthrough","=""0172611""",22
,,"Bristol Arts and Innovation Magnet School","=""0174011""",268
,,"Bristol Central High School","=""0176111""",1148
,,"Bristol Central High School EXCEL","=""0174411""",13
,,"Bristol Central High School Learning Center","=""0174311""",18
,,"Bristol Eastern High School","=""0176211""",998
,,"Bristol Eastern High School EXCEL","=""0174811""",13
,,"Bristol Eastern High School Learning Center","=""0174511""",26
,,"Bristol Preparatory Academy","=""0173311""",50
,,"CHMS Learning Center","=""0173411""","*"
,,"Chippens Hill Middle School","=""0175111""",545
,,"Chippens Hill Middle School EXCEL","=""0171011""",28
,,"Community/Vocational Program","=""0179211""",28
,,"Destinations Academy","=""0179011""",20
,,"Destinations Attendance Recovery","=""0174111""",12
,,"Edgewood Pre-K Academy","=""0170411""",267
,,"Ellen P. Hubbell School","=""0171411""",331
,,"Greene-Hills School","=""0170511""",918
,,"Ivy Drive School","=""0171911""",385
,,"LEAD","=""0173711""",31
,,"LEAD Pre-K","=""0172911""",28
,,"Mountain View School","=""0171711""",356
,,"Mountain View School EXCEL","=""0172311""",11
,,"Northeast Middle School","=""0175211""",324
,,"Northeast Middle School EXCEL","=""0174611""",6
,,"Northeast Middle School Learning Center","=""0172811""",8
,,"South Side School","=""0171111""",515
,,"Stafford LEAD","=""0173211""",29
,,"Stafford School","=""0171211""",353
,,"West Bristol School","=""0172011""",833
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",849
,,"Candlewood Lake Elementary School","=""0180111""",1085
,,"Whisconier Middle School","=""0185311""",595
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",469
,,"Brooklyn Middle School","=""0195111""",373
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",70
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",295
,,"Dr. Helen Baldwin Middle School","=""0225111""",213
