"College Entrance and Persistence, 2022-23"
"All Districts, All Students"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""",62.6,N/A
"Avon School District","=""0040011""",84.7,N/A
"Berlin School District","=""0070011""",83.1,N/A
"Bethel School District","=""0090011""",74.1,N/A
"Bloomfield School District","=""0110011""",68.6,N/A
"Bolton School District","=""0120011""",74.6,N/A
"Branford School District","=""0140011""",78.3,N/A
"Bridgeport School District","=""0150011""",52.0,N/A
"Bristol School District","=""0170011""",61.7,N/A
"Brookfield School District","=""0180011""",85.4,N/A
"Canton School District","=""0230011""",86.1,N/A
"Cheshire School District","=""0250011""",84.3,N/A
"Clinton School District","=""0270011""",73.9,N/A
"Colchester School District","=""0280011""",75.4,N/A
"Coventry School District","=""0320011""",73.0,N/A
"Cromwell School District","=""0330011""",80.6,N/A
"Danbury School District","=""0340011""",61.5,N/A
"Darien School District","=""0350011""",89.7,N/A
"Derby School District","=""0370011""",56.5,N/A
"East Granby School District","=""0400011""",81.1,N/A
"East Haddam School District","=""0410011""",74.6,N/A
"East Hampton School District","=""0420011""",66.1,N/A
"East Hartford School District","=""0430011""",55.4,N/A
"East Haven School District","=""0440011""",56.2,N/A
"East Lyme School District","=""0450011""",80.7,N/A
"East Windsor School District","=""0470011""",49.2,N/A
"Ellington School District","=""0480011""",77.9,N/A
"Enfield School District","=""0490011""",62.7,N/A
"Fairfield School District","=""0510011""",86.4,N/A
"Farmington School District","=""0520011""",84.4,N/A
"Glastonbury School District","=""0540011""",84.1,N/A
"Granby School District","=""0560011""",86.5,N/A
"Greenwich School District","=""0570011""",85.8,N/A
"Griswold School District","=""0580011""",61.5,N/A
"Groton School District","=""0590011""",56.9,N/A
"Guilford School District","=""0600011""",87.5,N/A
"Hamden School District","=""0620011""",67.6,N/A
"Hartford School District","=""0640011""",50.0,N/A
"Killingly School District","=""0690011""",68.9,N/A
"Lebanon School District","=""0710011""",76.1,N/A
"Ledyard School District","=""0720011""",61.4,N/A
"Litchfield School District","=""0740011""",77.2,N/A
"Madison School District","=""0760011""",86.4,N/A
"Manchester School District","=""0770011""",60.9,N/A
"Meriden School District","=""0800011""",58.4,N/A
"Middletown School District","=""0830011""",66.5,N/A
