LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,CD,SLDL,SLDU,SCHOOLYEAR,LOCALE,PCT_CITY11,PCT_CITY12,PCT_CITY13,PCT_SUB21,PCT_SUB22,PCT_SUB23,PCT_TOWN31,PCT_TOWN32,PCT_TOWN33,PCT_RURAL41,PCT_RURAL42,PCT_RURAL43
3200001,State Sponsored Charter Schools,32,1749 N Stewart St # 40,CARSON CITY,NV,89706,32,32510,Carson City,39.175404,-119.762228,16180,"Carson City, NV",1,456,"Reno-Carson City-Gardnerville Ranchos, NV-CA",3202,32040,32016,2023-2024,11,69.44,6.17,0,17.24,0,0,0,0,1.74,5.41,0,0
3200021,Davidson Academy,32,Jot Travis Building #048 1164 N. Virginia St,Reno,NV,89503,32,32031,Washoe County,39.538754,-119.816216,39900,"Reno, NV",1,456,"Reno-Carson City-Gardnerville Ranchos, NV-CA",3202,32024,32013,2023-2024,11,100,0,0,0,0,0,0,0,0,0,0,0
3200023,Correctional School District,32,100 Youth Center Rd,Elko,NV,89801,32,32007,Elko County,40.88057,-115.726859,21220,"Elko, NV",2,N,N,3202,32033,32019,2023-2024,41,0,0,0,0,0,0,0,0,0,100,0,0
3200030,Churchill,32,690 South Maine Street,Fallon,NV,89406,32,32001,Churchill County,39.468399,-118.777963,21980,"Fallon, NV",2,456,"Reno-Carson City-Gardnerville Ranchos, NV-CA",3202,32038,32017,2023-2024,33,0,0,0,0,0,0,0,0,100,0,0,0
3200060,Clark County,32,2832 E. Flamingo Road,Las Vegas,NV,89121,32,32003,Clark County,36.114419,-115.112546,29820,"Las Vegas-Henderson-North Las Vegas, NV",1,332,"Las Vegas-Henderson, NV",3201,32020,32007,2023-2024,11,57.22,8.88,0,28.07,0,0,0.72,0.46,0,3.8,0.13,0.72
3200090,Douglas,32,1638 Mono Avenue,Minden,NV,89423,32,32005,Douglas County,38.95374,-119.767841,23820,"Gardnerville Ranchos, NV-CA",2,456,"Reno-Carson City-Gardnerville Ranchos, NV-CA",3202,32039,32017,2023-2024,32,0,0,0,0,0,0,5.01,80.43,0,14.13,0.44,0
3200120,Elko,32,850 Elm Street,Elko,NV,89801,32,32007,Elko County,40.84013,-115.766751,21220,"Elko, NV",2,N,N,3202,32033,32019,2023-2024,33,0,0,0,0,0,0,0,0,50.05,6.89,31.31,11.75
3200150,Esmeralda,32,MM11 Hwy 264,Dyer,NV,89010,32,32009,Esmeralda County,37.667474,-118.066692,N,N,0,N,N,3204,32038,32017,2023-2024,43,0,0,0,0,0,0,0,0,0,0,0,100
3200180,Eureka,32,660 Mathew Street,Eureka,NV,89316,32,32011,Eureka County,39.514073,-115.965912,21220,"Elko, NV",2,N,N,3202,32033,32019,2023-2024,43,0,0,0,0,0,0,0,0,0,0,0,100
3200210,Humboldt,32,310 East 4th Street,Winnemucca,NV,89445,32,32013,Humboldt County,40.975071,-117.73043,49080,"Winnemucca, NV",2,N,N,3202,32032,32014,2023-2024,33,0,0,0,0,0,0,0,0,50.67,43.6,0,5.73
3200240,Lander,32,450 E. 6th Street,Battle Mountain,NV,89820,32,32015,Lander County,40.634736,-116.93686,N,N,0,N,N,3202,32032,32014,2023-2024,43,0,0,0,0,0,0,0,0,0,0,0,100
3200270,Lincoln,32,1191 Edwards Street  -  118,Panaca,NV,89042,32,32017,Lincoln County,37.792213,-114.385449,N,N,0,N,N,3204,32033,32019,2023-2024,43,0,0,0,0,0,0,0,0,0,0,0,100
3200300,Lyon,32,25 E. Goldfield Ave.,Yerington,NV,89447,32,32019,Lyon County,38.993581,-119.161694,39900,"Reno, NV",1,456,"Reno-Carson City-Gardnerville Ranchos, NV-CA",3202,32038,32017,2023-2024,32,0,0,0,0,0,0,21.99,40.07,0,10.35,11.44,16.15
3200330,Mineral,32,751 A Street,Hawthorne,NV,89415,32,32021,Mineral County,38.528467,-118.629119,N,N,0,N,N,3204,32038,32017,2023-2024,43,0,0,0,0,0,0,0,0,0,0,0,100
3200360,Nye,32,484 S. West Street,Pahrump,NV,89048,32,32023,Nye County,36.212542,-115.996631,37220,"Pahrump, NV",2,332,"Las Vegas-Henderson, NV",3204,32036,32019,2023-2024,41,0,0,0,0,0,0,0,0,39.35,44.56,0,16.09
3200390,Carson City,32,1402 West King,Carson City,NV,89703,32,32510,Carson City,39.16423,-119.779348,16180,"Carson City, NV",1,456,"Reno-Carson City-Gardnerville Ranchos, NV-CA",3202,32040,32016,2023-2024,13,0,0,100,0,0,0,0,0,0,0,0,0
