Indicator Category,Indicator Name,School / District,School / District Level,School / District Type,Region,Entity ID,Entity Name,Category,2024,2023,2022
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,15,Alton,Achievement,41.00%,38.00%,42.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,19,Andover,Achievement,50.00%,54.00%,58.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,23,Ashland,Achievement,54.00%,51.00%,52.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,31,Barnstead,Achievement,35.00%,33.00%,27.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,57,Bow,Achievement,68.00%,67.00%,62.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,75,Campton,Achievement,52.00%,58.00%,54.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,111,Concord,Achievement,51.00%,46.00%,43.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,149,Dunbarton,Achievement,54.00%,55.00%,50.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,185,Franklin,Achievement,25.00%,25.00%,23.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,187,Freedom,Achievement,40.00%,46.00%,61.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,191,Gilford,Achievement,59.00%,54.00%,57.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,195,Gilmanton,Achievement,61.00%,67.00%,65.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,208,Governor Wentworth Regional,Achievement,54.00%,51.00%,50.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,247,Hill,Achievement,47.00%,59.00%,62.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,257,Holderness,Achievement,70.00%,73.00%,72.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,269,Inter-Lakes Cooperative,Achievement,55.00%,53.00%,45.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,285,Laconia,Achievement,43.00%,39.00%,34.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,333,Madison,Achievement,54.00%,58.00%,49.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,343,Mascoma Valley Regional,Achievement,52.00%,45.00%,44.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,352,Merrimack Valley,Achievement,46.00%,44.00%,47.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,369,Moultonborough,Achievement,60.00%,54.00%,50.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,388,Newfound Area,Achievement,57.00%,60.00%,57.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,428,Pemi-Baker Regional,Achievement,64.00%,70.00%,63.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,439,Pittsfield,Achievement,35.00%,36.00%,41.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,447,Plymouth,Achievement,59.00%,55.00%,56.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,467,Rumney,Achievement,44.00%,55.00%,50.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,486,Shaker Regional,Achievement,60.00%,53.00%,50.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,525,Tamworth,Achievement,33.00%,49.00%,50.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,531,Thornton,Achievement,66.00%,70.00%,63.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,553,Waterville Valley,Achievement,55.00%,71.00%,59.00%
