,,,,,,,,,,,,,,,
Report ID : 28,,,,,,,,,,,,,,,
Type of Data: Final,,,,,,,,,,,,,,,
Report Date: 12/2/2024,,,,,,,,,,,,,,,
Run Date: 10/1/2025,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"New Hampshire Department of Education
Division of Education Analytics and Resources
Bureau of Educational Statistics
25 Hall Street, Concord, NH 03301",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Enrollments by Race/Ethnicity In New Hampshire Public Schools,,,,,,,,,,,,,,,
"As of October 1, 2024",,,,,,,,,,,,,,,
District #,District Name,American Indian or Alaskan Native,,Asian or Pacific Islander,,Hispanic,,Black Non-Hispanic,,White Non-Hispanic,,Multi-Race,,,Total
,,Count,%,Count,%,Count,%,Count,%,Count,%,Count,%,,Count
,State Total,285,0.18%,"5,098",3.14%,"14,846",9.13%,"3,452",2.12%,"132,759",81.65%,"6,147",3.78%,,"162,587"
9,Allenstown,0,0.00%,1,0.28%,26,7.47%,5,1.43%,302,86.7%,14,4.02%,,348
15,Alton,0,0.00%,2,0.49%,10,2.45%,0,0.00%,389,95.5%,6,1.47%,,407
17,Amherst,2,0.15%,18,1.37%,92,7.01%,11,0.83%,"1,149",87.5%,40,3.04%,,"1,312"
19,Andover,0,0.00%,1,0.60%,0,0.00%,0,0.00%,163,98.7%,1,0.60%,,165
23,Ashland,0,0.00%,2,1.25%,9,5.66%,2,1.25%,141,88.6%,5,3.14%,,159
29,Auburn,0,0.00%,7,1.01%,22,3.17%,3,0.43%,645,93.2%,15,2.16%,,692
31,Barnstead,0,0.00%,3,0.66%,8,1.78%,2,0.44%,436,97.1%,0,0.00%,,449
33,Barrington,0,0.00%,7,0.74%,25,2.65%,3,0.31%,876,93.0%,30,3.18%,,941
35,Bartlett,1,0.60%,6,3.63%,4,2.42%,0,0.00%,153,92.7%,1,0.60%,,165
39,Bath,0,0.00%,1,2.00%,0,0.00%,0,0.00%,49,98.0%,0,0.00%,,50
41,Bedford,5,0.12%,361,9.09%,220,5.54%,35,0.88%,"3,070",77.3%,277,6.98%,,"3,968"
51,Berlin,2,0.20%,12,1.23%,46,4.74%,9,0.92%,878,90.5%,23,2.37%,,970
53,Bethlehem,1,0.70%,4,2.81%,8,5.63%,0,0.00%,121,85.2%,8,5.63%,,142
57,Bow,0,0.00%,17,1.00%,68,4.02%,9,0.53%,"1,545",91.4%,51,3.01%,,"1,690"
63,Brentwood,4,1.41%,11,3.90%,4,1.41%,1,0.35%,258,91.4%,4,1.41%,,282
71,Brookline,0,0.00%,22,3.99%,8,1.45%,4,0.72%,507,92.0%,10,1.81%,,551
75,Campton,0,0.00%,5,1.88%,14,5.28%,0,0.00%,242,91.3%,4,1.50%,,265
79,Candia,1,0.36%,2,0.73%,15,5.51%,3,1.10%,238,87.5%,13,4.77%,,272
93,Chester,1,0.19%,10,1.96%,35,6.88%,0,0.00%,453,89.1%,9,1.77%,,508
95,Chesterfield,1,0.39%,1,0.39%,9,3.55%,1,0.39%,238,94.0%,3,1.18%,,253
99,Chichester,0,0.00%,0,0.00%,1,0.52%,0,0.00%,188,97.9%,3,1.56%,,192
101,Claremont,3,0.19%,17,1.10%,109,7.10%,17,1.10%,"1,312",85.5%,76,4.95%,,"1,534"
105,Colebrook,0,0.00%,0,0.00%,17,5.90%,0,0.00%,263,91.3%,8,2.77%,,288
111,Concord,14,0.36%,208,5.42%,232,6.05%,352,9.18%,"2,932",76.5%,94,2.45%,,"3,832"
112,Contoocook Valley,0,0.00%,17,0.87%,56,2.89%,14,0.72%,"1,801",93.0%,48,2.47%,,"1,936"
113,Conway,5,0.35%,37,2.62%,47,3.33%,7,0.49%,"1,290",91.4%,24,1.70%,,"1,410"
115,Cornish,0,0.00%,0,0.00%,1,0.72%,2,1.45%,132,96.3%,2,1.45%,,137
117,Croydon,0,0.00%,0,0.00%,0,0.00%,0,0.00%,22,100.%,0,0.00%,,22
127,Deerfield,0,0.00%,1,0.19%,9,1.77%,3,0.59%,483,95.4%,10,1.97%,,506
131,Derry Cooperative,7,0.23%,43,1.42%,310,10.3%,33,1.09%,"2,483",82.5%,133,4.42%,,"3,009"
141,Dover,6,0.17%,215,6.17%,230,6.61%,56,1.60%,"2,757",79.2%,215,6.17%,,"3,479"
