Report ID : 4,,,,,,,,,,
Type of Data: Final,,,,,,,,,,
Report Date: 12/2/2024,,,,,,,,,,
Run Date: 10/1/2025,,,,,,,,,,
,,,,,,,,,,
"New Hampshire Department of Education
Division of Education Analytics and Resources
Bureau of Educational Statistics
25 Hall Street, Concord, NH 03301",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2024 - 2025 District Fall Enrollments,,,,,,,,,,
"As of October 1, 2024",,,,,,,,,,
,,,,,,,,,,
SAU #,SAU Name,District #,District Name,PreSchool,Kindergarten,Elementary,Middle,High,PG,Total 
,,,State Totals,"4,385","10,871","65,639","30,810","50,872",83,"162,660"
53,Pembroke ,9,Allenstown,0,42,306,0,0,0,348
72,Alton ,15,Alton,36,38,333,0,0,0,407
39,Amherst ,17,Amherst,30,137,510,635,0,0,"1,312"
46,SAU #46 Office,19,Andover,0,20,145,0,0,0,165
2,Inter-Lakes Cooperative ,23,Ashland,0,11,148,0,0,0,159
15,Hooksett ,29,Auburn,14,78,600,0,0,0,692
86,Barnstead ,31,Barnstead,21,32,396,0,0,0,449
74,Barrington ,33,Barrington,50,88,405,398,0,0,941
9,Conway ,35,Bartlett,18,14,133,0,0,0,165
23,Haverhill Cooperative ,39,Bath,0,7,43,0,0,0,50
25,Bedford ,41,Bedford,67,187,"1,710",646,"1,356",2,"3,968"
3,Berlin ,51,Berlin,0,73,341,254,302,0,970
35,SAU #35 Office,53,Bethlehem,15,22,105,0,0,0,142
67,Bow ,57,Bow,25,107,412,524,618,4,"1,690"
16,Exeter ,63,Brentwood,16,35,231,0,0,0,282
41,Hollis-Brookline ,71,Brookline,20,68,463,0,0,0,551
48,Plymouth ,75,Campton,0,24,241,0,0,0,265
15,Hooksett ,79,Candia,0,39,233,0,0,0,272
82,Chester ,93,Chester,26,49,433,0,0,0,508
29,Keene ,95,Chesterfield,0,30,223,0,0,0,253
53,Pembroke ,99,Chichester,0,22,170,0,0,0,192
6,Claremont ,101,Claremont,43,118,563,333,474,3,"1,534"
7,Colebrook ,105,Colebrook,13,24,152,0,99,0,288
8,Concord ,111,Concord,113,234,"1,324",767,"1,393",1,"3,832"
1,Contoocook Valley ,112,Contoocook Valley,94,139,502,556,640,5,"1,936"
9,Conway ,113,Conway,0,63,398,308,640,1,"1,410"
100,Cornish ,115,Cornish,15,15,107,0,0,0,137
99,Croydon ,117,Croydon,0,4,18,0,0,0,22
53,Pembroke ,127,Deerfield,31,54,421,0,0,0,506
10,Derry Cooperative ,131,Derry Cooperative,131,289,"1,255","1,334",0,0,"3,009"
11,Dover ,141,Dover,47,207,932,941,"1,352",0,"3,479"
70,Hanover ,142,Dresden,0,0,369,0,674,0,"1,043"
67,Bow ,149,Dunbarton,0,22,212,0,0,0,234
16,Exeter ,153,East Kingston,0,15,93,0,0,0,108
14,Epping ,165,Epping,54,66,344,194,213,0,871
53,Pembroke ,167,Epsom,0,45,333,0,0,0,378
20,Gorham ,171,Errol,0,0,10,0,0,0,10
16,Exeter ,173,Exeter,31,124,652,0,0,0,807
16,Exeter ,172,Exeter Region Cooperative,0,0,0,945,"1,349",0,"2,294"
60,Fall Mountain Regional ,174,Fall Mountain Regional,67,84,764,0,479,0,"1,394"
61,Farmington ,175,Farmington,26,65,425,0,216,0,732
18,Franklin ,185,Franklin,37,57,469,0,277,3,843
13,Tamworth ,187,Freedom,0,8,44,0,0,0,52
83,Fremont ,189,Fremont,21,37,295,0,0,0,353
73,Gilford ,191,Gilford,0,53,250,277,467,3,"1,050"
79,Gilmanton ,195,Gilmanton,0,25,310,0,0,0,335
19,Goffstown ,199,Goffstown,67,127,690,880,"1,003",0,"2,767"
20,Gorham ,203,Gorham Randolph Shelburne Cooperative,0,18,125,80,149,0,372
49,Governor Wentworth Regional ,208,Governor Wentworth Regional,47,131,824,345,729,0,"2,076"
75,Grantham ,211,Grantham,25,22,211,0,0,0,258
50,Greenland ,215,Greenland,0,36,331,0,0,0,367
55,Hampstead ,223,Hampstead,31,92,347,352,0,0,822
90,Hampton ,225,Hampton,0,82,816,0,0,0,898
21,Winnacunnet ,227,Hampton Falls,11,18,161,0,0,0,190
70,Hanover ,233,Hanover,0,74,389,0,0,0,463
29,Keene ,235,Harrisville,0,5,42,0,0,0,47
23,Haverhill Cooperative ,238,Haverhill Cooperative,33,28,115,229,217,4,626
24,Henniker ,245,Henniker,16,46,340,0,0,0,402
103,Hill ,247,Hill,8,9,46,0,0,0,63
34,Hillsboro-Deering ,251,Hillsboro-Deering Cooperative,46,60,312,230,333,0,981
92,Hinsdale ,255,Hinsdale,19,40,183,121,155,0,518
48,Plymouth ,257,Holderness,0,15,141,0,0,0,156
41,Hollis-Brookline ,259,Hollis,26,70,572,0,0,0,668
41,Hollis-Brookline ,260,Hollis-Brookline Cooperative,0,0,0,369,745,0,"1,114"
15,Hooksett ,261,Hooksett,25,127,697,427,0,0,"1,276"
66,Hopkinton ,263,Hopkinton,41,58,389,165,283,0,936
81,Hudson ,267,Hudson,96,190,"1,011",648,970,6,"2,921"
2,Inter-Lakes Cooperative ,269,Inter-Lakes Cooperative,29,64,526,0,288,6,913
9,Conway ,271,Jackson,0,6,31,0,0,0,37
47,Jaffrey-Rindge ,274,Jaffrey-Rindge Cooperative,75,73,425,240,336,0,"1,149"
24,Henniker ,275,John Stark Regional,0,0,0,0,607,0,607
65,Kearsarge Regional ,276,Kearsarge Regional,51,109,617,410,478,3,"1,668"
29,Keene ,279,Keene,93,150,850,626,"1,280",0,"2,999"
16,Exeter ,281,Kensington,1,25,116,0,0,0,142
30,Laconia ,285,Laconia,67,121,642,414,561,1,"1,806"
35,SAU #35 Office,288,Lafayette Regional,0,15,83,0,0,0,98
35,SAU #35 Office,291,Landaff,9,5,8,0,0,0,22
88,Lebanon ,295,Lebanon,49,102,409,464,602,6,"1,632"
71,Lempster ,299,Lempster,3,15,114,0,0,0,132
68,Lincoln-Woodstock ,305,Lincoln-Woodstock Cooperative,0,9,92,58,82,0,241
35,SAU #35 Office,306,Lisbon Regional,8,14,83,76,84,0,265
27,Litchfield ,315,Litchfield,37,73,318,344,340,0,"1,112"
84,Littleton ,317,Littleton,0,44,265,86,168,0,563
12,Londonderry ,319,Londonderry,134,209,"1,400",918,"1,263",0,"3,924"
76,Lyme ,327,Lyme,0,16,171,0,0,0,187
13,Tamworth ,333,Madison,19,11,99,0,0,0,129
37,Manchester ,335,Manchester,417,860,"3,637","3,503","3,448",0,"11,865"
29,Keene ,339,Marlborough,17,12,135,0,0,0,164
29,Keene ,341,Marlow,5,5,45,0,0,0,55
87,Mascenic Regional ,342,Mascenic Regional,31,57,275,260,252,0,875
62,Mascoma Valley ,343,Mascoma Valley Regional,63,70,590,0,304,0,"1,027"
89,Mason ,345,Mason,19,15,72,0,0,0,106
26,Merrimack ,351,Merrimack,105,239,"1,572",480,"1,049",0,"3,445"
46,SAU #46 Office,352,Merrimack Valley,35,136,788,466,742,0,"2,167"
69,Middleton SAU,353,Middleton,6,20,129,0,0,0,155
20,Gorham ,355,Milan,4,13,85,0,0,0,102
40,Milford ,357,Milford,54,133,695,445,655,0,"1,982"
64,Milton ,359,Milton,17,33,189,105,164,2,510
93,Monadnock Regional ,363,Monadnock Regional,63,112,725,249,449,0,"1,598"
77,Monroe ,365,Monroe,7,5,76,0,0,0,88
39,Amherst ,367,Mont Vernon,0,37,197,0,0,0,234
45,Moultonborough ,369,Moultonborough,37,28,180,109,137,0,491
42,Nashua ,371,Nashua,291,631,"3,562","2,003","3,212",0,"9,699"
29,Keene ,375,Nelson,0,9,49,0,0,0,58
19,Goffstown ,377,New Boston,14,37,408,0,0,0,459
50,Greenland ,381,New Castle,0,8,25,0,0,0,33
16,Exeter ,387,Newfields,0,13,102,0,0,0,115
4,Newfound Area ,388,Newfound Area,0,57,305,296,356,1,"1,015"
50,Greenland ,391,Newington,0,5,38,0,0,0,43
31,Newmarket ,399,Newmarket,36,65,598,0,270,4,973
43,Newport ,401,Newport,21,41,210,140,297,1,710
21,Winnacunnet ,405,North Hampton,6,33,229,0,0,0,268
58,Northumberland ,407,Northumberland,0,18,175,0,121,0,314
44,Northwood ,411,Northwood,38,47,328,0,0,0,413
107,Nottingham ,413,Nottingham,27,54,446,0,0,0,527
5,Oyster River ,423,Oyster River Coop,30,139,518,585,825,0,"2,097"
4,Pasquaney ,388,Pasquaney,28,8,101,0,0,0,137
28,Pelham ,425,Pelham,65,99,587,349,508,0,"1,608"
53,Pembroke ,427,Pembroke,0,54,548,0,744,0,"1,346"
48,Plymouth ,428,Pemi-Baker Regional,0,0,0,0,647,4,651
23,Haverhill Cooperative ,435,Piermont,3,9,45,0,0,0,57
7,Colebrook ,437,Pittsburg,4,0,44,0,31,0,79
51,Pittsfield ,439,Pittsfield,16,33,166,103,161,0,479
32,Plainfield ,441,Plainfield,0,16,167,0,0,0,183
48,Plymouth ,447,Plymouth,0,25,340,0,0,0,365
52,Portsmouth ,449,Portsmouth,24,134,766,487,"1,014",3,"2,428"
35,SAU #35 Office,450,Profile,0,0,0,83,133,0,216
33,Raymond ,453,Raymond,42,87,246,413,321,1,"1,110"
54,Rochester ,461,Rochester,71,254,"1,255",802,"1,386",0,"3,768"
104,Rollinsford ,463,Rollinsford,0,18,136,0,0,0,154
48,Plymouth ,467,Rumney,0,11,73,0,0,0,84
50,Greenland ,471,Rye,34,27,325,0,0,0,386
57,Salem ,473,Salem,113,256,"1,309",762,"1,098",0,"3,538"
17,Sanborn Regional ,476,Sanborn Regional,31,74,403,251,448,0,"1,207"
21,Winnacunnet ,485,Seabrook,35,42,502,0,0,0,579
80,Shaker Regional ,486,Shaker Regional,30,96,300,350,361,0,"1,137"
56,Somersworth ,491,Somersworth,44,113,470,286,390,0,"1,303"
39,Amherst ,493,Souhegan Cooperative,0,0,0,0,696,0,696
21,Winnacunnet ,495,South Hampton,0,5,76,0,0,0,81
58,Northumberland ,499,Stark,0,6,26,0,0,0,32
7,Colebrook ,501,Stewartstown,6,8,45,0,0,0,59
24,Henniker ,503,Stoddard,0,6,40,0,0,0,46
105,Strafford ,507,Strafford,9,40,327,0,0,0,376
58,Northumberland ,509,Stratford,6,6,41,0,0,0,53
16,Exeter ,511,Stratham,19,82,397,0,0,0,498
85,Sunapee ,515,Sunapee,0,17,151,101,131,0,400
13,Tamworth ,525,Tamworth,0,13,152,0,0,0,165
48,Plymouth ,531,Thornton,0,9,163,0,0,0,172
106,Timberlane Regional ,534,Timberlane Regional,124,229,"1,204",723,932,0,"3,212"
6,Claremont ,539,Unity,5,5,76,0,0,0,86
101,Wakefield ,543,Wakefield,7,30,373,0,0,0,410
23,Haverhill Cooperative ,549,Warren,8,5,43,0,0,0,56
34,Hillsboro-Deering ,551,Washington,0,8,30,0,0,0,38
48,Plymouth ,553,Waterville Valley,0,5,28,0,0,0,33
24,Henniker ,555,Weare,28,90,259,454,0,0,831
