district_code,nh_matched_district,district,unique_merge_id
411,Academy for Science and Design Charter School,Academy for Science and Design Charter School,nhdist1
53,Pembroke,Allenstown School District,nhdist2
72,Alton,Alton School District,nhdist3
39,Amherst,Amherst School District,nhdist4
46,SAU #46 Office,Andover School District,nhdist5
426,Arts Academy of New Hampshire Chartered Public High School,Arts Academy of New Hampshire Chartered Public High School,nhdist6
48,Plymouth,Ashland School District,nhdist7
15,Hooksett,Auburn School District,nhdist8
86,Barnstead,Barnstead School District,nhdist9
74,Barrington,Barrington School District,nhdist10
9,Conway,Bartlett School District,nhdist11
23,Haverhill Cooperative,Bath School District,nhdist12
25,Bedford,Bedford School District,nhdist13
455,Benjamin Franklin Academy Chartered Public School,Benjamin Franklin Academy Chartered Public School,nhdist14
3,Berlin,Berlin School District,nhdist15
35,SAU #35 Office,Bethlehem School District,nhdist16
67,Bow,Bow School District,nhdist17
16,Exeter,Brentwood School District,nhdist18
41,Hollis-Brookline,Brookline School District,nhdist19
48,Plymouth,Campton School District,nhdist20
15,Hooksett,Candia School District,nhdist21
82,Chester,Chester School District,nhdist22
29,Keene,Chesterfield School District,nhdist23
53,Pembroke,Chichester School District,nhdist24
6,Claremont,Claremont School District,nhdist25
,,Coastal Waters Chartered Public School,nhdist26
201,Coe-Brown Northwood Academy,Coe-Brown Northwood Academy School District,nhdist27
7,Colebrook,Colebrook School District,nhdist28
429,Compass Classical Academy Charter School,Compass Classical Academy Charter School,nhdist29
8,Concord,Concord School District,nhdist30
1,Contoocook Valley,Contoocook Valley School District,nhdist31
9,Conway,Conway School District,nhdist32
100,Cornish,Cornish School District,nhdist33
99,Croydon,Croydon School District,nhdist34
410,CSI Charter School,CSI Charter School,nhdist35
53,Pembroke,Deerfield School District,nhdist36
10,Derry Cooperative,Derry Cooperative School District,nhdist37
11,Dover,Dover School District,nhdist38
70,Hanover,Dresden School District,nhdist39
67,Bow,Dunbarton School District,nhdist40
16,Exeter,East Kingston School District,nhdist41
14,Epping,Epping School District,nhdist42
53,Pembroke,Epsom School District,nhdist43
20,Gorham,Errol School District,nhdist44
16,Exeter,Exeter Region Cooperative School District,nhdist45
16,Exeter,Exeter School District,nhdist46
60,Fall Mountain Regional,Fall Mountain Regional School District,nhdist47
61,Farmington,Farmington School District,nhdist48
18,Franklin,Franklin School District,nhdist49
83,Fremont,Freedom School District,nhdist50
13,Tamworth,Fremont School District,nhdist51
425,Gate City Charter School For the Arts,Gate City Charter School For the Arts,nhdist52
450,Gathering Waters Charter School,Gathering Waters Charter School,nhdist53
73,Gilford,Gilford School District,nhdist54
79,Gilmanton,Gilmanton School District,nhdist55
19,Goffstown,Goffstown School District,nhdist56
