nces_id,nces_name,district_code,district,
725,Academy for Science and Design Charter School,411,Academy for Science and Design Charter School,nhdist1
9,Allenstown School District,53,Pembroke,nhdist2
15,Alton School District,72,Alton,nhdist3
17,Amherst School District,39,Amherst,nhdist4
19,Andover School District,46,SAU #46 Office,nhdist5
702,Arts Academy of New Hampshire Chartered Public High School,426,Arts Academy of New Hampshire Chartered Public High School,nhdist6
23,Ashland School District,48,Plymouth,nhdist7
29,Auburn School District,15,Hooksett,nhdist8
31,Barnstead School District,86,Barnstead,nhdist9
33,Barrington School District,74,Barrington,nhdist10
35,Bartlett School District,9,Conway,nhdist11
39,Bath School District,23,Haverhill Cooperative,nhdist12
41,Bedford School District,25,Bedford,nhdist13
726,Benjamin Franklin Academy Chartered Public School,455,Benjamin Franklin Academy Chartered Public School,nhdist14
51,Berlin School District,3,Berlin,nhdist15
53,Bethlehem School District,35,SAU #35 Office,nhdist16
57,Bow School District,67,Bow,nhdist17
63,Brentwood School District,16,Exeter,nhdist18
71,Brookline School District,41,Hollis-Brookline,nhdist19
75,Campton School District,48,Plymouth,nhdist20
79,Candia School District,15,Hooksett,nhdist21
93,Chester School District,82,Chester,nhdist22
95,Chesterfield School District,29,Keene,nhdist23
99,Chichester School District,53,Pembroke,nhdist24
101,Claremont School District,6,Claremont,nhdist25
720,Coastal Waters Chartered Public School,,,nhdist26
998,Coe-Brown Northwood Academy School District,201,Coe-Brown Northwood Academy,nhdist27
105,Colebrook School District,7,Colebrook,nhdist28
743,Compass Classical Academy Charter School,429,Compass Classical Academy Charter School,nhdist29
111,Concord School District,8,Concord,nhdist30
112,Contoocook Valley School District,1,Contoocook Valley,nhdist31
113,Conway School District,9,Conway,nhdist32
115,Cornish School District,100,Cornish,nhdist33
117,Croydon School District,99,Croydon,nhdist34
723,CSI Charter School,410,CSI Charter School,nhdist35
127,Deerfield School District,53,Pembroke,nhdist36
131,Derry Cooperative School District,10,Derry Cooperative,nhdist37
141,Dover School District,11,Dover,nhdist38
142,Dresden School District,70,Hanover,nhdist39
149,Dunbarton School District,67,Bow,nhdist40
153,East Kingston School District,16,Exeter,nhdist41
165,Epping School District,14,Epping,nhdist42
167,Epsom School District,53,Pembroke,nhdist43
171,Errol School District,20,Gorham,nhdist44
173,Exeter Region Cooperative School District,16,Exeter,nhdist46
172,Exeter School District,16,Exeter,nhdist45
174,Fall Mountain Regional School District,60,Fall Mountain Regional,nhdist47
175,Farmington School District,61,Farmington,nhdist48
185,Franklin School District,18,Franklin,nhdist49
187,Freedom School District,83,Fremont,nhdist50
189,Fremont School District,13,Tamworth,nhdist51
742,Gate City Charter School For the Arts,425,Gate City Charter School For the Arts,nhdist52
750,Gathering Waters Charter School,450,Gathering Waters Charter School,nhdist53
191,Gilford School District,73,Gilford,nhdist54
195,Gilmanton School District,79,Gilmanton,nhdist55
199,Goffstown School District,19,Goffstown,nhdist56
203,Gorham Randolph Shelburne Cooperative School District,20,Gorham,nhdist57
208,Governor Wentworth Regional School District,49,Governor Wentworth Regional,nhdist58
211,Grantham School District,75,Grantham,nhdist59
709,Great Bay Charter School,404,Great Bay Charter School,nhdist60
215,Greenland School District,50,Greenland,nhdist61
223,Hampstead School District,55,Hampstead,nhdist62
227,Hampton Falls School District,90,Hampton,nhdist63
225,Hampton School District,21,Winnacunnet,nhdist64
233,Hanover School District,70,Hanover,nhdist65
235,Harrisville School District,29,Keene,nhdist66
238,Haverhill Cooperative School District,23,Haverhill Cooperative,nhdist67
718,Heartwood Public Charter School,451,Heartwood Public Charter School,nhdist68
245,Henniker School District,24,Henniker,nhdist69
247,Hill School District,103,Hill,nhdist70
251,Hillsboro-Deering Cooperative School District,34,Hillsboro-Deering,nhdist71
255,Hinsdale School District,92,Hinsdale,nhdist72
257,Holderness School District,48,Plymouth,nhdist73
259,Hollis School District,41,Hollis-Brookline,nhdist74
260,Hollis-Brookline Cooperative School District,41,Hollis-Brookline,nhdist75
261,Hooksett School District,15,Hooksett,nhdist76
263,Hopkinton School District,66,Hopkinton,nhdist77
267,Hudson School District,81,Hudson,nhdist78
269,Inter-Lakes Cooperative School District,2,Inter-Lakes Cooperative,nhdist79
271,Jackson School District,9,Conway,nhdist80
274,Jaffrey-Rindge Cooperative School District,47,Jaffrey-Rindge,nhdist81
275,John Stark Regional School District,24,Henniker,nhdist82
276,Kearsarge Regional School District,65,Kearsarge Regional,nhdist83
279,Keene School District,29,Keene,nhdist84
281,Kensington School District,16,Exeter,nhdist85
708,Kreiva Academy Public Charter School,432,Kreiva Academy Public Charter School,nhdist86
285,Laconia School District,30,Laconia,nhdist87
288,Lafayette Regional School District,35,SAU #35 Office,nhdist88
291,Landaff School District,35,SAU #35 Office,nhdist89
706,LEAF Charter School,,,nhdist90
295,Lebanon School District,88,Lebanon,nhdist91
719,Ledyard Charter School,408,Ledyard Charter School,nhdist92
299,Lempster School District,71,Lempster,nhdist93
305,Lincoln-Woodstock Cooperative School District,68,Lincoln-Woodstock,nhdist94
722,Lionheart Classical Academy Chartered Public School,453,Lionheart Classical Academy Chartered Public School,nhdist95
306,Lisbon Regional School District,35,SAU #35 Office,nhdist96
315,Litchfield School District,27,Litchfield,nhdist97
317,Littleton School District,84,Littleton,nhdist98
319,Londonderry School District,12,Londonderry,nhdist99
327,Lyme School District,76,Lyme,nhdist100
333,Madison School District,13,Tamworth,nhdist101
733,Making Community Connections Charter School,418,Making Community Connections Charter School,nhdist102
335,Manchester School District,37,Manchester,nhdist103
339,Marlborough School District,29,Keene,nhdist104
341,Marlow School District,29,Keene,nhdist105
342,Mascenic Regional School District,87,Mascenic Regional,nhdist106
343,Mascoma Valley Regional School District,62,Mascoma Valley,nhdist107
345,Mason School District,89,Mason,nhdist108
351,Merrimack School District,26,Merrimack,nhdist109
352,Merrimack Valley School District,46,SAU #46 Office,nhdist110
744,MicroSociety Academy Charter School Foundation,430,MicroSociety Academy Charter School Foundation,nhdist111
353,Middleton School District,69,Middleton SAU,nhdist112
355,Milan School District,20,Gorham,nhdist113
357,Milford School District,40,Milford,nhdist114
729,Mill Falls Charter School,416,Mill Falls Charter School,nhdist115
359,Milton School District,64,Milton,nhdist116
363,Monadnock Regional School District,93,Monadnock Regional,nhdist117
365,Monroe School District,77,Monroe,nhdist118
367,Mont Vernon School District,39,Amherst,nhdist119
369,Moultonborough School District,45,Moultonborough,nhdist120
704,Mountain Village Charter School,427,Mountain Village Charter School,nhdist121
371,Nashua School District,42,Nashua,nhdist122
375,Nelson School District,29,Keene,nhdist123
377,New Boston School District,19,Goffstown,nhdist124
381,New Castle School District,50,Greenland,nhdist125
387,Newfields School District,16,Exeter,nhdist126
388,Newfound Area School District,4,Newfound Area,nhdist127
391,Newington School District,50,Greenland,nhdist128
399,Newmarket School District,31,Newmarket,nhdist129
401,Newport School District,43,Newport,nhdist130
740,Next Charter School,422,Next Charter School,nhdist131
703,North Country Charter Academy,402,North Country Charter Academy,nhdist132
405,North Hampton School District,21,Winnacunnet,nhdist133
716,Northeast Woodland Chartered Public School,441,Northeast Woodland Chartered Public School,nhdist134
407,Northumberland School District,58,Northumberland,nhdist135
411,Northwood School District,44,Northwood,nhdist136
413,Nottingham School District,107,Nottingham,nhdist137
423,Oyster River Coop School District,5,Oyster River,nhdist138
425,Pelham School District,28,Pelham,nhdist140
427,Pembroke School District,53,Pembroke,nhdist141
428,Pemi-Baker Regional School District,48,Plymouth,nhdist142
435,Piermont School District,23,Haverhill Cooperative,nhdist143
999,Pinkerton Academy School District,202,Pinkerton Academy,nhdist144
437,Pittsburg School District,7,Colebrook,nhdist145
439,Pittsfield School District,51,Pittsfield,nhdist146
441,Plainfield School District,32,Plainfield,nhdist147
447,Plymouth School District,48,Plymouth,nhdist148
735,Polaris Charter School,419,Polaris Charter School,nhdist149
449,Portsmouth School District,52,Portsmouth,nhdist150
450,Profile School District,35,SAU #35 Office,nhdist151
970,Prospect Mountain JMA School District,301,Prospect Mountain JMA,nhdist152
453,Raymond School District,33,Raymond,nhdist153
457,Rivendell Interstate School District,78,Rivendell Interstate,nhdist154
724,River View Chartered Public School,454,River View Chartered Public School,nhdist155
737,Robert Frost Charter School,420,Robert Frost Charter School,nhdist156
461,Rochester School District,54,Rochester,nhdist157
463,Rollinsford School District,104,Rollinsford,nhdist158
467,Rumney School District,48,Plymouth,nhdist159
471,Rye School District,50,Greenland,nhdist160
473,Salem School District,57,Salem,nhdist161
476,Sanborn Regional School District,17,Sanborn Regional,nhdist162
485,Seabrook School District,21,Winnacunnet,nhdist163
705,Seacoast Charter School,403,Seacoast Charter School,nhdist164
486,Shaker Regional School District,80,Shaker Regional,nhdist165
491,Somersworth School District,56,Somersworth,nhdist166
493,Souhegan Cooperative School District,39,Amherst,nhdist167
495,South Hampton School District,21,Winnacunnet,nhdist168
714,Spark Academy of Advanced Technologies,437,Spark Academy of Advanced Technologies,nhdist169
499,Stark School District,58,Northumberland,nhdist170
501,Stewartstown School District,7,Colebrook,nhdist171
503,Stoddard School District,24,Henniker,nhdist172
507,Strafford School District,105,Strafford,nhdist173
509,Stratford School District,58,Northumberland,nhdist174
511,Stratham School District,16,Exeter,nhdist175
721,Strong Foundations Charter School,409,Strong Foundations Charter School,nhdist176
515,Sunapee School District,85,Sunapee,nhdist177
717,Surry Village Charter School,407,Surry Village Charter School,nhdist178
525,Tamworth School District,13,Tamworth,nhdist179
731,The Birches Academy of Academics & Art A Public Charter Sch,417,The Birches Academy of Academics & Art A Public Charter Sch,nhdist180
741,The Founders Academy Charter School,423,The Founders Academy Charter School,nhdist181
531,Thornton School District,48,Plymouth,nhdist182
534,Timberlane Regional School District,106,Timberlane Regional,nhdist183
539,Unity School District,6,Claremont,nhdist184
727,Virtual Learning Academy Charter School,412,Virtual Learning Academy Charter School,nhdist185
543,Wakefield School District,101,Wakefield,nhdist186
549,Warren School District,23,Haverhill Cooperative,nhdist187
551,Washington School District,34,Hillsboro-Deering,nhdist188
553,Waterville Valley School District,48,Plymouth,nhdist189
555,Weare School District,24,Henniker,nhdist190
559,Wentworth School District,48,Plymouth,nhdist191
563,Westmoreland School District,29,Keene,nhdist192
568,White Mountains Regional School District,36,White Mountains Regional,nhdist193
572,Wilton-Lyndeborough Cooperative School District,63,Wilton,nhdist194
573,Winchester School District,94,Winchester,nhdist195
712,Windham Academy Public Charter School,434,Windham Academy Public Charter School,nhdist197
575,Windham School District,95,Windham,nhdist196
581,Winnacunnet Cooperative School District,21,Winnacunnet,nhdist198
582,Winnisquam Regional School District,59,Winnisquam Regional,nhdist199
,,96,Sullivan,nhdist200
,,91,Surry,nhdist201
,,435,Synergy Academy Chartered Public School,nhdist202
,,433,Seacoast Classical Academy Chartered Public School,nhdist203
,,98,Coos County,nhdist204
,,102,Goshen,nhdist205
,,97,Hale's Location c/o Carroll Cty,nhdist206
,,108,Pasquaney,nhdist139
,,nhdist207,Haverhill Cooperative,nhdist207
