unique_merge_id,messy_id,messy_name,district_code,district
nhdist1,411,Academy for Science and Design Charter School,725,Academy for Science and Design Charter School
nhdist2,53,Pembroke,9,Allenstown
nhdist3,72,Alton,15,Alton
nhdist4,39,Amherst,17,Amherst
nhdist5,46,SAU #46 Office,19,Andover
nhdist6,426,Arts Academy of New Hampshire Chartered Public High School,702,Arts Academy of New Hampshire Chartered Public High School
nhdist7,48,Plymouth,23,Ashland
nhdist8,15,Hooksett,29,Auburn
nhdist9,86,Barnstead,31,Barnstead
nhdist10,74,Barrington,33,Barrington
nhdist11,9,Conway,35,Bartlett
nhdist12,23,Haverhill Cooperative,39,Bath
nhdist13,25,Bedford,41,Bedford
nhdist14,455,Benjamin Franklin Academy Chartered Public School,726,Benjamin Franklin Academy Chartered Public School
nhdist15,3,Berlin,51,Berlin
nhdist16,35,SAU #35 Office,53,Bethlehem
nhdist17,67,Bow,57,Bow
nhdist18,16,Exeter,63,Brentwood
nhdist19,41,Hollis-Brookline,71,Brookline
nhdist20,48,Plymouth,75,Campton
nhdist21,15,Hooksett,79,Candia
nhdist22,82,Chester,93,Chester
nhdist23,29,Keene,95,Chesterfield
nhdist24,53,Pembroke,99,Chichester
nhdist25,6,Claremont,101,Claremont
nhdist26,,,720,Coastal Waters Chartered Public School
nhdist27,201,Coe-Brown Northwood Academy,998,Coe-Brown Northwood Academy
nhdist28,7,Colebrook,105,Colebrook
nhdist29,429,Compass Classical Academy Charter School,743,Compass Classical Academy Charter School
nhdist30,8,Concord,111,Concord
nhdist31,1,Contoocook Valley,112,Contoocook Valley
nhdist32,9,Conway,113,Conway
nhdist33,100,Cornish,115,Cornish
nhdist34,99,Croydon,117,Croydon
nhdist35,410,CSI Charter School,723,CSI Charter School
nhdist36,53,Pembroke,127,Deerfield
nhdist37,10,Derry Cooperative,131,Derry Cooperative
nhdist38,11,Dover,141,Dover
nhdist39,70,Hanover,142,Dresden
nhdist40,67,Bow,149,Dunbarton
nhdist41,16,Exeter,153,East Kingston
nhdist42,14,Epping,165,Epping
nhdist43,53,Pembroke,167,Epsom
nhdist44,20,Gorham,171,Errol
nhdist45,16,Exeter,173,Exeter
nhdist46,16,Exeter,172,Exeter Region Cooperative
nhdist47,60,Fall Mountain Regional,174,Fall Mountain Regional
nhdist48,61,Farmington,175,Farmington
nhdist49,18,Franklin,185,Franklin
nhdist50,83,Fremont,187,Freedom
nhdist51,13,Tamworth,189,Fremont
nhdist52,425,Gate City Charter School For the Arts,742,Gate City Charter School For the Arts
nhdist53,450,Gathering Waters Charter School,750,Gathering Waters Charter School
nhdist54,73,Gilford,191,Gilford
nhdist55,79,Gilmanton,195,Gilmanton
nhdist56,19,Goffstown,199,Goffstown
nhdist57,20,Gorham,203,Gorham Randolph Shelburne Cooperative
nhdist58,49,Governor Wentworth Regional,208,Governor Wentworth Regional
nhdist59,75,Grantham,211,Grantham
nhdist60,404,Great Bay Charter School,709,Great Bay Charter School
nhdist61,50,Greenland,215,Greenland
nhdist62,55,Hampstead,223,Hampstead
nhdist63,90,Hampton,225,Hampton
nhdist64,21,Winnacunnet,227,Hampton Falls
nhdist65,70,Hanover,233,Hanover
nhdist66,29,Keene,235,Harrisville
nhdist67,23,Haverhill Cooperative,238,Haverhill Cooperative
nhdist68,451,Heartwood Public Charter School,718,Heartwood Public Charter School
nhdist69,24,Henniker,245,Henniker
nhdist70,103,Hill,247,Hill
nhdist71,34,Hillsboro-Deering,251,Hillsboro-Deering Cooperative
nhdist72,92,Hinsdale,255,Hinsdale
nhdist73,48,Plymouth,257,Holderness
nhdist74,41,Hollis-Brookline,259,Hollis
nhdist75,41,Hollis-Brookline,260,Hollis-Brookline Cooperative
nhdist76,15,Hooksett,261,Hooksett
nhdist77,66,Hopkinton,263,Hopkinton
nhdist78,81,Hudson,267,Hudson
nhdist79,2,Inter-Lakes Cooperative,269,Inter-Lakes Cooperative
nhdist80,9,Conway,271,Jackson
nhdist81,47,Jaffrey-Rindge,274,Jaffrey-Rindge Cooperative
nhdist82,24,Henniker,275,John Stark Regional
nhdist83,65,Kearsarge Regional,276,Kearsarge Regional
nhdist84,29,Keene,279,Keene
nhdist85,16,Exeter,281,Kensington
nhdist86,432,Kreiva Academy Public Charter School,708,Kreiva Academy Public Charter School
nhdist87,30,Laconia,285,Laconia
nhdist88,35,SAU #35 Office,288,Lafayette Regional
nhdist89,35,SAU #35 Office,291,Landaff
nhdist90,,,706,LEAF Charter School
nhdist91,88,Lebanon,295,Lebanon
nhdist92,408,Ledyard Charter School,719,Ledyard Charter School
nhdist93,71,Lempster,299,Lempster
nhdist94,68,Lincoln-Woodstock,305,Lincoln-Woodstock Cooperative
nhdist95,453,Lionheart Classical Academy Chartered Public School,722,Lionheart Classical Academy Chartered Public School
nhdist96,35,SAU #35 Office,306,Lisbon Regional
nhdist97,27,Litchfield,315,Litchfield
