nces_id,nces_name,district_code,district
725,Academy for Science and Design Charter School,725,Academy for Science and Design Charter School
9,Allenstown School District,9,Allenstown
15,Alton School District,15,Alton
17,Amherst School District,17,Amherst
19,Andover School District,19,Andover
702,Arts Academy of New Hampshire Chartered Public High School,702,Arts Academy of New Hampshire Chartered Public High School
23,Ashland School District,23,Ashland
29,Auburn School District,29,Auburn
31,Barnstead School District,31,Barnstead
33,Barrington School District,33,Barrington
35,Bartlett School District,35,Bartlett
39,Bath School District,39,Bath
41,Bedford School District,41,Bedford
726,Benjamin Franklin Academy Chartered Public School,726,Benjamin Franklin Academy Chartered Public School
51,Berlin School District,51,Berlin
53,Bethlehem School District,53,Bethlehem
57,Bow School District,57,Bow
63,Brentwood School District,63,Brentwood
71,Brookline School District,71,Brookline
75,Campton School District,75,Campton
79,Candia School District,79,Candia
93,Chester School District,93,Chester
95,Chesterfield School District,95,Chesterfield
99,Chichester School District,99,Chichester
101,Claremont School District,101,Claremont
720,Coastal Waters Chartered Public School,720,Coastal Waters Chartered Public School
998,Coe-Brown Northwood Academy School District,998,Coe-Brown Northwood Academy
105,Colebrook School District,105,Colebrook
743,Compass Classical Academy Charter School,743,Compass Classical Academy Charter School
111,Concord School District,111,Concord
112,Contoocook Valley School District,112,Contoocook Valley
113,Conway School District,113,Conway
115,Cornish School District,115,Cornish
117,Croydon School District,117,Croydon
723,CSI Charter School,723,CSI Charter School
127,Deerfield School District,127,Deerfield
131,Derry Cooperative School District,131,Derry Cooperative
141,Dover School District,141,Dover
142,Dresden School District,142,Dresden
149,Dunbarton School District,149,Dunbarton
153,East Kingston School District,153,East Kingston
165,Epping School District,165,Epping
167,Epsom School District,167,Epsom
171,Errol School District,171,Errol
173,Exeter Region Cooperative School District,173,Exeter
172,Exeter School District,172,Exeter Region Cooperative
174,Fall Mountain Regional School District,174,Fall Mountain Regional
175,Farmington School District,175,Farmington
185,Franklin School District,185,Franklin
187,Freedom School District,187,Freedom
189,Fremont School District,189,Fremont
742,Gate City Charter School For the Arts,742,Gate City Charter School For the Arts
750,Gathering Waters Charter School,750,Gathering Waters Charter School
191,Gilford School District,191,Gilford
195,Gilmanton School District,195,Gilmanton
199,Goffstown School District,199,Goffstown
203,Gorham Randolph Shelburne Cooperative School District,203,Gorham Randolph Shelburne Cooperative
208,Governor Wentworth Regional School District,208,Governor Wentworth Regional
211,Grantham School District,211,Grantham
709,Great Bay Charter School,709,Great Bay Charter School
215,Greenland School District,215,Greenland
223,Hampstead School District,223,Hampstead
227,Hampton Falls School District,225,Hampton
225,Hampton School District,227,Hampton Falls
233,Hanover School District,233,Hanover
235,Harrisville School District,235,Harrisville
238,Haverhill Cooperative School District,238,Haverhill Cooperative
718,Heartwood Public Charter School,718,Heartwood Public Charter School
245,Henniker School District,245,Henniker
247,Hill School District,247,Hill
251,Hillsboro-Deering Cooperative School District,251,Hillsboro-Deering Cooperative
255,Hinsdale School District,255,Hinsdale
257,Holderness School District,257,Holderness
259,Hollis School District,259,Hollis
260,Hollis-Brookline Cooperative School District,260,Hollis-Brookline Cooperative
261,Hooksett School District,261,Hooksett
263,Hopkinton School District,263,Hopkinton
267,Hudson School District,267,Hudson
269,Inter-Lakes Cooperative School District,269,Inter-Lakes Cooperative
271,Jackson School District,271,Jackson
274,Jaffrey-Rindge Cooperative School District,274,Jaffrey-Rindge Cooperative
275,John Stark Regional School District,275,John Stark Regional
276,Kearsarge Regional School District,276,Kearsarge Regional
279,Keene School District,279,Keene
281,Kensington School District,281,Kensington
708,Kreiva Academy Public Charter School,708,Kreiva Academy Public Charter School
285,Laconia School District,285,Laconia
288,Lafayette Regional School District,288,Lafayette Regional
291,Landaff School District,291,Landaff
706,LEAF Charter School,706,LEAF Charter School
295,Lebanon School District,295,Lebanon
719,Ledyard Charter School,719,Ledyard Charter School
299,Lempster School District,299,Lempster
305,Lincoln-Woodstock Cooperative School District,305,Lincoln-Woodstock Cooperative
722,Lionheart Classical Academy Chartered Public School,722,Lionheart Classical Academy Chartered Public School
306,Lisbon Regional School District,306,Lisbon Regional
315,Litchfield School District,315,Litchfield
317,Littleton School District,317,Littleton
319,Londonderry School District,319,Londonderry
327,Lyme School District,327,Lyme
333,Madison School District,333,Madison
733,Making Community Connections Charter School,733,Making Community Connections Charter School
335,Manchester School District,335,Manchester
339,Marlborough School District,339,Marlborough
341,Marlow School District,341,Marlow
342,Mascenic Regional School District,342,Mascenic Regional
343,Mascoma Valley Regional School District,343,Mascoma Valley Regional
345,Mason School District,345,Mason
351,Merrimack School District,351,Merrimack
352,Merrimack Valley School District,352,Merrimack Valley
744,MicroSociety Academy Charter School Foundation,744,MicroSociety Academy Charter School Foundation
353,Middleton School District,353,Middleton
355,Milan School District,355,Milan
357,Milford School District,357,Milford
729,Mill Falls Charter School,729,Mill Falls Charter School
359,Milton School District,359,Milton
363,Monadnock Regional School District,363,Monadnock Regional
365,Monroe School District,365,Monroe
367,Mont Vernon School District,367,Mont Vernon
369,Moultonborough School District,369,Moultonborough
704,Mountain Village Charter School,704,Mountain Village Charter School
371,Nashua School District,371,Nashua
375,Nelson School District,375,Nelson
377,New Boston School District,377,New Boston
381,New Castle School District,381,New Castle
387,Newfields School District,387,Newfields
388,Newfound Area School District,388,Newfound Area
391,Newington School District,391,Newington
399,Newmarket School District,399,Newmarket
401,Newport School District,401,Newport
740,Next Charter School,740,Next Charter School
703,North Country Charter Academy,703,North Country Charter Academy
405,North Hampton School District,405,North Hampton
716,Northeast Woodland Chartered Public School,716,Northeast Woodland Chartered Public School
407,Northumberland School District,407,Northumberland
411,Northwood School District,411,Northwood
413,Nottingham School District,413,Nottingham
423,Oyster River Coop School District,423,Oyster River Coop
425,Pelham School District,388,Pasquaney
427,Pembroke School District,425,Pelham
428,Pemi-Baker Regional School District,427,Pembroke
435,Piermont School District,428,Pemi-Baker Regional
999,Pinkerton Academy School District,435,Piermont
437,Pittsburg School District,999,Pinkerton Academy
439,Pittsfield School District,437,Pittsburg
441,Plainfield School District,439,Pittsfield
447,Plymouth School District,441,Plainfield
735,Polaris Charter School,447,Plymouth
449,Portsmouth School District,735,Polaris Charter School
450,Profile School District,449,Portsmouth
970,Prospect Mountain JMA School District,450,Profile
453,Raymond School District,970,Prospect Mountain JMA
