GeoName|GeoId|CDP02_53_EST|CDP02_53_ESTMOE|CDP02_53_PCT|CDP02_53_PCTMOE|CDP02_54_EST|CDP02_54_ESTMOE|CDP02_54_PCT|CDP02_54_PCTMOE|CDP02_57_EST|CDP02_57_ESTMOE|CDP02_57_PCT|CDP02_57_PCTMOE|CDP02_59_EST|CDP02_59_ESTMOE|CDP02_59_PCT|CDP02_59_PCTMOE|CDP02_61_EST|CDP02_61_ESTMOE|CDP02_61_PCT|CDP02_61_PCTMOE|CDP02_63_EST|CDP02_63_ESTMOE|CDP02_63_PCT|CDP02_63_PCTMOE
Alabaster City School District, AL|0100190|6545|515|-888888888|-888888888|5935|499|90.7|3.8|505|248|7.7|3.7|35|51|0.5|0.8|70|71|1.1|1.1|0|27|-888888888|0.6
Albertville City School District, AL|0100005|5425|553|-888888888|-888888888|3135|465|57.8|6.4|2175|441|40.1|6.8|55|55|1|1|60|76|1.1|1.4|0|24|-888888888|0.7
Alexander City City School District, AL|0100030|2870|348|-888888888|-888888888|2585|345|90.1|3.6|230|88|8|3.1|0|20|-888888888|1.3|50|67|1.7|2.3|0|20|-888888888|1.3
Andalusia City School District, AL|0100060|1360|221|-888888888|-888888888|1265|231|93|5.8|85|77|6.3|5.7|0|18|-888888888|2.7|10|18|0.7|1.4|0|18|-888888888|2.7
Anniston City School District, AL|0100090|3155|429|-888888888|-888888888|3095|423|98.1|2|60|64|1.9|2|0|24|-888888888|1.2|4|7|0.1|0.2|0|24|-888888888|1.2
Arab City School District, AL|0100100|1740|166|-888888888|-888888888|1660|172|95.4|3.5|50|50|2.9|2.9|4|7|0.2|0.5|20|24|1.1|1.5|0|18|-888888888|2.1
Athens City School District, AL|0100120|3895|421|-888888888|-888888888|3655|450|93.8|5|240|194|6.2|5|0|24|-888888888|1|0|24|-888888888|1|0|24|-888888888|1
Attalla City School District, AL|0100180|660|276|-888888888|-888888888|580|269|87.9|14|30|41|4.5|6.1|50|84|7.6|12.7|0|18|-888888888|5.5|0|18|-888888888|5.5
Auburn City School District, AL|0100210|10910|811|-888888888|-888888888|9595|767|87.9|3|300|215|2.7|1.9|245|174|2.2|1.6|690|219|6.3|2|80|85|0.7|0.8
Autauga County School District, AL|0100240|10805|190|-888888888|-888888888|10315|286|95.5|1.9|210|124|1.9|1.1|160|128|1.5|1.2|125|101|1.2|0.9|0|30|-888888888|0.3
Baldwin County School District, AL|0100270|36660|534|-888888888|-888888888|34195|730|93.3|1.9|1590|307|4.3|0.8|735|674|2|1.8|110|79|0.3|0.2|30|39|0.1|0.1
Barbour County School District, AL|0100300|1710|226|-888888888|-888888888|1510|224|88.3|4.7|200|81|11.7|4.7|0|20|-888888888|2.2|0|20|-888888888|2.2|0|20|-888888888|2.2
Bessemer City School District, AL|0100330|4050|541|-888888888|-888888888|3585|527|88.5|6.2|450|256|11.1|6|0|24|-888888888|0.9|15|25|0.4|0.6|0|24|-888888888|0.9
Bibb County School District, AL|0100360|3610|233|-888888888|-888888888|3410|210|94.5|4.6|200|170|5.5|4.6|0|24|-888888888|1|0|24|-888888888|1|0|24|-888888888|1
Birmingham City School District, AL|0100390|29190|1332|-888888888|-888888888|26985|1305|92.4|1.8|1830|512|6.3|1.7|65|65|0.2|0.2|25|38|0.1|0.1|285|216|1|0.7
Blount County School District, AL|0100420|9340|282|-888888888|-888888888|8320|302|89.1|2|990|192|10.6|2|20|27|0.2|0.3|0|30|-888888888|0.4|10|15|0.1|0.2
Boaz City School District, AL|0100012|2185|477|-888888888|-888888888|1890|446|86.5|9.1|295|211|13.5|9.1|0|20|-888888888|1.7|0|20|-888888888|1.7|0|20|-888888888|1.7
Brewton City School District, AL|0100450|895|197|-888888888|-888888888|860|195|96.1|5.7|35|51|3.9|5.7|0|18|-888888888|4.1|0|18|-888888888|4.1|0|18|-888888888|4.1
Bullock County School District, AL|0100480|1855|219|-888888888|-888888888|1510|203|81.4|4.7|345|93|18.6|4.7|0|20|-888888888|2|0|20|-888888888|2|0|20|-888888888|2
Butler County School District, AL|0100510|3220|104|-888888888|-888888888|3185|103|98.9|0.9|10|12|0.3|0.4|25|28|0.8|0.9|4|4|0.1|0.3|0|20|-888888888|1.2
Calhoun County School District, AL|0100540|9565|613|-888888888|-888888888|9350|620|97.8|1.2|150|97|1.6|1|55|55|0.6|0.6|10|18|0.1|0.2|0|30|-888888888|0.4
Chambers County School District, AL|0100600|4010|212|-888888888|-888888888|3965|215|98.9|1.1|30|41|0.7|1.1|4|5|0.1|0.2|0|24|-888888888|0.9|10|19|0.2|0.5
Cherokee County School District, AL|0100630|3705|83|-888888888|-888888888|3690|83|99.6|0.4|15|16|0.4|0.4|0|24|-888888888|1|0|24|-888888888|1|0|24|-888888888|1
Chickasaw City School District, AL|0100188|1375|244|-888888888|-888888888|1355|249|98.5|2.5|0|18|-888888888|2.7|20|33|1.5|2.5|0|18|-888888888|2.7|0|18|-888888888|2.7
Chilton County School District, AL|0100660|8165|107|-888888888|-888888888|7155|232|87.6|2.4|965|188|11.8|2.3|10|21|0.1|0.3|40|40|0.5|0.5|0|27|-888888888|0.5
Choctaw County School District, AL|0100690|1915|64|-888888888|-888888888|1850|62|96.6|2|50|36|2.6|1.9|15|21|0.8|1.1|0|20|-888888888|1.9|0|20|-888888888|1.9
Clarke County School District, AL|0100720|2750|257|-888888888|-888888888|2735|263|99.5|1.2|20|29|0.7|1.1|0|20|-888888888|1.4|0|20|-888888888|1.4|0|20|-888888888|1.4
Clay County School District, AL|0100750|2325|95|-888888888|-888888888|2250|101|96.8|0.9|75|20|3.2|0.9|0|20|-888888888|1.6|0|20|-888888888|1.6|0|20|-888888888|1.6
Cleburne County School District, AL|0100780|2620|102|-888888888|-888888888|2515|97|96|2.9|75|48|2.9|1.8|30|57|1.1|2.2|0|20|-888888888|1.4|0|20|-888888888|1.4
Coffee County School District, AL|0100810|3985|315|-888888888|-888888888|3495|325|87.7|5.4|465|220|11.7|5.4|10|11|0.3|0.3|10|12|0.3|0.3|0|24|-888888888|0.9
Colbert County School District, AL|0100840|3285|348|-888888888|-888888888|3125|347|95.1|4.6|155|153|4.7|4.6|4|10|0.1|0.3|0|24|-888888888|1.1|0|24|-888888888|1.1
Conecuh County School District, AL|0100870|2120|287|-888888888|-888888888|2105|295|99.3|1.2|0|20|-888888888|1.8|15|23|0.7|1.2|0|20|-888888888|1.8|0|20|-888888888|1.8
Coosa County School District, AL|0100900|1290|158|-888888888|-888888888|1290|158|100|2.9|0|20|-888888888|2.9|0|20|-888888888|2.9|0|20|-888888888|2.9|0|20|-888888888|2.9
Covington County School District, AL|0100930|3940|231|-888888888|-888888888|3915|237|99.4|0.7|25|28|0.6|0.7|4|6|0.1|0.2|0|24|-888888888|0.9|0|24|-888888888|0.9
Crenshaw County School District, AL|0100960|2340|95|-888888888|-888888888|2215|93|94.7|2.5|85|54|3.6|2.3|0|20|-888888888|1.6|35|41|1.5|1.7|4|6|0.2|0.2
Cullman City School District, AL|0100990|3025|438|-888888888|-888888888|2905|445|96|4.8|120|147|4|4.8|0|20|-888888888|1.2|0|20|-888888888|1.2|0|20|-888888888|1.2
Cullman County School District, AL|0101020|12290|459|-888888888|-888888888|11520|481|93.7|1.9|725|250|5.9|2|45|50|0.4|0.4|0|30|-888888888|0.3|0|30|-888888888|0.3
Dale County School District, AL|0101050|2650|267|-888888888|-888888888|2600|253|98.1|1.7|45|47|1.7|1.8|0|20|-888888888|1.4|0|20|-888888888|1.4|0|20|-888888888|1.4
Daleville City School District, AL|0101080|1540|188|-888888888|-888888888|1430|199|92.9|4.8|90|63|5.8|4.2|0|20|-888888888|2.4|20|30|1.3|2|0|20|-888888888|2.4
Dallas County School District, AL|0101110|3870|340|-888888888|-888888888|3855|341|99.6|0.5|10|17|0.3|0.4|4|8|0.1|0.2|0|24|-888888888|1|0|24|-888888888|1
Decatur City School District, AL|0101170|10070|544|-888888888|-888888888|7765|531|77.1|3.6|2090|343|20.8|3.1|0|30|-888888888|0.4|15|31|0.1|0.3|200|200|2|2
DeKalb County School District, AL|0101140|10775|453|-888888888|-888888888|8175|354|75.9|3.5|2600|449|24.1|3.6|4|2|0|0.1|0|30|-888888888|0.3|0|30|-888888888|0.3
Demopolis City School District, AL|0101200|1210|246|-888888888|-888888888|1210|246|100|3|0|18|-888888888|3|0|18|-888888888|3|0|18|-888888888|3|0|18|-888888888|3
Dothan City School District, AL|0101230|11880|308|-888888888|-888888888|11515|313|96.9|0.7|270|77|2.3|0.7|40|23|0.3|0.2|50|27|0.4|0.2|4|7|0|0.1
Elba City School District, AL|0101260|605|190|-888888888|-888888888|605|190|100|6|0|13|-888888888|6|0|13|-888888888|6|0|13|-888888888|6|0|13|-888888888|6
Elmore County School District, AL|0101290|14100|525|-888888888|-888888888|13525|559|95.9|1.4|420|144|3|1|65|89|0.5|0.6|0|30|-888888888|0.3|90|87|0.6|0.6
Enterprise City School District, AL|0101320|5375|299|-888888888|-888888888|5125|329|95.3|2.6|240|137|4.5|2.6|0|24|-888888888|0.7|4|7|0.1|0.2|0|24|-888888888|0.7
Escambia County School District, AL|0101350|5705|258|-888888888|-888888888|5705|257|100|0.7|4|3|0.1|0.2|0|27|-888888888|0.7|0|27|-888888888|0.7|0|27|-888888888|0.7
Etowah County School District, AL|0101380|10420|516|-888888888|-888888888|10045|526|96.4|2|250|173|2.4|1.6|50|60|0.5|0.6|50|66|0.5|0.6|30|41|0.3|0.4
Eufaula City School District, AL|0101410|2360|244|-888888888|-888888888|1980|221|83.9|6.5|290|132|12.3|5.2|4|9|0.2|0.4|15|23|0.6|1|65|114|2.8|4.7
Fairfield City School District, AL|0101440|1740|380|-888888888|-888888888|1740|380|100|2.1|0|18|-888888888|2.1|0|18|-888888888|2.1|0|18|-888888888|2.1|0|18|-888888888|2.1
Fayette County School District, AL|0101470|2545|158|-888888888|-888888888|2505|158|98.4|2.1|40|54|1.6|2.1|0|20|-888888888|1.5|0|20|-888888888|1.5|0|20|-888888888|1.5
Florence City School District, AL|0101530|5820|462|-888888888|-888888888|5110|473|87.8|2.3|635|111|10.9|2.1|15|20|0.3|0.4|55|37|0.9|0.6|0|27|-888888888|0.6
