"Find School/District Results"
"Your search returned         2334 result(s)."

"OrganizationType","District","OrganizationCode","OrganizationName","Street","City","State","ZIP","Phone","Fax","Website","Education Program","Program Type","School Type","Inter-District Magnet","NCES Code","Designated High School","Agricultural Science and Technology (ASTE)","Title I Type","State Board of Education Approved","For Profit","Pre Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12"
"Adult Education Providers",,="0150317","APT Foundation","425 Grand Street","Bridgeport","CT",="06610","203-337-9943","203-337-4394",,,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Public Schools",,="8251811","Academic Center for Transition","14 New Bond St","Worcester","MA",="01606","508-538-9106",,"https://www.worcesterschools.org/o/acft/page/act",,,"Alternative School",,,No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Private Colleges and Universities",,="1000039","Albertus Magnus College","700 Prospect St.","New Haven","CT",="06511","203-773-8550",,"http://www.https://www.albertus.edu/",,,,,="0903000",No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8361021","Anderson Center for Autism","4885 U.S. 9","Staatsburgs","NY",="12580","845-889-4034",,"https://www.andersoncenterforautism.org/","Standard Non-Public",,,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Private Colleges and Universities",,="1010039","Bais Binyomin Academy","132 Prospect St.","Stamford","CT",="06901","203-325-4351",,"http://www.north-haven.k12.ct.us/default.htm",,,,,="0903030",No,No,,No,No,,,,,,,,,,,,,,
"Public Schools",,="8420211","Bucks County Schools Intermediate Unit # 22","705 N Shady Retreat Road","Doylestown","PA",="18901","215-348-2940",,,,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Adult Education Providers",,="0150417","Bullard Havens","500 Palisade Avenue","Bridgeport","CT",="06610","203-579-6333","203-382-8466",,,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Adult Education Providers",,="0640617","CT Puerto Rican Forum","95 Park Street","Hartford","CT",="06106","860-247-3227","860-249-5769",,,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Colleges and Universities",,="5750038","CT State Community College- Asnuntuck Campus","170 Elm St.","Enfield","CT",="06082","860-253-3000",,"https://ctstate.edu/locations/asnuntuck",,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Colleges and Universities",,="5760038","CT State Community College- Capital Campus","950 Main St.","Hartford","CT",="06103","860-906-5000",,"https://ctstate.edu/locations/capital",,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Colleges and Universities",,="5770038","CT State Community College- Gateway Campus","60 Sargent Dr.","New Haven","CT",="06511","203-285-2000",,"https://ctstate.edu/locations/gateway",,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Colleges and Universities",,="5780038","CT State Community College- Housatonic Campus","900 Lafayette Blvd.","Bridgeport","CT",="06604","203-332-5200",,"https://ctstate.edu/locations/Housatonic",,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Colleges and Universities",,="5790038","CT State Community College- Manchester Campus","P.O. Box 1046    Great Path","Manchester","CT",="06045","860-512-3000",,"https://ctstate.edu/locations/Manchester",,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Colleges and Universities",,="5800038","CT State Community College- Middlesex Campus","100 Training Hill Rd.","Middletown","CT",="06457","860-343-5800",,"https://ctstate.edu/locations/middlesex",,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Colleges and Universities",,="5810038","CT State Community College- Naugatuck Valley Campus","750 Chase Pkwy.","Waterbury","CT",="06708","203-575-8000",,"https://ctstate.edu/locations/naugatuck-valley",,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Colleges and Universities",,="5820038","CT State Community College- Northwestern Campus","Park Place","Winsted","CT",="06098","860-738-6300",,"https://ctstate.edu/locations/northwestern",,,,,,No,No,,No,No,,,,,,,,,,,,,,
