"district","district_code","grades_served","district_type","urbanicity","num_schools","num_high_schools","enrollment_2025","enrollment_change_6yr_pct","n_aian","n_asian","n_black","n_hispanic","n_multiracial","n_white","n_nhpi","pct_aian","pct_aapi","pct_black","pct_hispanic","pct_multiracial","pct_white","pct_lowinc","pct_el","pct_sped","n_ela_prof_3_8","pct_ela_prof_3_8","n_math_prof_3_8","pct_math_prof_3_8","n_ela_prof_9_12","pct_ela_prof_9_12","n_math_prof_9_12","pct_math_prof_9_12","grad_n","grad_rate","pct_chronic_absenteeism","per_pupil_spending","pct_csi_tsi","pct_lang_eo","pct_lang_spanish","pct_lang_indo","pct_lang_aapi","pct_lang_other","pct_fte_cert","retention_n","retention_rate"
"Andover School District",10011,"K-6","Traditional","Rural",1,0,239,0.23,0,0,4,27,4,203,0,0,0,0.02,0.11,0.02,0.85,0.28,0.03,0.13,68,0.63,53,0.49,NA,NA,NA,NA,NA,NA,0.06,22038,0,NA,NA,NA,NA,NA,1,21,0.95
"Ansonia School District",20011,"K-12","Traditional","Suburban",7,4,2404,0.05,3,48,522,1184,111,533,3,0,0.02,0.22,0.49,0.05,0.22,0.64,0.08,0.18,294,0.26,250,0.22,70,0.47,14,0.09,138,0.86,0.23,19869,0.25,0.84,0.13,0.02,0.01,NA,1,152,0.92
"Area Cooperative Educational Services",2440014,"K-12","Regional","Suburban",10,5,1726,-0.06,4,44,567,580,98,430,4,0,0.03,0.33,0.34,0.06,0.25,0.5,0.05,0.49,280,0.31,208,0.23,4,0.12,0,0,NA,NA,0.31,52153,0,NA,NA,NA,NA,NA,0.97,159,0.83
"Ashford School District",30011,"K-8","Traditional","Rural",1,0,351,-0.1,0,4,7,33,10,294,4,0,0.02,0.02,0.09,0.03,0.84,0.39,0.01,0.17,120,0.53,116,0.51,NA,NA,NA,NA,NA,NA,0.06,26212,0,1,0,NA,NA,NA,1,37,0.92
"Avon School District",40011,"K-12","Traditional","Suburban",6,1,3092,-0.03,5,552,184,277,152,1917,5,0,0.18,0.06,0.09,0.05,0.62,0.13,0.03,0.13,1002,0.72,945,0.68,181,0.85,132,0.62,210,0.95,0.11,21328,0,0.73,0.03,0.11,0.11,0.02,1,232,0.94
"Barkhamsted School District",50011,"K-6","Traditional","Rural",3,0,227,0.04,1,1,0,12,9,204,0,0,0,0,0.05,0.04,0.9,0.25,0.01,0.28,63,0.5,62,0.49,NA,NA,NA,NA,NA,NA,0.12,21438,0,0.89,0.04,0.07,NA,NA,1,19,0.95
"Berlin School District",70011,"K-12","Traditional","Suburban",6,2,2634,-0.04,2,116,64,367,68,2016,2,0,0.04,0.02,0.14,0.03,0.77,0.25,0.05,0.17,716,0.62,681,0.59,128,0.68,65,0.35,189,0.95,0.15,22299,0,0.89,0.01,0.1,NA,0,1,213,0.93
"Bethany School District",80011,"K-6","Traditional","Rural",1,0,430,0.16,6,31,11,26,6,351,0,0.01,0.07,0.03,0.06,0.01,0.82,0.13,0.05,0.21,185,0.74,171,0.68,NA,NA,NA,NA,NA,NA,0.09,19107,0,NA,NA,NA,NA,NA,1,26,0.7
"Bethel School District",90011,"K-12","Traditional","Suburban",7,3,3227,0.03,47,233,147,908,128,1751,13,0.01,0.08,0.05,0.28,0.04,0.54,0.33,0.08,0.17,848,0.6,849,0.6,188,0.71,108,0.41,232,0.94,0.08,18624,0,0.8,0.06,0.12,0.02,NA,1,225,0.91
"Bloomfield School District",110011,"K-12","Traditional","Suburban",10,2,1897,-0.14,4,34,1231,344,88,192,4,0,0.02,0.65,0.18,0.05,0.1,0.54,0.05,0.22,254,0.38,186,0.28,74,0.49,12,0.08,125,0.83,0.18,24674,0,0.87,0.08,0.02,NA,0.03,1,160,0.84
"Bolton School District",120011,"K-12","Traditional","Rural",3,2,688,-0.12,0,11,39,76,39,523,0,0,0.02,0.06,0.11,0.06,0.76,0.23,0,0.11,186,0.64,184,0.65,49,0.77,24,0.38,49,0.94,0.1,22301,0,0.92,NA,0.05,NA,0.03,1,58,0.82
"Bozrah School District",130011,"K-8","Traditional","Suburban",1,0,180,-0.05,1,1,1,19,12,145,0,0.01,0.01,0.01,0.11,0.07,0.81,0.35,0.02,0.22,55,0.51,56,0.52,NA,NA,NA,NA,NA,NA,0.11,28086,0,0.83,0.04,0.15,NA,NA,1,16,0.84
"Branford School District",140011,"K-12","Traditional","Suburban",8,3,2567,-0.08,4,160,118,443,137,1702,4,0,0.06,0.05,0.17,0.05,0.66,0.38,0.08,0.15,632,0.56,571,0.51,119,0.67,62,0.35,197,0.91,0.13,25027,0,0.86,0.05,0.05,0.04,0,1,216,0.92
"Brass City Charter School District",2900013,"K-8","Charter","Urban",1,0,401,0.23,0,6,132,227,21,15,0,0,0.01,0.33,0.57,0.05,0.04,0.7,0.04,0.14,112,0.46,76,0.31,NA,NA,NA,NA,NA,NA,0.21,16251,0,NA,NA,NA,NA,NA,0.88,26,0.84
"Bridgeport School District",150011,"K-12","Traditional","Urban",38,9,20022,-0.01,71,324,5349,12226,490,1542,20,0,0.02,0.27,0.61,0.02,0.08,0.87,0.31,0.21,1799,0.21,1338,0.16,370,0.34,110,0.1,1120,0.75,0.33,18922,0.37,0.49,0.37,0.12,0.01,0.02,0.96,1216,0.87
"Bristol School District",170011,"K-12","Traditional","Suburban",31,11,7713,-0.03,6,271,639,2998,488,3306,6,0,0.04,0.08,0.39,0.06,0.43,0.55,0.07,0.22,1648,0.48,1397,0.41,272,0.51,123,0.23,562,0.91,0.18,20882,0,0.82,0.14,0.01,0.02,0,1,497,0.9
"Brookfield School District",180011,"K-12","Traditional","Suburban",3,1,2542,-0.03,24,195,103,466,12,1731,12,0.01,0.08,0.04,0.18,0,0.68,0.24,0.05,0.14,710,0.62,620,0.54,154,0.76,87,0.43,214,0.94,0.04,20908,0,0.87,0.03,0.07,0.03,NA,1,185,0.9
"Brooklyn School District",190011,"K-8","Traditional","Rural",2,0,852,-0.07,1,17,18,104,49,662,1,0,0.02,0.02,0.12,0.06,0.78,0.4,0.02,0.23,266,0.49,277,0.51,0,NA,0,NA,NA,NA,0.08,19247,0,0.96,0.03,0.02,NA,NA,1,70,0.92
"Canterbury School District",220011,"K-8","Traditional","Rural",2,0,512,0.08,0,6,5,62,5,434,0,0,0.01,0.01,0.12,0.01,0.85,0.35,0.03,0.14,166,0.54,168,0.55,0,NA,0,NA,NA,NA,0.09,20623,0,0.96,NA,NA,0.04,NA,1,40,0.93
"Canton School District",230011,"K-12","Traditional","Suburban",4,1,1439,-0.09,0,16,83,103,44,1177,16,0,0.02,0.06,0.07,0.03,0.82,0.2,0.01,0.19,416,0.66,391,0.62,80,0.81,49,0.5,104,0.91,0.14,23009,0,0.97,0.03,NA,0,NA,1,126,0.91
"Capitol Region Education Council",2410014,"K-12","Regional","Suburban",23,11,9091,0.05,12,406,2841,4004,536,1281,12,0,0.05,0.31,0.44,0.06,0.14,0.63,0.1,0.23,1077,0.3,808,0.23,212,0.39,44,0.08,417,0.9,0.28,30781,0.33,NA,NA,NA,NA,NA,1,737,0.92
"Chaplin School District",240011,"K-6","Traditional","Rural",1,0,150,0.07,0,4,4,17,7,119,0,0,0.02,0.02,0.11,0.05,0.79,0.04,0.02,0.21,34,0.44,42,0.55,NA,NA,NA,NA,NA,NA,0.08,26867,0,0.98,0.04,NA,NA,NA,1,18,0.95
