"district_code","district","grades_served","district_type","urbanicity","num_schools","num_high_schools","enrollment_2025","enrollment_change_6yr_pct","n_aian","pct_aian","n_aapi","pct_aapi","n_hispanic","pct_hispanic","n_black","pct_black","n_white","pct_white","n_multiracial","pct_multiracial","total","pct_lowinc","n_el","pct_el","pct_sped","n_ela_prof__9_12","pct_ela_prof__9_12","n_math_prof__9_12","pct_math_prof__9_12","n_ela_prof__3_8","pct_ela_prof__3_8","n_math_prof__3_8","pct_math_prof__3_8","pct_grad","pct_reg_attend","per_pupil_spending","pct_csi_tsi","pct_lang_eo","pct_lang_spanish","pct_lang_indo","pct_lang_aapi","pct_lang_other","pct_fte_cert"
72,"Alton","K-8","Traditional","Rural",1,0,407,-0.05,0,0,2,0,10,0.02,0,0,389,0.96,6,0.01,"407",0.15,0,0,0.24,NA,NA,NA,NA,246,0.46,246,0.29,NA,0.99,25233,0,NA,NA,NA,NA,NA,1
39,"Amherst","K-8","Traditional","Rural",2,0,1312,0,2,0,18,0.01,92,0.07,11,0.01,1149,0.88,40,0.03,"1,312",0.05,11,0.01,0.19,NA,NA,NA,NA,866,0.69,866,0.69,NA,0.98,22258,0,0.96,0.03,0.02,NA,NA,0.980667829355605
86,"Barnstead","K-8","Traditional","Rural",1,0,449,-0.07,0,0,3,0.01,8,0.02,2,0,436,0.97,0,0,"449",0.27,0,0,0.25,NA,NA,NA,NA,304,0.31,298,0.16,NA,1,18272,0,1,NA,NA,NA,NA,1
74,"Barrington","K-8","Traditional","Rural",3,0,941,-0.01,0,0,7,0.01,25,0.03,3,0,876,0.93,30,0.03,"941",0.12,1,0,0.22,NA,NA,NA,NA,566,0.54,570,0.43,NA,0.98,18787,0,0.98,NA,0.02,NA,NA,1
25,"Bedford","K-12","Traditional","Suburban",6,1,3968,-0.12,5,0,361,0.09,220,0.06,35,0.01,3070,0.77,277,0.07,"3,968",0.05,44,0.01,0.17,288,0.86,288,0.53,1770,0.78,1780,0.73,0.95,0.98,18498,0,0.89,0.02,0.06,0.03,NA,1
3,"Berlin","K-12","Traditional","Rural",3,1,970,-0.15,2,0,12,0.01,46,0.05,9,0.01,878,0.9,23,0.02,"970",0.52,3,0,0.19,82,0.43,82,0.16,436,0.33,444,0.26,0.9,0.97,24138,0,0.98,NA,0.02,NA,NA,0.93000002
67,"Bow","K-12","Traditional","Rural",4,1,1690,0,0,0,17,0.01,68,0.04,9,0.01,1545,0.91,51,0.03,"1,690",0.05,6,0,0.17,132,0.81,132,0.42,700,0.69,700,0.58,0.92,0.98,18395,0,0.96,0.03,0,NA,NA,0.985915492957746
82,"Chester","K-8","Traditional","Rural",1,0,508,0.03,1,0,10,0.02,35,0.07,0,0,453,0.89,9,0.02,"508",0.05,2,0,0.19,5,NA,5,NA,318,0.64,318,0.59,NA,0.98,17397,0,1,NA,NA,NA,NA,1
6,"Claremont","K-12","Traditional","Rural",6,1,1534,-0.13,3,0,17,0.01,109,0.07,17,0.01,1312,0.86,76,0.05,"1,534",0.45,7,0,0.25,88,0.52,88,0.15,606,0.32,610,0.26,0.8,0.96,23288,0.17,0.97,NA,0.01,0.02,NA,0.904092072837697
7,"Colebrook","K-12","Traditional","Rural",2,1,288,-0.11,0,0,0,0,17,0.06,0,0,263,0.91,8,0.03,"288",0.42,0,0,0.2,28,0.59,28,0.33,104,0.44,104,0.25,0.96,0.97,23007,0,NA,NA,NA,NA,NA,0.82
