"state","district","combined_district","supt_first_name","supt_last_name","district_code","grades_served","district_type","urbanicity","num_schools","num_high_schools","enrollment_2025","enrollment_change_6yr_pct","n_aian","n_asian","n_black","n_hispanic","n_multiracial","n_white","n_nhpi","pct_aian","pct_aapi","pct_black","pct_hispanic","pct_multiracial","pct_white","pct_lowinc","pct_el","pct_sped","n_ela_prof_3_8","pct_ela_prof_3_8","n_math_prof_3_8","pct_math_prof_3_8","n_ela_prof_9_12","pct_ela_prof_9_12","n_math_prof_9_12","pct_math_prof_9_12","grad_rate","pct_chronic_absenteeism","per_pupil_spending","pct_csi_tsi","pct_lang_eo","pct_lang_spanish","pct_lang_indo","pct_lang_aapi","pct_lang_other","pct_fte_cert","retention_n","retention_rate"
"Connecticut","Windsor School District","Windsor School District","Noha","Abdel-Hady",1640011,"K-12","Traditional","Suburban",7,2,3266,-0.02,4,111,1349,827,295,676,4,0,0.04,0.41,0.25,0.09,0.21,0.5,0.04,0.22,621,0.46,528,0.39,112,0.44,54,0.21,0.85,0.18,22687,0,0.93,0.03,0.01,0.01,0.02,1,277,0.87
"Connecticut","Barkhamsted School District","Barkhamsted School District","James","Agostine",50011,"K-6","Traditional","Rural",3,0,227,0.04,1,1,0,12,9,204,0,0,0,0,0.05,0.04,0.9,0.25,0.01,0.28,63,0.5,62,0.49,NA,NA,NA,NA,NA,0.12,21438,0,0.89,0.04,0.07,NA,NA,1,19,0.95
"Connecticut","Integrated Day Charter School District","Integrated Day Charter School District","Debby","Allard",2640013,"K-8","Charter","Urban",1,0,364,0.03,20,48,42,90,20,145,0,0.05,0.13,0.12,0.25,0.05,0.4,0.53,0.07,0.11,117,0.51,81,0.35,NA,NA,NA,NA,NA,0.13,14835,0,NA,NA,NA,NA,NA,1,22,0.85
"Connecticut","East Hartford School District","East Hartford School District","Thomas","Anderson",430011,"K-12","Traditional","Urban",15,4,6504,-0.04,19,242,1951,3455,210,613,14,0,0.04,0.3,0.53,0.03,0.09,0.61,0.2,0.24,1043,0.39,902,0.34,203,0.4,107,0.21,0.85,0.23,17348,0,0.69,0.24,0.02,0.02,0.03,1,478,0.89
"Connecticut","Groton School District","Groton School District","Susan","Austin",590011,"K-12","Traditional","Rural",10,4,4009,-0.06,27,238,295,1063,535,1840,11,0.01,0.06,0.07,0.27,0.13,0.46,0.68,0.04,0.21,870,0.48,760,0.42,131,0.59,71,0.32,0.88,0.2,20055,0,0.88,0.07,0.03,0.02,NA,1,327,0.92
"Connecticut","Bridgeport School District","Bridgeport School District","Royce","Avery",150011,"K-12","Traditional","Urban",38,9,20022,-0.01,71,324,5349,12226,490,1542,20,0,0.02,0.27,0.61,0.02,0.08,0.87,0.31,0.21,1799,0.21,1338,0.16,370,0.34,110,0.1,0.75,0.33,18922,0.37,0.49,0.37,0.12,0.01,0.02,0.96,1216,0.87
"Connecticut","Hebron School District","Hebron School District","Tom","Baird",670011,"K-6","Traditional","Rural",2,0,681,0.03,5,10,5,35,28,598,0,0.01,0.01,0.01,0.05,0.04,0.88,0.17,0,0.15,248,0.69,231,0.64,NA,NA,NA,NA,NA,0.07,19816,0,0.98,0.03,NA,NA,NA,1,55,0.87
"Connecticut","Unified School District #1","Unified School District #1","Veron","Beaulieu",3360015,"9-12","Stage agency","Suburban",11,11,145,-0.08,0,4,63,61,4,14,0,0,0.02,0.43,0.42,0.02,0.1,1,0.09,0.85,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.21,NA,NA,NA,NA,NA,NA,NA,NA,75,0.82
"Connecticut","Wallingford School District","Wallingford School District","Danielle","Bellizzi",1480011,"K-12","Traditional","Suburban",23,5,5241,-0.08,7,227,97,1176,199,3529,6,0,0.04,0.02,0.22,0.04,0.67,0.36,0.08,0.19,1166,0.52,1056,0.48,253,0.64,114,0.29,0.91,0.12,23520,0,0.84,0.09,0.05,0.02,0,NA,444,0.92
"Connecticut","Berlin School District","Berlin School District","Brian","Benigni",70011,"K-12","Traditional","Suburban",6,2,2634,-0.04,2,116,64,367,68,2016,2,0,0.04,0.02,0.14,0.03,0.77,0.25,0.05,0.17,716,0.62,681,0.59,128,0.68,65,0.35,0.95,0.15,22299,0,0.89,0.01,0.1,NA,0,1,213,0.93
"Connecticut","Meriden School District","Meriden School District","Mark","Benigni",800011,"K-12","Traditional","Suburban",32,12,8707,0.07,8,146,1009,5422,456,1659,8,0,0.02,0.12,0.62,0.05,0.19,0.78,0.2,0.22,1864,0.48,1715,0.44,249,0.42,87,0.15,0.86,0.22,16646,0,0.7,0.27,0.01,0.03,NA,1,549,0.92
"Connecticut","Canterbury School District","Canterbury School District","Christopher","Bitgood",220011,"K-8","Traditional","Rural",2,0,512,0.08,0,6,5,62,5,434,0,0,0.01,0.01,0.12,0.01,0.85,0.35,0.03,0.14,166,0.54,168,0.55,0,NA,0,NA,NA,0.09,20623,0,0.96,NA,NA,0.04,NA,1,40,0.93
"Connecticut","Glastonbury School District","Glastonbury School District","Alan","Bookman",540011,"K-12","Traditional","Suburban",11,3,5696,-0.02,7,842,187,738,374,3548,0,0,0.15,0.03,0.13,0.07,0.62,0.15,0.04,0.14,1881,0.73,1898,0.74,343,0.81,243,0.57,0.97,0.08,21545,0,0.8,0.07,0.04,0.09,0.01,1,420,0.93
"Connecticut","Stratford School District","Stratford School District","Heather","Borges",1380011,"K-12","Traditional","Suburban",23,5,6578,-0.04,8,140,1743,2875,234,1571,7,0,0.02,0.26,0.44,0.04,0.24,0.5,0.12,0.19,1017,0.36,834,0.29,269,0.49,73,0.13,0.91,0.17,20911,0.08,0.81,0.11,0.05,0.02,0.01,0.99,443,0.88
