"district","state","pct_lang_eo","pct_lang_spanish","pct_lang_indo","pct_lang_aapi","pct_lang_other"
"Ansonia School District","CT",83.8,13,2.1,0.9,NA
"Ashford School District","CT",100,0.5,NA,NA,NA
"Avon School District","CT",73.4,2.8,11,10.6,2.1
"Barkhamsted School District","CT",88.9,4.3,6.8,NA,NA
"Berlin School District","CT",88.7,1.1,9.9,NA,0.3
"Bethel School District","CT",80.3,5.7,11.6,2.4,NA
"Bloomfield School District","CT",87.4,8.2,2,NA,2.5
"Bolton School District","CT",91.5,NA,4.6,NA,3.3
"Bozrah School District","CT",82.7,3.7,14.8,NA,NA
"Branford School District","CT",86.2,5.4,4.8,3.6,0.1
"Bridgeport School District","CT",48.7,36.6,11.8,1.4,1.6
"Bristol School District","CT",82.1,14.5,1.5,1.8,0.1
"Brookfield School District","CT",87.2,2.6,6.8,3.4,NA
"Brooklyn School District","CT",95.9,2.5,1.7,NA,NA
"Canterbury School District","CT",95.9,NA,NA,4.1,NA
"Canton School District","CT",97.2,2.8,NA,0.2,NA
"Chaplin School District","CT",98.1,3.8,NA,NA,NA
"Cheshire School District","CT",89.9,1.6,3.3,4.7,0.5
"Clinton School District","CT",88.9,1.6,3.7,6.1,NA
"Colchester School District","CT",94.7,1.8,2,1.4,NA
"Colebrook School District","CT",95,5,NA,NA,NA
"Columbia School District","CT",100,NA,NA,NA,NA
"Coventry School District","CT",99,1,NA,NA,NA
"Cromwell School District","CT",84.8,1,12.6,1.7,NA
"Danbury School District","CT",50.6,35.5,12.4,1.4,0.1
"Darien School District","CT",91.2,3.1,3.4,2.3,NA
"Derby School District","CT",69.2,23.8,5,1.5,0.9
"East Granby School District","CT",95.9,NA,2.5,1,NA
"East Haddam School District","CT",94.7,0.8,4.9,NA,NA
"East Hampton School District","CT",97,NA,3,NA,NA
"East Hartford School District","CT",68.9,24.2,2,1.7,3.2
"East Haven School District","CT",79.3,15.1,5.2,0.4,NA
"East Lyme School District","CT",88.7,1.6,4.7,4.7,0.4
"East Windsor School District","CT",93.9,6.1,NA,NA,NA
"Eastford School District","CT",100,NA,NA,NA,NA
"Easton School District","CT",89.9,1.9,7,1.3,NA
"Ellington School District","CT",92.2,5.4,2.4,NA,NA
"Enfield School District","CT",90.5,4.9,2.7,0.6,1.3
"Essex School District","CT",97,0.5,NA,NA,2.4
"Fairfield School District","CT",88.6,2.4,6.1,0.6,2.2
"Farmington School District","CT",74.6,3.7,7.7,13.9,0.2
"Franklin School District","CT",100,NA,NA,NA,NA
"Glastonbury School District","CT",80.4,6.6,3.6,8.7,0.7
"Granby School District","CT",93,1.9,5.1,NA,NA
"Greenwich School District","CT",76.4,11.1,7.4,4.8,0.3
"Griswold School District","CT",100,NA,NA,NA,NA
"Groton School District","CT",88.2,6.7,3,2.1,NA
"Guilford School District","CT",94,1,1.6,1.6,1.8
"Hamden School District","CT",84.3,6.6,1.2,1.3,6.6
"Hampton School District","CT",79.2,15.1,5.7,NA,NA
"Hartford School District","CT",59.5,35.5,2.5,0.5,1.9
"Hartland School District","CT",98.1,3.8,NA,NA,NA
"Hebron School District","CT",97.5,2.5,NA,NA,NA
"Killingly School District","CT",89.5,4,6.2,0.3,NA
"Lebanon School District","CT",89.6,4.1,3.6,2.7,NA
"Ledyard School District","CT",96.1,1,1.3,1.6,NA
"Lisbon School District","CT",95.5,4.5,NA,NA,NA
"Litchfield School District","CT",91.7,2.2,1.7,4.3,NA
"Madison School District","CT",94,0.8,3.3,2,NA
"Manchester School District","CT",80.8,8,5.4,2.4,3.3
"Mansfield School District","CT",84.6,2.1,4,8.5,0.8
"Marlborough School District","CT",79.7,18.2,NA,2.2,NA
"Meriden School District","CT",69.9,26.7,0.7,2.7,NA
"Middletown School District","CT",87.4,7.2,4.1,0.6,0.6
"Milford School District","CT",88.6,3.2,2.8,5.1,0.3
"Monroe School District","CT",87.9,4.5,4.2,3.5,NA
"Montville School District","CT",88,1.9,6.6,2.5,0.8
"Naugatuck School District","CT",75,7,16.1,0.4,1.4
"New Britain School District","CT",54.6,31.6,8.3,0.6,4.8
"New Canaan School District","CT",89.2,0.5,6,4,0.2
"New Fairfield School District","CT",88.6,10.2,1,NA,NA
"New Hartford School District","CT",98,2,NA,NA,NA
"New Haven School District","CT",60,31.6,5.5,0.4,2.4
"New London School District","CT",49.4,42.1,5.2,1.8,1.5
"New Milford School District","CT",86.4,8.1,2.9,2.6,NA
