GeoId|Geography|LEAID|Year|Iteration|CDP02_53est|CDP02_53moe|CDP02_54est|CDP02_54moe|CDP02_54pct|CDP02_54pctmoe|CDP02_55est|CDP02_55moe|CDP02_55pct|CDP02_55pctmoe|CDP02_56est|CDP02_56moe|CDP02_56pct|CDP02_56pctmoe|CDP02_57est|CDP02_57moe|CDP02_57pct|CDP02_57pctmoe|CDP02_58est|CDP02_58moe|CDP02_58pct|CDP02_58pctmoe|CDP02_59est|CDP02_59moe|CDP02_59pct|CDP02_59pctmoe|CDP02_60est|CDP02_60moe|CDP02_60pct|CDP02_60pctmoe|CDP02_61est|CDP02_61moe|CDP02_61pct|CDP02_61pctmoe|CDP02_62est|CDP02_62moe|CDP02_62pct|CDP02_62pctmoe|CDP02_63est|CDP02_63moe|CDP02_63pct|CDP02_63pctmoe|CDP02_64est|CDP02_64moe|CDP02_64pct|CDP02_64pctmoe
9700000US0900060|Ansonia School District, CT|0900060|2018-2022|101|2800|473|2345|474|83.8|7.3|455|208|16.3|7.3|185|147|6.6|5.1|365|186|13|6.7|135|124|4.8|4.4|60|82|2.1|2.8|45|78|1.6|2.7|25|42|0.9|1.5|0|21||1.4|0|21||1.4|0|21||1.4
9500000US0900090|Ashford School District, CT|0900090|2018-2022|101|795|177|795|177|100|4.9|4|5|0.5|0.8|0|13||4.9|4|5|0.5|0.8|0|13||4.9|0|13||4.9|0|13||4.9|0|13||4.9|0|13||4.9|0|13||4.9|0|13||4.9
9700000US0900120|Avon School District, CT|0900120|2018-2022|101|3535|290|2595|326|73.4|8.4|940|321|26.6|8.4|20|21|0.6|0.6|100|111|2.8|3.1|0|21||1.1|390|194|11|5.3|0|21||1.1|375|237|10.6|6.6|20|21|0.6|0.6|75|80|2.1|2.3|0|21||1.1
9500000US0900150|Barkhamsted School District, CT|0900150|2018-2022|101|585|117|520|113|88.9|9.6|65|57|11.1|9.6|0|13||6.6|25|39|4.3|6.4|0|13||6.6|40|47|6.8|8|0|13||6.6|0|13||6.6|0|13||6.6|0|13||6.6|0|13||6.6
9700000US0900210|Berlin School District, CT|0900210|2018-2022|101|3130|333|2775|358|88.7|6|355|187|11.3|6|15|26|0.5|0.8|35|59|1.1|1.9|0|25||1.3|310|174|9.9|5.6|15|26|0.5|0.8|0|25||1.3|0|25||1.3|10|18|0.3|0.6|0|25||1.3
9700000US0900270|Bethel School District, CT|0900270|2018-2022|101|3675|528|2950|598|80.3|7.6|725|252|19.7|7.6|40|39|1.1|1.2|210|84|5.7|2.5|10|17|0.3|0.5|425|246|11.6|6.9|30|35|0.8|1|90|60|2.4|1.7|0|25||1.1|0|25||1.1|0|25||1.1
9700000US0900330|Bloomfield School District, CT|0900330|2018-2022|101|2815|359|2460|348|87.4|6.5|355|194|12.6|6.5|30|49|1.1|1.8|230|162|8.2|5.5|30|49|1.1|1.8|55|73|2|2.6|0|25||1.4|0|25||1.4|0|25||1.4|70|87|2.5|3|0|25||1.4
9700000US0900360|Bolton School District, CT|0900360|2018-2022|101|765|124|700|130|91.5|8|60|60|7.8|7.9|0|13||5.1|0|13||5.1|0|13||5.1|35|40|4.6|5.3|0|13||5.1|0|13||5.1|0|13||5.1|25|45|3.3|6|0|13||5.1
9500000US0900390|Bozrah School District, CT|0900390|2018-2022|101|405|148|335|141|82.7|21|75|91|18.5|21.2|0|13||9.4|15|22|3.7|5.1|0|13||9.4|60|89|14.8|21.2|0|13||9.4|0|13||9.4|0|13||9.4|0|13||9.4|0|13||9.4
9700000US0900420|Branford School District, CT|0900420|2018-2022|101|3620|456|3120|468|86.2|6.3|500|232|13.8|6.3|50|44|1.4|1.3|195|126|5.4|3.4|10|16|0.3|0.4|175|98|4.8|2.8|25|34|0.7|1|130|145|3.6|3.9|10|18|0.3|0.5|4|5|0.1|0.3|4|5|0.1|0.3
9700000US0900450|Bridgeport School District, CT|0900450|2018-2022|101|23270|722|11325|873|48.7|3.6|11945|965|51.3|3.6|2155|541|9.3|2.4|8510|774|36.6|3|1515|404|6.5|1.8|2750|509|11.8|2.1|515|304|2.2|1.3|320|271|1.4|1.2|75|73|0.3|0.3|365|199|1.6|0.9|55|56|0.2|0.2
9700000US0900510|Bristol School District, CT|0900510|2018-2022|101|10585|843|8690|793|82.1|5|1895|575|17.9|5|170|193|1.6|1.8|1530|543|14.5|4.8|145|193|1.4|1.8|160|137|1.5|1.3|25|32|0.2|0.3|195|138|1.8|1.3|0|31||0.4|10|16|0.1|0.2|0|31||0.4
