GeoId|Geography|LEAID|Year|Iteration|CDP02_53est|CDP02_53moe|CDP02_54est|CDP02_54moe|CDP02_54pct|CDP02_54pctmoe|CDP02_55est|CDP02_55moe|CDP02_55pct|CDP02_55pctmoe|CDP02_56est|CDP02_56moe|CDP02_56pct|CDP02_56pctmoe|CDP02_57est|CDP02_57moe|CDP02_57pct|CDP02_57pctmoe|CDP02_58est|CDP02_58moe|CDP02_58pct|CDP02_58pctmoe|CDP02_59est|CDP02_59moe|CDP02_59pct|CDP02_59pctmoe|CDP02_60est|CDP02_60moe|CDP02_60pct|CDP02_60pctmoe|CDP02_61est|CDP02_61moe|CDP02_61pct|CDP02_61pctmoe|CDP02_62est|CDP02_62moe|CDP02_62pct|CDP02_62pctmoe|CDP02_63est|CDP02_63moe|CDP02_63pct|CDP02_63pctmoe|CDP02_64est|CDP02_64moe|CDP02_64pct|CDP02_64pctmoe
9500000US2302510|Appleton, ME|2302510|2018-2022|101|255|80|255|80|100|10.2|4|3|1.6|3.3|0|11||10.2|0|11||10.2|0|11||10.2|0|11||10.2|0|11||10.2|0|11||10.2|0|11||10.2|4|3|1.6|3.3|0|11||10.2
9700000US2382001|Aroostook Unorganized Territory, ME|2382001|2018-2022|101|315|209|175|67|55.6|42.5|140|204|44.4|42.5|0|11||8.4|0|11||8.4|0|11||8.4|140|204|44.4|42.5|0|11||8.4|0|11||8.4|0|11||8.4|0|11||8.4|0|11||8.4
9700000US2302610|Auburn, ME|2302610|2018-2022|101|4095|421|4045|428|98.8|1.3|55|48|1.3|1.1|10|16|0.2|0.4|30|39|0.7|0.9|0|20||0.7|25|24|0.6|0.6|10|16|0.2|0.4|0|20||0.7|0|20||0.7|0|20||0.7|0|20||0.7
9700000US2302640|Augusta, ME|2302640|2018-2022|101|2210|386|2160|391|97.7|2.4|50|51|2.3|2.4|10|20|0.5|1|4|9|0.2|0.4|0|17||1.2|30|46|1.4|2.2|10|20|0.5|1|0|17||1.2|0|17||1.2|15|21|0.7|1|0|17||1.2
9700000US2302820|Bangor, ME|2302820|2018-2022|101|4155|517|3770|550|90.7|4|380|155|9.1|4|110|75|2.6|1.9|65|72|1.6|1.8|15|24|0.4|0.6|110|85|2.6|2.1|10|16|0.2|0.4|75|49|1.8|1.3|10|20|0.2|0.5|130|102|3.1|2.5|75|73|1.8|1.8
9700000US2303150|Biddeford, ME|2303150|2018-2022|101|2540|441|2485|449|97.8|2.2|50|57|2|2.3|20|38|0.8|1.6|0|20||1.1|0|20||1.1|30|42|1.2|1.7|20|38|0.8|1.6|4|7|0.2|0.3|0|20||1.1|15|33|0.6|1.4|0|20||1.1
9700000US2303290|Boothbay-Boothbay Harbor Community School District, ME|2303290|2018-2022|101|480|123|480|123|100|5.6|0|15||5.6|0|15||5.6|0|15||5.6|0|15||5.6|0|15||5.6|0|15||5.6|0|15||5.6|0|15||5.6|0|15||5.6|0|15||5.6
9600000US2303480|Bremen, ME|2303480|2018-2022|101|125|57|125|57|100|19.6|4|3|3.2|7.2|0|11||19.6|0|11||19.6|0|11||19.6|4|3|3.2|7.2|0|11||19.6|0|11||19.6|0|11||19.6|0|11||19.6|0|11||19.6
9700000US2303510|Brewer, ME|2303510|2018-2022|101|1500|197|1430|207|95.3|4.8|70|72|4.7|4.8|10|15|0.7|1|20|33|1.3|2.2|0|15||1.8|45|49|3|3.3|0|15||1.8|0|15||1.8|0|15||1.8|10|15|0.7|1|10|15|0.7|1
9700000US2303780|Brunswick, ME|2303780|2018-2022|101|2815|402|2695|385|95.7|2.9|120|87|4.3|2.9|80|81|2.8|2.8|4|10|0.1|0.4|0|20||1|85|82|3|2.8|65|78|2.3|2.6|15|26|0.5|1|15|26|0.5|1|15|21|0.5|0.8|0|20||1
