GeoId|Geography|LEAID|Year|Iteration|CDP02_53est|CDP02_53moe|CDP02_54est|CDP02_54moe|CDP02_54pct|CDP02_54pctmoe|CDP02_55est|CDP02_55moe|CDP02_55pct|CDP02_55pctmoe|CDP02_56est|CDP02_56moe|CDP02_56pct|CDP02_56pctmoe|CDP02_57est|CDP02_57moe|CDP02_57pct|CDP02_57pctmoe|CDP02_58est|CDP02_58moe|CDP02_58pct|CDP02_58pctmoe|CDP02_59est|CDP02_59moe|CDP02_59pct|CDP02_59pctmoe|CDP02_60est|CDP02_60moe|CDP02_60pct|CDP02_60pctmoe|CDP02_61est|CDP02_61moe|CDP02_61pct|CDP02_61pctmoe|CDP02_62est|CDP02_62moe|CDP02_62pct|CDP02_62pctmoe|CDP02_63est|CDP02_63moe|CDP02_63pct|CDP02_63pctmoe|CDP02_64est|CDP02_64moe|CDP02_64pct|CDP02_64pctmoe
9500000US3301380|Allenstown School District, NH|3301380|2018-2022|101|955|249|900|268|94.2|9.2|55|84|5.8|9.2|0|12||3.3|55|84|5.8|9.2|0|12||3.3|0|12||3.3|0|12||3.3|0|12||3.3|0|12||3.3|0|12||3.3|0|12||3.3
9500000US3301470|Amherst School District, NH|3301470|2018-2022|101|2010|279|1925|283|95.8|3.3|90|64|4.5|3.2|45|47|2.2|2.4|55|50|2.7|2.5|45|47|2.2|2.4|35|41|1.7|2|0|19||1.6|0|19||1.6|0|19||1.6|0|19||1.6|0|19||1.6
9500000US3301590|Auburn School District, NH|3301590|2018-2022|101|955|184|945|181|99|1.8|10|18|1|1.8|0|17||3.3|0|17||3.3|0|17||3.3|10|18|1|1.8|0|17||3.3|0|17||3.3|0|17||3.3|0|17||3.3|0|17||3.3
9500000US3301620|Barnstead School District, NH|3301620|2018-2022|101|860|196|860|196|100|3.7|0|12||3.7|0|12||3.7|0|12||3.7|0|12||3.7|0|12||3.7|0|12||3.7|0|12||3.7|0|12||3.7|0|12||3.7|0|12||3.7
9500000US3301650|Barrington School District, NH|3301650|2018-2022|101|1640|231|1610|231|98.2|2.6|30|42|1.8|2.6|0|17||2|0|17||2|0|17||2|30|42|1.8|2.6|0|17||2|0|17||2|0|17||2|0|17||2|0|17||2
9700000US3301740|Bedford School District, NH|3301740|2018-2022|101|4970|502|4420|553|88.9|4.6|545|220|11|4.6|60|72|1.2|1.5|80|98|1.6|2|0|22||0.7|305|186|6.1|3.8|60|72|1.2|1.5|160|91|3.2|1.8|0|22||0.7|0|22||0.7|0|22||0.7
9700000US3301860|Berlin School District, NH|3301860|2018-2022|101|1140|171|1115|178|97.8|2.9|25|31|2.2|2.9|0|17||2.8|0|17||2.8|0|17||2.8|25|31|2.2|2.9|0|17||2.8|0|17||2.8|0|17||2.8|0|17||2.8|0|17||2.8
9700000US3301950|Bow School District, NH|3301950|2018-2022|101|1505|171|1445|183|96|4.3|60|63|4|4.3|0|17||2.1|50|62|3.3|4.1|0|17||2.1|4|8|0.3|0.6|0|17||2.1|0|17||2.1|0|17||2.1|0|17||2.1|0|17||2.1
9500000US3302010|Brentwood School District, NH|3302010|2018-2022|101|820|149|775|138|94.5|4.9|45|42|5.5|4.9|10|16|1.2|1.9|0|12||3.9|0|12||3.9|25|28|3|3.5|10|16|1.2|1.9|0|12||3.9|0|12||3.9|20|31|2.4|3.6|0|12||3.9
9500000US3302070|Brookline School District, NH|3302070|2018-2022|101|1340|149|1265|151|94.4|4|75|53|5.6|4|10|17|0.7|1.4|30|33|2.2|2.5|10|17|0.7|1.4|45|40|3.4|3|0|17||2.4|0|17||2.4|0|17||2.4|0|17||2.4|0|17||2.4
9500000US3302250|Chester School District, NH|3302250|2018-2022|101|755|156|755|156|100|4.2|0|17||4.2|0|17||4.2|0|17||4.2|0|17||4.2|0|17||4.2|0|17||4.2|0|17||4.2|0|17||4.2|0|17||4.2|0|17||4.2
9500000US3302310|Chichester School District, NH|3302310|2018-2022|101|430|80|420|79|97.7|3.7|10|16|2.3|3.7|0|12||7.3|0|12||7.3|0|12||7.3|0|12||7.3|0|12||7.3|10|16|2.3|3.7|0|12||7.3|0|12||7.3|0|12||7.3
9700000US3302340|Claremont School District, NH|3302340|2018-2022|101|2020|265|1960|263|97|3.9|60|78|3|3.9|0|19||1.6|0|19||1.6|0|19||1.6|20|35|1|1.7|0|19||1.6|45|63|2.2|3.1|0|19||1.6|0|19||1.6|0|19||1.6
9700000US3302460|Concord School District, NH|3302460|2018-2022|101|5010|452|4585|456|91.5|3.4|425|174|8.5|3.4|190|102|3.8|2|40|46|0.8|0.9|0|25||0.6|260|159|5.2|3.2|120|95|2.4|1.9|80|71|1.6|1.4|35|41|0.7|0.8|45|55|0.9|1.1|35|54|0.7|1.1
9700000US3302480|Contoocook Valley School District, NH|3302480|2018-2022|101|2800|386|2730|382|97.5|1.2|70|34|2.5|1.2|15|14|0.5|0.4|35|21|1.3|0.9|10|11|0.4|0.3|35|29|1.3|1.1|4|5|0.1|0.2|4|6|0.1|0.2|0|19||1.2|0|19||1.2|0|19||1.2
9700000US3302490|Conway School District, NH|3302490|2018-2022|101|1230|336|1170|327|95.1|5.1|60|63|4.9|5.1|0|17||2.6|55|63|4.5|5|0|17||2.6|4|13|0.3|1.3|0|17||2.6|0|17||2.6|0|17||2.6|0|17||2.6|0|17||2.6
9500000US3302520|Cornish School District, NH|3302520|2018-2022|101|200|70|200|70|100|15|0|12||15|0|12||15|0|12||15|0|12||15|0|12||15|0|12||15|0|12||15|0|12||15|0|12||15|0|12||15
9500000US3302580|Deerfield School District, NH|3302580|2018-2022|101|805|133|805|133|100|4|0|12||4|0|12||4|0|12||4|0|12||4|0|12||4|0|12||4|0|12||4|0|12||4|0|12||4|0|12||4
9500000US3302610|Derry School District, NH|3302610|2018-2022|101|5235|555|4945|559|94.5|3.5|295|184|5.6|3.5|35|51|0.7|1|205|167|3.9|3.2|35|51|0.7|1|70|75|1.3|1.4|0|25||0.6|20|37|0.4|0.7|0|25||0.6|0|25||0.6|0|25||0.6
9700000US3302640|Dover School District, NH|3302640|2018-2022|101|3935|508|3740|533|95|3.3|195|123|5|3.3|0|25||0.8|100|101|2.5|2.6|0|25||0.8|70|55|1.8|1.5|0|25||0.8|20|31|0.5|0.8|0|25||0.8|4|12|0.1|0.4|0|25||0.8
9600000US3302670|Dresden School District, NH|3302670|2018-2022|101|1295|253|1190|259|91.9|4.4|105|52|8.1|4.4|0|19||2.5|15|24|1.2|1.9|0|19||2.5|45|43|3.5|3.3|0|19||2.5|20|19|1.5|1.6|0|19||2.5|25|26|1.9|2.2|0|19||2.5
9500000US3302760|Dunbarton School District, NH|3302760|2018-2022|101|550|96|550|96|100|5.7|0|12||5.7|0|12||5.7|0|12||5.7|0|12||5.7|0|12||5.7|0|12||5.7|0|12||5.7|0|12||5.7|0|12||5.7|0|12||5.7
9500000US3302790|East Kingston School District, NH|3302790|2018-2022|101|360|71|360|71|100|8.6|0|12||8.6|0|12||8.6|0|12||8.6|0|12||8.6|0|12||8.6|0|12||8.6|0|12||8.6|0|12||8.6|0|12||8.6|0|12||8.6
9700000US3302880|Epping School District, NH|3302880|2018-2022|101|880|325|865|321|98.3|3.2|15|27|1.7|3.2|0|17||3.6|0|17||3.6|0|17||3.6|15|27|1.7|3.2|0|17||3.6|0|17||3.6|0|17||3.6|0|17||3.6|0|17||3.6
9500000US3302910|Epsom School District, NH|3302910|2018-2022|101|840|179|825|182|98.2|2.8|15|23|1.8|2.8|0|12||3.8|0|12||3.8|0|12||3.8|15|23|1.8|2.8|0|12||3.8|0|12||3.8|0|12||3.8|0|12||3.8|0|12||3.8
9600000US3300017|Exeter Regional Cooperative School District, NH|3300017|2018-2022|101|5540|364|5195|391|93.8|2.8|345|155|6.2|2.8|55|50|1|0.9|80|57|1.4|1|0|25||0.6|95|69|1.7|1.3|10|16|0.2|0.3|150|132|2.7|2.4|45|47|0.8|0.9|20|31|0.4|0.6|0|25||0.6
9500000US3302970|Exeter School District, NH|3302970|2018-2022|101|2485|278|2235|328|89.9|6.3|250|149|10.1|6.3|45|47|1.8|1.9|50|49|2|2|0|19||1.3|65|62|2.6|2.6|0|19||1.3|130|139|5.2|5.7|45|47|1.8|1.9|0|19||1.3|0|19||1.3
9700000US3302990|Fall Mountain Regional School District, NH|3302990|2018-2022|101|1855|306|1785|301|96.2|4.5|70|83|3.8|4.5|10|13|0.5|0.8|0|19||1.7|0|19||1.7|10|13|0.5|0.8|10|13|0.5|0.8|15|30|0.8|1.6|0|19||1.7|45|75|2.4|4|0|19||1.7
9700000US3303090|Franklin School District, NH|3303090|2018-2022|101|1200|222|1190|224|99.2|1.5|10|18|0.8|1.5|10|18|0.8|1.5|10|18|0.8|1.5|10|18|0.8|1.5|0|17||2.7|0|17||2.7|0|17||2.7|0|17||2.7|0|17||2.7|0|17||2.7
9500000US3303150|Fremont School District, NH|3303150|2018-2022|101|760|244|760|244|100|4.2|0|12||4.2|0|12||4.2|0|12||4.2|0|12||4.2|0|12||4.2|0|12||4.2|0|12||4.2|0|12||4.2|0|12||4.2|0|12||4.2
9700000US3303180|Gilford School District, NH|3303180|2018-2022|101|1075|298|1000|315|93|6.2|75|60|7|6.2|0|17||3|0|17||3|0|17||3|75|60|7|6.2|0|17||3|0|17||3|0|17||3|0|17||3|0|17||3
9700000US3303240|Goffstown School District, NH|3303240|2018-2022|101|2580|422|2515|414|97.5|2.3|60|60|2.3|2.3|0|19||1.2|30|45|1.2|1.7|0|19||1.2|20|30|0.8|1.2|0|19||1.2|15|24|0.6|0.9|0|19||1.2|0|19||1.2|0|19||1.2
9700000US3300035|Gorham Randolph Shelburne Cooperative School District, NH|3300035|2018-2022|101|360|74|350|73|97.2|3.7|10|12|2.8|3.7|0|12||8.6|0|12||8.6|0|12||8.6|10|12|2.8|4|0|12||8.6|4|2|1.1|2.9|0|12||8.6|0|12||8.6|0|12||8.6
9700000US3303330|Governor Wentworth Regional School District, NH|3303330|2018-2022|101|2135|297|2075|303|97.2|1.6|60|32|2.8|1.6|4|4|0.2|0.3|10|14|0.5|0.6|4|4|0.2|0.3|55|29|2.6|1.5|0|19||1.5|0|19||1.5|0|19||1.5|0|19||1.5|0|19||1.5
9500000US3303420|Greenland School District, NH|3303420|2018-2022|101|730|162|695|160|95.2|4.2|35|30|4.8|4.2|4|10|0.5|1.8|20|21|2.7|2.9|4|10|0.5|1.8|20|26|2.7|3.7|0|12||4.4|0|12||4.4|0|12||4.4|0|12||4.4|0|12||4.4
9500000US3303480|Hampstead School District, NH|3303480|2018-2022|101|1310|223|1255|206|95.8|5.1|60|71|4.6|5.4|0|17||2.4|0|17||2.4|0|17||2.4|0|17||2.4|0|17||2.4|60|71|4.6|5.4|0|17||2.4|0|17||2.4|0|17||2.4
9500000US3303540|Hampton Falls School District, NH|3303540|2018-2022|101|425|150|295|75|69.4|22.4|125|132|29.4|22.2|0|12||7.4|25|33|5.9|7.8|0|12||7.4|90|125|21.2|23.2|0|12||7.4|10|15|2.4|3.9|0|12||7.4|0|12||7.4|0|12||7.4
9500000US3303510|Hampton School District, NH|3303510|2018-2022|101|1880|353|1875|351|99.7|0.6|4|10|0.2|0.7|0|19||1.7|0|19||1.7|0|19||1.7|4|10|0.2|0.7|0|19||1.7|0|19||1.7|0|19||1.7|0|19||1.7|0|19||1.7
9500000US3303600|Hanover School District, NH|3303600|2018-2022|101|1295|253|1190|259|91.9|4.4|105|52|8.1|4.4|0|19||2.5|15|24|1.2|1.9|0|19||2.5|45|43|3.5|3.3|0|19||2.5|20|19|1.5|1.6|0|19||2.5|25|26|1.9|2.2|0|19||2.5
9700000US3303750|Hillsboro-Deering Cooperative School District, NH|3303750|2018-2022|101|1195|289|1155|290|96.7|4.8|40|58|3.3|4.8|4|4|0.3|0.5|40|57|3.3|4.8|4|2|0.3|0.9|0|17||2.7|0|17||2.7|4|3|0.3|0.7|4|3|0.3|0.7|0|17||2.7|0|17||2.7
9500000US3303840|Hollis School District, NH|3303840|2018-2022|101|1370|242|1235|247|90.1|7|135|96|9.9|7|0|17||2.3|0|17||2.3|0|17||2.3|135|96|9.9|7|0|17||2.3|0|17||2.3|0|17||2.3|0|17||2.3|0|17||2.3
9600000US3303850|Hollis-Brookline Cooperative School District, NH|3303850|2018-2022|101|2710|274|2500|268|92.3|3.9|210|108|7.7|3.9|10|17|0.4|0.7|30|33|1.1|1.2|10|17|0.4|0.7|180|104|6.6|3.8|0|19||1.2|0|19||1.2|0|19||1.2|0|19||1.2|0|19||1.2
9500000US3303870|Hooksett School District, NH|3303870|2018-2022|101|2340|388|2245|379|95.9|2.8|95|67|4.1|2.8|0|19||1.4|0|19||1.4|0|19||1.4|30|36|1.3|1.5|0|19||1.4|15|23|0.6|1|0|19||1.4|50|52|2.1|2.3|0|19||1.4
9700000US3303900|Hopkinton School District, NH|3303900|2018-2022|101|970|278|970|278|100|3.3|0|17||3.3|0|17||3.3|0|17||3.3|0|17||3.3|0|17||3.3|0|17||3.3|0|17||3.3|0|17||3.3|0|17||3.3|0|17||3.3
9700000US3303930|Hudson School District, NH|3303930|2018-2022|101|3835|459|3585|491|93.5|4|250|148|6.5|4|0|22||0.8|80|85|2.1|2.2|0|22||0.8|110|98|2.9|2.6|0|22||0.8|60|88|1.6|2.3|0|22||0.8|0|22||0.8|0|22||0.8
9700000US3303960|Inter-Lakes School District, NH|3303960|2018-2022|101|1010|182|1005|182|99.5|1|4|9|0.4|1.1|4|4|0.4|0.8|4|4|0.4|0.8|4|4|0.4|0.8|0|17||3.2|0|17||3.2|4|8|0.4|0.8|0|17||3.2|0|17||3.2|0|17||3.2
9700000US3304030|Jaffrey-Rindge Cooperative School District, NH|3304030|2018-2022|101|2120|280|2085|277|98.3|1.8|35|38|1.7|1.8|0|19||1.5|0|19||1.5|0|19||1.5|35|38|1.7|1.8|0|19||1.5|0|19||1.5|0|19||1.5|0|19||1.5|0|19||1.5
9600000US3300003|John Stark Regional School District, NH|3300003|2018-2022|101|2520|370|2490|367|98.8|1.8|30|45|1.2|1.8|0|19||1.3|30|45|1.2|1.8|0|19||1.3|0|19||1.3|0|19||1.3|0|19||1.3|0|19||1.3|0|19||1.3|0|19||1.3
9700000US3304040|Kearsarge Regional School District, NH|3304040|2018-2022|101|1970|202|1945|201|98.7|1.1|25|20|1.3|1.1|0|19||1.6|10|10|0.5|0.6|0|19||1.6|15|16|0.8|0.9|0|19||1.6|4|7|0.2|0.4|0|19||1.6|0|19||1.6|0|19||1.6
9700000US3304050|Keene School District, NH|3304050|2018-2022|101|2500|276|2385|276|95.4|4|115|102|4.6|4|20|39|0.8|1.6|0|22||1.3|0|22||1.3|55|75|2.2|3|0|22||1.3|30|59|1.2|2.4|20|39|0.8|1.6|30|43|1.2|1.7|0|22||1.3
