GeoId|Geography|LEAID|Year|Iteration|CDP02_53est|CDP02_53moe|CDP02_54est|CDP02_54moe|CDP02_54pct|CDP02_54pctmoe|CDP02_55est|CDP02_55moe|CDP02_55pct|CDP02_55pctmoe|CDP02_56est|CDP02_56moe|CDP02_56pct|CDP02_56pctmoe|CDP02_57est|CDP02_57moe|CDP02_57pct|CDP02_57pctmoe|CDP02_58est|CDP02_58moe|CDP02_58pct|CDP02_58pctmoe|CDP02_59est|CDP02_59moe|CDP02_59pct|CDP02_59pctmoe|CDP02_60est|CDP02_60moe|CDP02_60pct|CDP02_60pctmoe|CDP02_61est|CDP02_61moe|CDP02_61pct|CDP02_61pctmoe|CDP02_62est|CDP02_62moe|CDP02_62pct|CDP02_62pctmoe|CDP02_63est|CDP02_63moe|CDP02_63pct|CDP02_63pctmoe|CDP02_64est|CDP02_64moe|CDP02_64pct|CDP02_64pctmoe
9700000US4400030|Barrington School District, RI|4400030|2018-2022|101|3875|272|3620|281|93.4|2.7|255|103|6.6|2.7|20|26|0.5|0.7|70|58|1.8|1.5|0|23||1.2|115|68|3|1.8|4|15|0.1|0.4|55|58|1.4|1.5|15|23|0.4|0.6|15|21|0.4|0.6|0|23||1.2
9700000US4400065|Bristol-Warren Regional School District, RI|4400065|2018-2022|101|3470|280|3165|328|91.2|5.6|305|196|8.8|5.6|4|7|0.1|0.2|60|41|1.7|1.2|4|7|0.1|0.2|245|194|7.1|5.6|0|30||1.4|0|30||1.4|0|30||1.4|0|30||1.4|0|30||1.4
9700000US4400090|Burrillville School District, RI|4400090|2018-2022|101|2285|357|1820|326|79.6|14.9|465|377|20.4|14.9|85|92|3.7|3.9|295|287|12.9|12.1|40|67|1.8|3|170|265|7.4|11|45|66|2|2.8|0|23||2.1|0|23||2.1|0|23||2.1|0|23||2.1
9700000US4400120|Central Falls School District, RI|4400120|2018-2022|101|4625|520|1695|380|36.6|8.3|2930|564|63.4|8.3|610|263|13.2|5.5|2775|579|60|8.6|610|263|13.2|5.5|155|99|3.4|2.2|0|27||1|0|27||1|0|27||1|0|27||1|0|27||1
9700000US4400150|Chariho Regional School District, RI|4400150|2018-2022|101|3645|414|3480|326|95.5|4.8|165|184|4.5|4.8|15|25|0.4|0.7|0|27||1.3|0|27||1.3|160|184|4.4|4.7|15|25|0.4|0.7|4|3|0.1|0.3|0|27||1.3|0|27||1.3|0|27||1.3
9700000US4400210|Coventry School District, RI|4400210|2018-2022|101|5150|476|5040|478|97.9|1.7|110|85|2.1|1.7|40|56|0.8|1.1|80|86|1.6|1.7|40|56|0.8|1.1|15|19|0.3|0.4|0|30||0.9|15|27|0.3|0.6|0|30||0.9|0|30||0.9|0|30||0.9
9700000US4400240|Cranston School District, RI|4400240|2018-2022|101|12215|767|9555|859|78.2|4|2655|474|21.7|4|575|225|4.7|1.8|2015|474|16.5|3.9|435|219|3.6|1.8|165|95|1.4|0.8|50|58|0.4|0.5|470|143|3.8|1.2|85|57|0.7|0.5|10|15|0.1|0.1|10|15|0.1|0.1
9700000US4400270|Cumberland School District, RI|4400270|2018-2022|101|6125|657|5205|558|85|4.6|920|323|15|4.6|150|117|2.4|1.9|480|220|7.8|3.3|115|108|1.9|1.7|190|156|3.1|2.5|0|30||0.8|155|109|2.5|1.8|35|42|0.6|0.7|95|110|1.6|1.7|0|30||0.8
9700000US4400300|East Greenwich School District, RI|4400300|2018-2022|101|2650|337|2315|332|87.4|5.9|335|162|12.6|5.9|45|61|1.7|2.2|135|124|5.1|4.5|10|24|0.4|0.9|125|90|4.7|3.4|35|57|1.3|2.1|75|87|2.8|3.3|0|23||1.8|0|23||1.8|0|23||1.8
9700000US4400330|East Providence School District, RI|4400330|2018-2022|101|5405|553|4365|489|80.8|6.5|1040|395|19.2|6.5|85|87|1.6|1.6|765|341|14.2|5.9|25|38|0.5|0.7|265|228|4.9|4.1|55|77|1|1.4|10|13|0.2|0.3|0|30||0.9|0|30||0.9|0|30||0.9
9500000US4400360|Exeter-West Greenwich Regional School District, RI|4400360|2018-2022|101|1850|199|1780|220|96.2|4.5|65|83|3.5|4.6|0|23||2.5|4|3|0.2|0.5|0|23||2.5|35|52|1.9|2.9|0|23||2.5|30|59|1.6|3.2|0|23||2.5|0|23||2.5|0|23||2.5
9500000US4400390|Foster Elementary School District, RI|4400390|2018-2022|101|735|133|705|143|95.9|4.8|30|33|4.1|4.8|4|14|0.5|2.4|0|14||6.3|0|14||6.3|25|37|3.4|5.3|0|14||6.3|4|14|0.5|2.4|4|14|0.5|2.4|0|14||6.3|0|14||6.3
9600000US4400420|Foster-Glocester Regional School District, RI|4400420|2018-2022|101|2620|340|2590|341|98.9|1.3|30|33|1.1|1.3|4|14|0.2|0.7|0|23||1.8|0|23||1.8|25|37|1|1.4|0|23||1.8|4|14|0.2|0.7|4|14|0.2|0.7|0|23||1.8|0|23||1.8
9500000US4400450|Glocester Elementary School District, RI|4400450|2018-2022|101|1880|345|1880|345|100|2.5|0|23||2.5|0|23||2.5|0|23||2.5|0|23||2.5|0|23||2.5|0|23||2.5|0|23||2.5|0|23||2.5|0|23||2.5|0|23||2.5
9700000US4400540|Johnston School District, RI|4400540|2018-2022|101|4090|484|3185|427|77.9|6.1|905|281|22.1|6.1|165|176|4|4|615|235|15|5.8|50|61|1.2|1.5|120|112|2.9|2.7|0|27||1.2|25|41|0.6|1|25|41|0.6|1|145|164|3.5|3.8|90|159|2.2|3.7
9700000US4400570|Lincoln School District, RI|4400570|2018-2022|101|3745|489|3310|508|88.4|6.1|435|230|11.6|6.1|105|106|2.8|2.9|135|98|3.6|2.7|20|31|0.5|0.8|165|127|4.4|3.3|0|27||1.3|135|152|3.6|4.1|85|99|2.3|2.7|0|27||1.3|0|27||1.3
9700000US4400630|Middletown School District, RI|4400630|2018-2022|101|2290|276|2040|281|89.1|6.4|250|152|10.9|6.4|50|50|2.2|2.1|40|35|1.7|1.5|10|18|0.4|0.8|160|130|7|5.6|35|45|1.5|1.9|50|71|2.2|3|0|23||2.1|0|23||2.1|0|23||2.1
9700000US4400660|Narragansett School District, RI|4400660|2018-2022|101|1390|418|1315|415|94.6|5.2|75|70|5.4|5.2|0|23||3.4|10|17|0.7|1.3|0|23||3.4|65|70|4.7|5.2|0|23||3.4|0|23||3.4|0|23||3.4|0|23||3.4|0|23||3.4
9700000US4400720|Newport School District, RI|4400720|2018-2022|101|2735|374|2440|362|89.2|6|295|172|10.8|6|50|47|1.8|1.7|235|165|8.6|5.7|10|18|0.4|0.6|35|29|1.3|1.1|15|20|0.5|0.8|0|27||1.7|0|27||1.7|30|43|1.1|1.6|30|43|1.1|1.6
9700000US4400750|North Kingstown School District, RI|4400750|2018-2022|101|4095|382|3900|401|95.2|2.5|195|98|4.8|2.5|90|67|2.2|1.6|25|29|0.6|0.7|15|25|0.4|0.6|55|43|1.3|1.1|25|31|0.6|0.8|115|74|2.8|1.8|50|47|1.2|1.2|0|27||1.2|0|27||1.2
9700000US4400780|North Providence School District, RI|4400780|2018-2022|101|5255|526|4110|629|78.2|7.6|1145|387|21.8|7.6|395|215|7.5|4.3|510|227|9.7|4.3|185|129|3.5|2.5|195|123|3.7|2.4|0|30||0.9|195|156|3.7|3|125|142|2.4|2.7|245|185|4.7|3.6|85|121|1.6|2.3
9700000US4400810|North Smithfield School District, RI|4400810|2018-2022|101|1755|351|1720|348|98|2.2|35|38|2|2.2|25|34|1.4|2|0|23||2.7|0|23||2.7|15|16|0.9|0.9|4|7|0.2|0.4|20|33|1.1|2|20|33|1.1|2|0|23||2.7|0|23||2.7
9700000US4400840|Pawtucket School District, RI|4400840|2018-2022|101|12125|847|7220|778|59.5|5|4905|702|40.5|5|440|183|3.6|1.5|3010|591|24.8|4.5|160|75|1.3|0.6|1715|392|14.1|3.1|265|166|2.2|1.4|95|113|0.8|0.9|0|34||0.4|80|98|0.7|0.8|15|25|0.1|0.2
