GeoId|Geography|LEAID|Year|Iteration|CDP02_53est|CDP02_53moe|CDP02_54est|CDP02_54moe|CDP02_54pct|CDP02_54pctmoe|CDP02_55est|CDP02_55moe|CDP02_55pct|CDP02_55pctmoe|CDP02_56est|CDP02_56moe|CDP02_56pct|CDP02_56pctmoe|CDP02_57est|CDP02_57moe|CDP02_57pct|CDP02_57pctmoe|CDP02_58est|CDP02_58moe|CDP02_58pct|CDP02_58pctmoe|CDP02_59est|CDP02_59moe|CDP02_59pct|CDP02_59pctmoe|CDP02_60est|CDP02_60moe|CDP02_60pct|CDP02_60pctmoe|CDP02_61est|CDP02_61moe|CDP02_61pct|CDP02_61pctmoe|CDP02_62est|CDP02_62moe|CDP02_62pct|CDP02_62pctmoe|CDP02_63est|CDP02_63moe|CDP02_63pct|CDP02_63pctmoe|CDP02_64est|CDP02_64moe|CDP02_64pct|CDP02_64pctmoe
9700000US5000402|Addison Central Unified School District, VT|5000402|2018-2022|101|1640|179|1550|178|94.5|2.8|90|46|5.5|2.8|10|10|0.6|0.6|15|11|0.9|0.8|10|10|0.6|0.6|60|41|3.7|2.5|0|16||1.4|20|25|1.2|1.5|0|16||1.4|0|16||1.4|0|16||1.4
9700000US5000398|Addison Northwest Unified School District, VT|5000398|2018-2022|101|915|136|915|136|100|2.4|0|14||2.4|0|14||2.4|0|14||2.4|0|14||2.4|0|14||2.4|0|14||2.4|0|14||2.4|0|14||2.4|0|14||2.4|0|14||2.4
9700000US5001830|Arlington School District, VT|5001830|2018-2022|101|450|168|435|170|96.7|5.2|10|22|2.2|5.5|0|10||4.9|10|22|2.2|5.5|0|10||4.9|0|10||4.9|0|10||4.9|0|10||4.9|0|10||4.9|0|10||4.9|0|10||4.9
9700000US5000445|Barre Unified Union School District #97, VT|5000445|2018-2022|101|2470|262|2440|262|98.8|1.3|30|33|1.2|1.3|0|16||0.9|0|16||0.9|0|16||0.9|30|33|1.2|1.3|0|16||0.9|0|16||0.9|0|16||0.9|0|16||0.9|0|16||0.9
9700000US5000390|Barstow Unified School District, VT|5000390|2018-2022|101|350|92|340|93|97.1|3.1|10|13|2.9|3.1|0|10||6.2|0|10||6.2|0|10||6.2|4|6|1.1|1.7|0|10||6.2|4|11|1.1|3.7|0|10||6.2|0|10||6.2|0|10||6.2
9600000US5008246|Bellows Falls UHSD #27, VT|5008246|2018-2022|101|1300|215|1285|214|98.8|1.7|15|21|1.2|1.7|0|14||1.7|15|21|1.2|1.7|0|14||1.7|0|14||1.7|0|14||1.7|0|14||1.7|0|14||1.7|0|14||1.7|0|14||1.7
9700000US5008224|Blue Mountain USD #21, VT|5008224|2018-2022|101|410|88|385|87|93.9|3.6|25|15|6.1|3.6|0|10||5.3|4|7|1|1.6|0|10||5.3|4|6|1|1.7|0|10||5.3|15|19|3.7|4.5|0|10||5.3|0|10||5.3|0|10||5.3
9700000US5002820|Burlington School District, VT|5002820|2018-2022|101|3500|377|3010|397|86|6|490|215|14|6|255|157|7.3|4.5|45|49|1.3|1.4|0|21||0.6|155|114|4.4|3.1|55|73|1.6|2.1|25|25|0.7|0.7|15|19|0.4|0.5|265|162|7.6|4.7|185|139|5.3|4
9700000US5002850|Cabot School District, VT|5002850|2018-2022|101|375|164|375|163|100|5.8|4|5|1.1|1.5|0|10||5.8|0|10||5.8|0|10||5.8|4|5|1.1|1.5|0|10||5.8|0|10||5.8|0|10||5.8|0|10||5.8|0|10||5.8
9700000US5000412|Caledonia Cooperative Unified School District, VT|5000412|2018-2022|101|635|138|595|135|93.7|4|40|25|6.3|4|15|12|2.4|2.4|20|15|3.1|2.4|15|12|2.4|2.4|20|21|3.1|3.5|0|10||3.5|0|10||3.5|0|10||3.5|4|3|0.6|1.3|0|10||3.5
9500000US5002910|Cambridge School District, VT|5002910|2018-2022|101|730|160|705|175|96.6|6.4|25|42|3.4|6.4|0|10||3|0|10||3|0|10||3|0|10||3|0|10||3|0|10||3|0|10||3|25|42|3.4|6.4|0|10||3
9700000US5000435|Champlain Islands Unified Union School District #66, VT|5000435|2018-2022|101|635|109|610|108|96.1|3.6|25|22|3.9|3.6|0|10||3.5|10|15|1.6|2.5|0|10||3.5|10|12|1.6|2.2|0|10||3.5|0|10||3.5|0|10||3.5|0|10||3.5|0|10||3.5
9700000US5000396|Champlain Valley Unified School District, VT|5000396|2018-2022|101|4650|339|4410|340|94.8|3.2|240|152|5.2|3.2|45|62|1|1.3|50|42|1.1|0.9|0|18||0.5|140|147|3|3.1|0|18||0.5|45|62|1|1.3|45|62|1|1.3|0|18||0.5|0|18||0.5
9700000US5003240|Colchester School District, VT|5003240|2018-2022|101|2460|390|2350|382|95.5|4.5|105|111|4.3|4.5|10|14|0.4|0.6|0|16||0.9|0|16||0.9|105|111|4.3|4.5|10|14|0.4|0.6|0|16||0.9|0|16||0.9|0|16||0.9|0|16||0.9
9700000US5003450|Danville School District, VT|5003450|2018-2022|101|350|122|345|121|98.6|2.1|4|7|1.1|2.1|0|10||6.2|0|10||6.2|0|10||6.2|4|7|1.1|2.1|0|10||6.2|0|10||6.2|0|10||6.2|0|10||6.2|0|10||6.2
9500000US5003480|Derby School District, VT|5003480|2018-2022|101|590|124|555|131|94.1|6.6|35|37|5.9|6.6|0|10||3.7|0|10||3.7|0|10||3.7|35|37|5.9|6.6|0|10||3.7|0|10||3.7|0|10||3.7|0|10||3.7|0|10||3.7
9700000US5000444|Enosburgh-Richford Unified Union School District #88, VT|5000444|2018-2022|101|945|179|945|179|100|2.3|0|14||2.3|0|14||2.3|0|14||2.3|0|14||2.3|0|14||2.3|0|14||2.3|0|14||2.3|0|14||2.3|0|14||2.3|0|14||2.3
9700000US5000395|Essex-Westford Educational Community Unified School District, VT|5000395|2018-2022|101|4030|419|3570|432|88.6|5|460|203|11.4|5|30|37|0.7|0.9|95|87|2.4|2.2|20|33|0.5|0.8|320|175|7.9|4.3|10|18|0.2|0.5|15|20|0.4|0.5|0|18||0.6|35|54|0.9|1.3|0|18||0.6
9700000US5000429|First Branch Unified School District, VT|5000429|2018-2022|101|550|150|535|151|97.3|4.3|15|22|2.7|4.3|4|5|0.7|1.3|4|10|0.7|1.3|4|5|0.7|1.3|15|21|2.7|3.9|0|10||4|0|10||4|0|10||4|0|10||4|0|10||4
9700000US5004140|Georgia School District, VT|5004140|2018-2022|101|1265|210|1210|179|95.7|5.3|60|71|4.7|5.3|0|10||1.8|0|10||1.8|0|10||1.8|50|70|4|5.2|0|10||1.8|4|16|0.3|1.4|0|10||1.8|0|10||1.8|0|10||1.8
9700000US5000414|Granville Hancock Unified School District, VT|5000414|2018-2022|101|130|48|125|49|96.2|5.3|4|5|3.1|3.8|0|10||15.8|0|10||15.8|0|10||15.8|4|5|3.1|3.8|0|10||15.8|0|10||15.8|0|10||15.8|0|10||15.8|0|10||15.8
9700000US5000427|Green Mountain Unified School District, VT|5000427|2018-2022|101|770|161|740|162|96.1|4.8|30|37|3.9|4.8|0|14||2.9|25|35|3.2|4.6|0|14||2.9|4|7|0.5|0.9|0|14||2.9|0|14||2.9|0|14||2.9|0|14||2.9|0|14||2.9
9700000US5004590|Hartford School District, VT|5004590|2018-2022|101|1505|248|1460|252|97|2.2|45|32|3|2.2|0|16||1.5|30|29|2|2.1|0|16||1.5|0|16||1.5|0|16||1.5|0|16||1.5|0|16||1.5|15|21|1|1.4|0|16||1.5
9700000US5000403|Harwood Unified School District, VT|5000403|2018-2022|101|1625|209|1570|204|96.6|2.8|55|47|3.4|2.8|15|19|0.9|1.1|4|10|0.2|0.7|0|16||1.4|25|28|1.5|1.7|10|14|0.6|0.8|25|38|1.5|2.3|4|12|0.2|0.9|0|16||1.4|0|16||1.4
9600000US5008243|Hazen UHSD #26, VT|5008243|2018-2022|101|550|156|545|156|99.1|1.5|4|8|0.7|1.7|0|10||4|0|10||4|0|10||4|0|10||4|0|10||4|4|8|0.7|1.7|0|10||4|0|10||4|0|10||4
9700000US5000421|Kingdom East Unified Union School District, VT|5000421|2018-2022|101|1725|206|1670|193|96.8|3|55|54|3.2|3|4|7|0.2|0.7|35|50|2|2.8|4|5|0.2|0.3|4|7|0.2|0.5|4|5|0.2|0.3|15|14|0.9|0.8|0|16||1.3|0|16||1.3|0|16||1.3
9600000US5005050|Lake Region UHSD #24, VT|5005050|2018-2022|101|1370|186|1330|171|97.1|2.9|40|40|2.9|2.9|0|14||1.6|0|14||1.6|0|14||1.6|35|40|2.6|2.8|0|14||1.6|0|14||1.6|0|14||1.6|4|8|0.3|0.5|0|14||1.6
9500000US5000436|Lake Region Union Elementary Middle School District, VT|5000436|2018-2022|101|1370|186|1330|171|97.1|2.9|40|40|2.9|2.9|0|14||1.6|0|14||1.6|0|14||1.6|35|40|2.6|2.8|0|14||1.6|0|14||1.6|0|14||1.6|4|8|0.3|0.5|0|14||1.6
9500000US5000401|Lamoille North Modified USD #058A, VT|5000401|2018-2022|101|1350|199|1290|192|95.6|4.3|60|58|4.4|4.3|0|14||1.7|4|9|0.3|0.7|0|14||1.7|50|57|3.7|4.1|0|14||1.7|0|14||1.7|0|14||1.7|0|14||1.7|0|14||1.7
9600000US5000397|Lamoille North Modified USD #058B, VT|5000397|2018-2022|101|2080|244|1995|260|95.9|3.5|85|71|4.1|3.5|0|16||1.1|4|9|0.2|0.5|0|16||1.1|50|57|2.4|2.7|0|16||1.1|0|16||1.1|0|16||1.1|25|42|1.2|2.1|0|16||1.1
9700000US5000448|Lamoille South Unified Union School District #90, VT|5000448|2018-2022|101|1895|273|1870|274|98.7|1.5|25|28|1.3|1.5|0|16||1.2|15|16|0.8|0.9|0|16||1.2|10|14|0.5|0.8|0|16||1.2|0|16||1.2|0|16||1.2|0|16||1.2|0|16||1.2
9700000US5000422|Ludlow Mt. Holly Unified Union School District, VT|5000422|2018-2022|101|525|202|525|202|100|4.2|0|10||4.2|0|10||4.2|0|10||4.2|0|10||4.2|0|10||4.2|0|10||4.2|0|10||4.2|0|10||4.2|0|10||4.2|0|10||4.2
9700000US5000399|Maple Run Unified School District, VT|5000399|2018-2022|101|2120|278|2090|278|98.6|1.6|30|34|1.4|1.6|0|16||1.1|25|34|1.2|1.6|0|16||1.1|4|6|0.2|0.3|0|16||1.1|0|16||1.1|0|16||1.1|0|16||1.1|0|16||1.1
9700000US5000419|Mettawee School District, VT|5000419|2018-2022|101|315|120|275|97|87.3|10.3|40|40|12.7|10.3|15|27|4.8|7.6|35|32|11.1|8.8|15|27|4.8|7.6|10|13|3.2|4.3|0|10||6.9|0|10||6.9|0|10||6.9|0|10||6.9|0|10||6.9
9700000US5000393|Mill River Unified School District, VT|5000393|2018-2022|101|1080|195|1075|195|99.5|0.7|4|5|0.4|0.5|0|14||2.1|4|5|0.4|0.5|0|14||2.1|0|14||2.1|0|14||2.1|0|14||2.1|0|14||2.1|0|14||2.1|0|14||2.1
9700000US5005610|Milton Incorporated School District, VT|5005610|2018-2022|101|1625|275|1625|275|100|1.4|0|16||1.4|0|16||1.4|0|16||1.4|0|16||1.4|0|16||1.4|0|16||1.4|0|16||1.4|0|16||1.4|0|16||1.4|0|16||1.4
9700000US5000433|Missisquoi Valley School District #89, VT|5000433|2018-2022|101|1800|280|1800|280|100|1.2|0|16||1.2|0|16||1.2|0|16||1.2|0|16||1.2|0|16||1.2|0|16||1.2|0|16||1.2|0|16||1.2|0|16||1.2|0|16||1.2
9700000US5000410|Montpelier Roxbury Unified Union School District, VT|5000410|2018-2022|101|1465|236|1415|233|96.6|2.5|50|36|3.4|2.5|0|14||1.5|10|14|0.7|0.9|0|14||1.5|30|31|2|2.2|0|14||1.5|4|9|0.3|1|0|14||1.5|0|14||1.5|0|14||1.5
9600000US5099003|Mount Anthony UHSD #14 (6-12), VT|5099003|2018-2022|101|2220|296|2195|298|98.9|1.5|30|33|1.4|1.5|25|32|1.1|1.5|0|16||1|0|16||1|30|33|1.4|1.5|25|32|1.1|1.5|0|16||1|0|16||1|0|16||1|0|16||1
9600000US5005810|Mount Anthony UHSD #14, VT|5005810|2018-2022|101|1420|225|1420|225|100|1.6|0|14||1.6|0|14||1.6|0|14||1.6|0|14||1.6|0|14||1.6|0|14||1.6|0|14||1.6|0|14||1.6|0|14||1.6|0|14||1.6
9700000US5000442|Mount Ascutney School District #86, VT|5000442|2018-2022|101|665|172|655|171|98.5|3.3|15|20|2.3|3.2|15|20|2.3|3.2|15|20|2.3|3.2|15|20|2.3|3.2|0|10||3.3|0|10||3.3|0|10||3.3|0|10||3.3|0|10||3.3|0|10||3.3
9700000US5000443|Mount Mansfield Unified Union School District #401, VT|5000443|2018-2022|101|2525|362|2500|360|99|0.7|25|19|1|0.7|4|10|0.2|0.5|10|12|0.4|0.5|4|10|0.2|0.5|10|14|0.4|0.7|0|16||0.9|0|16||0.9|0|16||0.9|0|16||0.9|0|16||0.9
9700000US5000425|Mt. Abraham Unified School District, VT|5000425|2018-2022|101|1585|198|1565|201|98.7|1.3|20|20|1.3|1.3|0|16||1.4|10|12|0.6|0.8|0|16||1.4|10|13|0.6|0.8|0|16||1.4|4|4|0.3|0.3|0|16||1.4|0|16||1.4|0|16||1.4
9500000US5006060|North Bennington Incorporated School District, VT|5006060|2018-2022|101|255|124|255|124|100|8.4|0|10||8.4|0|10||8.4|0|10||8.4|0|10||8.4|0|10||8.4|0|10||8.4|0|10||8.4|0|10||8.4|0|10||8.4|0|10||8.4
9600000US5099004|North Country Junior/Senior UHSD #22 (7-12), VT|5099004|2018-2022|101|1550|181|1500|185|96.8|2.7|55|40|3.5|2.7|10|11|0.6|0.7|10|11|0.6|0.8|0|16||1.4|45|39|2.9|2.6|10|11|0.6|0.7|0|16||1.4|0|16||1.4|0|16||1.4|0|16||1.4
9600000US5009600|North Country Senior UHSD #22, VT|5009600|2018-2022|101|875|155|845|147|96.6|4|30|35|3.4|4|0|14||2.5|0|14||2.5|0|14||2.5|30|35|3.4|4|0|14||2.5|0|14||2.5|0|14||2.5|0|14||2.5|0|14||2.5
9700000US5000415|Northeast Kingdom Choice School District, VT|5000415|2018-2022|101|330|71|325|71|98.5|2.3|4|5|1.2|1.6|4|5|1.2|1.6|4|5|1.2|1.6|4|5|1.2|1.6|0|10||6.6|0|10||6.6|0|10||6.6|0|10||6.6|0|10||6.6|0|10||6.6
9700000US5000441|Northern Mountain Valley Unified Union School District #85, VT|5000441|2018-2022|101|1155|172|1125|175|97.4|2.2|30|24|2.6|2.2|4|8|0.3|0.8|15|21|1.3|1.8|4|8|0.3|0.8|4|10|0.3|1.2|0|14||1.9|4|8|0.3|1|0|14||1.9|0|14||1.9|0|14||1.9
9700000US5006180|Norwich School District, VT|5006180|2018-2022|101|665|121|630|131|94.7|6.3|35|41|5.3|6.3|0|10||3.3|0|10||3.3|0|10||3.3|35|41|5.3|6.3|0|10||3.3|0|10||3.3|0|10||3.3|0|10||3.3|0|10||3.3
9700000US5000400|Orange Southwest Unified School District, VT|5000400|2018-2022|101|930|149|905|146|97.3|3|25|28|2.7|3|15|27|1.6|3|15|27|1.6|3|15|27|1.6|3|10|9|1.1|1|0|14||2.4|0|14||2.4|0|14||2.4|0|14||2.4|0|14||2.4
9500000US5000438|Orleans Southwest Union Elementary School District #94, VT|5000438|2018-2022|101|580|157|570|156|98.3|2|10|9|1.7|2|0|10||3.8|4|4|0.7|1.1|0|10||3.8|0|10||3.8|0|10||3.8|4|8|0.7|1.6|0|10||3.8|0|10||3.8|0|10||3.8
9700000US5000392|Otter Valley Unified Union School District #53, VT|5000392|2018-2022|101|1525|219|1515|221|99.3|0.6|10|8|0.7|0.6|4|3|0.3|0.6|0|14||1.5|0|14||1.5|4|3|0.3|0.3|4|3|0.3|0.6|10|8|0.7|0.7|0|14||1.5|0|14||1.5|0|14||1.5
9700000US5000437|Oxbow Unified Union School District #91, VT|5000437|2018-2022|101|620|94|620|94|100|3.6|0|10||3.6|0|10||3.6|0|10||3.6|0|10||3.6|0|10||3.6|0|10||3.6|0|10||3.6|0|10||3.6|0|10||3.6|0|10||3.6
9700000US5000408|Paine Mountain School District, VT|5000408|2018-2022|101|1065|263|1040|259|97.7|2.7|25|27|2.3|2.7|0|14||2.1|0|14||2.1|0|14||2.1|10|19|0.9|1.8|0|14||2.1|15|19|1.4|1.9|0|14||2.1|0|14||2.1|0|14||2.1
9700000US5000411|Quarry Valley Unified Union School District #70, VT|5000411|2018-2022|101|1060|196|1035|197|97.6|2.6|25|27|2.4|2.6|0|14||2.1|20|27|1.9|2.7|0|14||2.1|4|4|0.4|0.7|0|14||2.1|0|14||2.1|0|14||2.1|0|14||2.1|0|14||2.1
9700000US5000024|Rivendell Interstate School District, VT|5000024|2018-2022|101|360|86|320|79|88.9|11.6|40|45|11.1|11.6|0|10||6.1|40|45|11.1|11.6|0|10||6.1|0|10||6.1|0|10||6.1|0|10||6.1|0|10||6.1|0|10||6.1|0|10||6.1
9500000US5006930|Rockingham School District, VT|5006930|2018-2022|101|645|173|635|172|98.4|3.3|10|20|1.6|3.3|0|10||3.4|10|20|1.6|3.3|0|10||3.4|0|10||3.4|0|10||3.4|0|10||3.4|0|10||3.4|0|10||3.4|0|10||3.4
9700000US5007050|Rutland City School District, VT|5007050|2018-2022|101|1775|359|1680|322|94.6|5.1|100|98|5.6|5.2|0|16||1.3|0|16||1.3|0|16||1.3|100|98|5.6|5.2|0|16||1.3|0|16||1.3|0|16||1.3|0|16||1.3|0|16||1.3
9700000US5007080|Rutland Town School District, VT|5007080|2018-2022|101|480|113|480|113|100|4.6|0|10||4.6|0|10||4.6|0|10||4.6|0|10||4.6|0|10||4.6|0|10||4.6|0|10||4.6|0|10||4.6|0|10||4.6|0|10||4.6
9700000US5007260|Sharon School District, VT|5007260|2018-2022|101|270|120|270|120|100|8|4|6|1.5|2.2|0|10||8|0|10||8|0|10||8|4|6|1.5|2.2|0|10||8|0|10||8|0|10||8|0|10||8|0|10||8
9700000US5000440|Slate Valley Unified Union School District #62, VT|5000440|2018-2022|101|1570|222|1560|223|99.4|0.6|10|8|0.6|0.6|0|16||1.4|0|16||1.4|0|16||1.4|10|8|0.6|0.6|0|16||1.4|0|16||1.4|0|16||1.4|0|16||1.4|0|16||1.4
9700000US5007470|South Burlington School District, VT|5007470|2018-2022|101|2950|325|2355|354|79.8|6.3|595|184|20.2|6.3|130|94|4.4|3.1|90|53|3.1|1.9|0|18||0.8|170|133|5.8|4.5|0|18||0.8|260|123|8.8|4.1|130|94|4.4|3.1|70|82|2.4|2.8|0|18||0.8
9700000US5007500|South Hero School District, VT|5007500|2018-2022|101|210|81|210|81|100|10.2|0|10||10.2|0|10||10.2|0|10||10.2|0|10||10.2|0|10||10.2|0|10||10.2|0|10||10.2|0|10||10.2|0|10||10.2|0|10||10.2
9500000US5099002|Southwest Vermont Union Elementary School District #87 (PK-5), VT|5099002|2018-2022|101|2220|296|2195|298|98.9|1.5|30|33|1.4|1.5|25|32|1.1|1.5|0|16||1|0|16||1|30|33|1.4|1.5|25|32|1.1|1.5|0|16||1|0|16||1|0|16||1|0|16||1
9500000US5000434|Southwest Vermont Union Elementary School District #87, VT|5000434|2018-2022|101|1165|236|1165|236|100|1.9|0|14||1.9|0|14||1.9|0|14||1.9|0|14||1.9|0|14||1.9|0|14||1.9|0|14||1.9|0|14||1.9|0|14||1.9|0|14||1.9
9700000US5007530|Springfield School District, VT|5007530|2018-2022|101|1135|288|1135|288|100|2|0|14||2|0|14||2|0|14||2|0|14||2|0|14||2|0|14||2|0|14||2|0|14||2|0|14||2|0|14||2
9700000US5007650|St. Johnsbury School District, VT|5007650|2018-2022|101|1330|166|1260|166|94.7|4.5|70|61|5.3|4.5|25|37|1.9|2.8|25|26|1.9|2|0|14||1.7|0|14||1.7|0|14||1.7|25|37|1.9|2.8|25|37|1.9|2.8|25|37|1.9|2.8|0|14||1.7
9700000US5007680|Stamford School District, VT|5007680|2018-2022|101|145|51|145|51|100|14.3|0|10||14.3|0|10||14.3|0|10||14.3|0|10||14.3|0|10||14.3|0|10||14.3|0|10||14.3|0|10||14.3|0|10||14.3|0|10||14.3
9700000US5000417|Taconic and Green Regional School District, VT|5000417|2018-2022|101|1700|258|1600|258|94.1|3.3|95|54|5.6|3.2|4|8|0.2|0.4|30|24|1.8|1.4|0|16||1.3|10|10|0.6|0.6|0|16||1.3|55|51|3.2|2.9|4|8|0.2|0.4|0|16||1.3|0|16||1.3
9700000US5008010|Thetford School District, VT|5008010|2018-2022|101|460|93|450|91|97.8|3.2|10|15|2.2|3.2|0|10||4.8|0|10||4.8|0|10||4.8|10|15|2.2|3.2|0|10||4.8|0|10||4.8|0|10||4.8|0|10||4.8|0|10||4.8
9500000US5008130|Troy School District, VT|5008130|2018-2022|101|255|84|235|76|92.2|12.8|25|34|9.8|13.2|0|10||8.4|0|10||8.4|0|10||8.4|25|34|9.8|13.2|0|10||8.4|0|10||8.4|0|10||8.4|0|10||8.4|0|10||8.4
9700000US5000418|Twin Valley Unified School District, VT|5000418|2018-2022|101|490|115|470|120|95.9|5.1|20|23|4.1|5.1|0|10||4.5|20|22|4.1|4.9|0|10||4.5|0|10||4.5|0|10||4.5|4|5|0.8|1.4|0|10||4.5|0|10||4.5|0|10||4.5
9700000US5008225|Twinfield USD #33, VT|5008225|2018-2022|101|510|184|505|184|99|1.3|4|7|0.8|1.3|0|10||4.3|0|10||4.3|0|10||4.3|0|10||4.3|0|10||4.3|0|10||4.3|0|10||4.3|4|7|0.8|1.3|0|10||4.3
9700000US5008242|Waits River Valley USD #36, VT|5008242|2018-2022|101|275|53|275|53|100|7.9|0|10||7.9|0|10||7.9|0|10||7.9|0|10||7.9|0|10||7.9|0|10||7.9|0|10||7.9|0|10||7.9|0|10||7.9|0|10||7.9
9700000US5000439|Washington Central Unified Union School District #92, VT|5000439|2018-2022|101|1650|217|1645|217|99.7|0.7|4|4|0.2|0.5|4|4|0.2|0.5|0|16||1.4|0|16||1.4|0|16||1.4|0|16||1.4|4|4|0.2|0.5|4|4|0.2|0.5|0|16||1.4|0|16||1.4
9700000US5000409|Wells Spring Unified Union School District, VT|5000409|2018-2022|101|135|44|115|42|85.2|14.5|15|16|11.1|12.5|0|10||15.3|0|10||15.3|0|10||15.3|15|16|11.1|11.6|0|10||15.3|4|3|3|4.7|0|10||15.3|0|10||15.3|0|10||15.3
9500000US5000449|West River Valley Modified Union Education District #72A, VT|5000449|2018-2022|101|490|111|490|111|100|4.5|0|10||4.5|0|10||4.5|0|10||4.5|0|10||4.5|0|10||4.5|0|10||4.5|0|10||4.5|0|10||4.5|0|10||4.5|0|10||4.5
9600000US5000432|West River Valley Modified Union Education District #72B, VT|5000432|2018-2022|101|490|111|490|111|100|4.5|0|10||4.5|0|10||4.5|0|10||4.5|0|10||4.5|0|10||4.5|0|10||4.5|0|10||4.5|0|10||4.5|0|10||4.5|0|10||4.5
9700000US5000426|White River Unified School District, VT|5000426|2018-2022|101|510|154|510|154|100|4.3|0|10||4.3|0|10||4.3|0|10||4.3|0|10||4.3|0|10||4.3|0|10||4.3|0|10||4.3|0|10||4.3|0|10||4.3|0|10||4.3
9500000US5000446|Windham Northeast Union Elementary School District #95, VT|5000446|2018-2022|101|655|136|650|136|99.2|0.9|4|6|0.6|1.1|0|10||3.4|4|6|0.6|1.1|0|10||3.4|0|10||3.4|0|10||3.4|0|10||3.4|0|10||3.4|0|10||3.4|0|10||3.4
9700000US5000431|Windham Southeast Unified Union School District #96, VT|5000431|2018-2022|101|2715|313|2625|295|96.7|3.7|90|104|3.3|3.7|15|24|0.6|0.9|4|9|0.1|0.6|0|16||0.8|60|102|2.2|3.7|0|16||0.8|20|25|0.7|1|15|24|0.6|0.9|0|16||0.8|0|16||0.8
9700000US5000450|Windsor Central Unified Union School District, VT|5000450|2018-2022|101|1110|193|1070|185|96.4|2.7|40|31|3.6|2.7|20|26|1.8|2.2|20|26|1.8|2.2|20|26|1.8|2.2|4|8|0.4|0.8|0|14||2|0|14||2|0|14||2|10|17|0.9|1.7|0|14||2
9700000US5009360|Winooski School District, VT|5009360|2018-2022|101|940|237|585|172|62.2|13.8|355|171|37.8|13.8|255|160|27.1|13.5|0|14||2.4|0|14||2.4|95|66|10.1|7.7|30|26|3.2|3.1|155|188|16.5|18.3|155|188|16.5|18.3|105|135|11.2|14.4|65|89|6.9|9.5
9700000US5009390|Wolcott School District, VT|5009390|2018-2022|101|235|68|225|67|95.7|5.7|10|9|4.3|5.7|0|10||9.1|0|10||9.1|0|10||9.1|10|9|4.3|5.7|0|10||9.1|0|10||9.1|0|10||9.1|0|10||9.1|0|10||9.1
