"row_label","How teachers teach (N = 6)","How the adults in your district treat students (N = 79)","How your district addresses students' non-academic needs (N = 38)","How your district aligns its budget to strategic goals (N = 79)","How your district assesses student learning (N = 30)","How your district engages families (N = 27)","How your district organizes staffing to support student learning (N = 40)","How your district places students in courses (N = 89)","How your district supports principals to improve their practice (N = 30)","How your district supports teachers to improve their practice (N = 12)","How your district uses AI (N = 18)","How your district uses data for continuous improvement (N = 23)","What decisions students can make about their learning (N = 19)","What teachers teach (N = 24)","What the adults in your district think students are capable of (N = 39)"
"Create safe, welcoming school community: Did not select",0.456416681582245,-0.919590643274856,-0.885484774892584,-0.494720965309201,0.67094621550067,-0.32234432234432,0.371896024069937,-2.65988869197525,-0.103194042098195,0.588488923589667,-0.322546090765183,0.799037304452468,0.120515760653359,-1.26494830625566,-1.18136813681368
"Create safe, welcoming school community: Selected",-0.456416681582239,0.919590643274859,0.885484774892586,0.494720965309203,-0.670946215500678,0.322344322344326,-0.37189602406994,2.65988869197524,0.103194042098187,-0.58848892358967,0.322546090765174,-0.799037304452466,-0.120515760653361,1.26494830625565,1.18136813681368
"Develop students' durable skills: Did not select",0.0962054770001775,1.0687134502924,-0.878012329534839,-3.37254901960784,-0.921191020200923,0.527472527472528,-3.71250371250371,-0.520784752666109,-0.543322848155564,-0.482444384883413,-0.73911853271284,0.683513838748495,-0.248051856878762,0.438324836819287,1.11011101110111
"Develop students' durable skills: Selected",-0.0962054770001886,-1.0687134502924,0.878012329534839,3.37254901960785,0.921191020200918,-0.527472527472528,3.71250371250371,0.520784752666104,0.543322848155559,0.482444384883407,0.739118532712835,-0.683513838748495,0.24805185687875,-0.438324836819293,-1.11011101110111
"Eliminate disparities in outcomes: Did not select",-0.519062108466078,-2.33625730994152,-2.71623388753969,-1.72850678733031,-0.96108511950096,-0.608058608058609,-2.42378068465025,-3.36255946273669,-0.170332334547624,-0.342605432743293,-2.28281698187315,0.599277978339352,-1.81475674537243,1.05531468864644,-1.1026102610261
"Eliminate disparities in outcomes: Selected",0.519062108466084,2.33625730994153,2.7162338875397,1.72850678733032,0.96108511950096,0.608058608058615,2.42378068465026,3.36255946273668,0.170332334547629,0.342605432743293,2.28281698187315,-0.599277978339341,1.81475674537243,-1.05531468864644,1.1026102610261
"Expand access to postsecondary education: Did not select",0.416144621442627,-0.945906432748533,-1.52313344542002,-2.00754147812972,-0.297392376600292,0.362637362637364,-1.50824498650586,-4.80210179398688,-0.717385087839262,0.846025660447725,-1.19496780490127,0.785800240673884,-0.542905950904449,0.362094430415938,-1.68766876687668
"Expand access to postsecondary education: Selected",-0.416144621442638,0.945906432748539,1.52313344542001,2.00754147812971,0.297392376600297,-0.362637362637364,1.50824498650585,4.80210179398688,0.717385087839262,-0.846025660447719,1.19496780490127,-0.78580024067389,0.542905950904454,-0.362094430415932,1.68766876687669
"External partnerships: Definitely helps",-0.740792313583516,-0.568397120121261,-0.352455031599419,-2.91385672477414,-0.762304921968787,-1.15481721618836,-0.0404606286959208,-1.97311817677762,-1.42944597490052,-0.869440869440868,-0.239136774569843,-0.213399724358693,-0.766835793357934,-0.779335793357933,-1.47058823529412
"External partnerships: Definitely hinders",0.0167096010582748,NA,-0.322070977151191,-0.245396542635377,-0.327130852340936,0.0717092191164827,-0.32057267351385,-0.219872665047894,-0.327517600244873,0.0314600314600314,0.0466608340624088,-0.336400954370989,0.0432426199261993,0.0619926199261993,-0.315126050420168
