"row_label","How the adults in your district treat students (N = 79)","How your district addresses students' non-academic needs (N = 38)","How your district aligns its budget to strategic goals (N = 79)","How your district organizes staffing to support student learning (N = 40)","How your district places students in courses (N = 89)","What teachers teach (N = 24)"
"Develop students' durable skills: Selected",-1.0687134502924,0.878012329534839,3.37254901960785,3.71250371250371,0.520784752666104,-0.438324836819293
"Expand access to postsecondary education: Selected",0.945906432748539,1.52313344542001,2.00754147812971,1.50824498650585,4.80210179398688,-0.362094430415932
"External partnerships: Helps more than hinders",0.517872931666041,1.27613028682547,3.39919655354189,0.0840336134453779,1.14142592203124,0.283394833948336
"Family expectations: Helps more than hinders",2.5382966902135,0.405586892291154,1.36654141375213,0.92595136694601,4.72003234283405,0.447504744319638
"How your district addresses students' non-academic needs: Did not select",2.5,0,2.5,0.235849056603776,4.37137330754352,6.44122383252818
"How your district aligns its budget to strategic goals: Selected",1.27118644067796,4.36507936507936,0,0,1.78571428571429,-1.5625
"How your district assesses student learning: Did not select",-4.83918999404407,-1.19172341540073,3.53604843148047,1.11379495437466,0.434782608695655,-1.23472033584393
"How your district assesses student learning: Selected",4.83918999404407,1.19172341540074,-3.53604843148047,-1.11379495437467,-0.43478260869565,1.23472033584393
"How your district supports teachers to improve their practice: Did not select",3.77574370709382,2.06521739130435,0.815217391304346,1.38339920948616,3.8117927337701,1.38339920948616
"How your district uses AI: Did not select",5.43257564502551,0.314465408805031,2.73382024751471,0.999396915654349,0.314465408805031,-0.0256706456167377
"Increase student engagement: Selected",5.4093567251462,2.81711189986924,3.1131221719457,1.11827068348808,4.34039113266798,0.476440040020965
"Peer learning through participation in networks or consortia: Helps more than hinders",-0.635449667625032,0.538624867295323,3.74531835205992,1.37201979307243,-0.128745318352064,0.297199351013666
"Philanthropic funding: Helps more than hinders",-0.306795520785397,0.969970768004252,-0.055518543193428,1.75832062438324,4.15520088057237,0.659529294845734
"School board involvement: Helps more than hinders",2.73606187560426,1.20146097654748,1.70676838810641,0.432730133752945,4.30964052287581,0.959119496855348
"State funding formulas: Definitely hinders",0.70221637041914,0.345280939164161,4.70614021354542,1.92866224988288,0.434668071654376,0.115852726994958
"State professional associations: Helps more than hinders",2.39898989898989,0.724400157335781,2.54708657792782,-0.170363332568879,4.06853987331492,-1.184962790252
"Strengthen career preparation: Selected",-0.309941520467838,2.04869543558129,3.8446455505279,2.519337301946,6.52613251251438,1.58654533326981
"What the adults in your district think students are capable of: Did not select",-0.0595238095238093,1.93515704154002,6.33102852203976,1.22377622377622,0.276497695852534,0.308123249299719
