"Q","Factor","Mean score"
8,"State testing requirements",2.19
8,"State accountability system",2.06
8,"Policies that determine how students earn academic credit",1.91
8,"State graduation requirements",1.89
8,"State funding formulas",1.53
8,"State academic standards",2.59
8,"State postsecondary pathway programs",2.41
8,"School choice policies",1.7
8,"State regulatory compliance requirements",1.81
9,"Teacher union relationship",2.38
9,"Family expectations",2.77
9,"Local political climate",1.98
9,"School board involvement",2.92
9,"External partnerships",2.91
9,"The amount of local public funding your district receives",2.22
10,"Guidance from the state Department of Education",2.31
10,"Guidance from the federal Department of Education",1.41
10,"Philanthropic funding",1.75
10,"State funding to participate in new initiatives",2.27
10,"State professional associations",2.79
10,"Technical assistance providers",2.35
10,"Peer learning through participation in networks or consortia",2.9
10,"State political climate",1.86
