"Factor","Mean score","Ranking"
"State funding formulas",3.26,1
"Guidance from the federal Department of Education",2.81,2
"State regulatory compliance requirements",2.8,3
"State political climate",2.74,4
"Local political climate",2.71,5
"State accountability system",2.66,6
"State testing requirements",2.59,7
"The amount of local public funding your district receives",2.42,8
"Guidance from the state Department of Education",2.35,9
"School choice policies",2.15,10
"Teacher union relationship",2.05,11
"Family expectations",2,12
"State academic standards",1.86,13
"State funding to participate in new initiatives",1.82,14
"School board involvement",1.8,15
"Policies that determine how students earn academic credit",1.76,16
"State graduation requirements",1.68,17
"Technical assistance providers",1.63,18
"External partnerships",1.53,19
"State professional associations",1.51,20
"Peer learning through participation in networks or consortia",1.48,21
"State postsecondary pathway programs",1.4,22
"Philanthropic funding",0.84,23
