"label","helps","hinders"
"Selected 0 factor(s)",2,5
"Selected 1 factor(s)",1,2
"Selected 2 factor(s)",2,7
"Selected 3 factor(s)",4,9
"Selected 4 factor(s)",7,16
"Selected 5 factor(s)",7,35
"Selected 6 factor(s)",11,24
"Selected 7 factor(s)",12,28
"Selected 8 factor(s)",14,34
"Selected 9 factor(s)",21,33
"Selected 10 factor(s)",25,31
"Selected 11 factor(s)",29,23
"Selected 12 factor(s)",24,20
"Selected 13 factor(s)",36,9
"Selected 14 factor(s)",28,8
"Selected 15 factor(s)",20,7
"Selected 16 factor(s)",19,3
"Selected 17 factor(s)",17,2
"Selected 18 factor(s)",14,3
"Selected 19 factor(s)",2,1
"Selected 20 factor(s)",3,0
"Selected 22 factor(s)",3,1
