"id","total_selected","helps","hinders"
30680,0,0,0
30235,4,4,0
30569,8,4,4
30764,8,0,8
30624,10,2,8
30905,11,5,6
30605,12,7,5
30079,13,9,4
30169,13,7,6
30208,13,12,1
30338,13,10,3
30376,14,10,4
30679,14,2,12
30760,14,5,9
30176,15,3,12
30315,15,8,7
30367,15,4,11
30380,15,6,9
30786,15,15,0
30814,15,10,5
30873,15,9,6
30880,15,6,9
30893,15,6,9
30016,16,13,3
30080,16,9,7
30101,16,4,12
30353,16,3,13
30396,16,13,3
30414,16,6,10
30550,16,5,11
30566,16,13,3
30719,16,10,6
30748,16,9,7
30757,16,6,10
30844,16,6,10
30022,17,7,10
30130,17,11,6
30178,17,9,8
30253,17,12,5
30481,17,14,3
30612,17,10,7
30631,17,12,5
30635,17,5,12
30703,17,9,8
30745,17,9,8
30793,17,10,7
30809,17,13,4
30858,17,15,2
30017,18,13,5
30075,18,6,12
30187,18,9,9
30190,18,12,6
30270,18,9,9
30377,18,13,5
30402,18,8,10
30466,18,11,7
30555,18,16,2
30666,18,12,6
30686,18,13,5
30692,18,7,11
30766,18,7,11
30818,18,10,8
30859,18,10,8
30889,18,10,8
30915,18,8,10
30007,19,11,8
30030,19,7,12
30048,19,13,6
30089,19,9,10
30136,19,13,6
30144,19,16,3
30151,19,4,15
30158,19,14,5
30276,19,12,7
30292,19,14,5
30302,19,5,14
30413,19,8,11
30427,19,17,2
30448,19,17,2
30460,19,14,5
30468,19,14,5
30475,19,9,10
30485,19,15,4
30543,19,7,12
30595,19,12,7
30640,19,14,5
30669,19,13,6
30750,19,11,8
30782,19,12,7
30836,19,15,4
30877,19,6,13
30888,19,8,11
30930,19,13,6
30014,20,12,8
30052,20,13,7
30057,20,11,9
30069,20,15,5
30098,20,3,17
30153,20,13,7
30161,20,14,6
30211,20,13,7
30226,20,15,5
30236,20,16,4
30329,20,15,5
30363,20,10,10
30389,20,13,7
30406,20,9,11
30415,20,9,11
30478,20,12,8
30562,20,13,7
30578,20,11,9
30585,20,16,4
30592,20,14,6
30630,20,10,10
30673,20,16,4
30718,20,15,5
30743,20,11,9
30784,20,12,8
30827,20,13,7
30864,20,11,9
30884,20,13,7
30916,20,7,13
30024,21,17,4
30042,21,19,2
30072,21,12,9
30077,21,10,11
30088,21,11,10
30092,21,13,8
30122,21,17,4
30131,21,11,10
30154,21,8,13
30174,21,18,3
30220,21,13,8
30221,21,16,5
30223,21,10,11
30239,21,7,14
30243,21,11,10
30267,21,12,9
30284,21,9,12
30293,21,6,15
30308,21,11,10
30317,21,14,7
30404,21,9,12
30421,21,12,9
30434,21,10,11
30450,21,16,5
30451,21,6,15
30457,21,11,10
30464,21,5,16
30487,21,11,10
30499,21,13,8
30530,21,11,10
30537,21,12,9
30557,21,11,10
30573,21,11,10
30607,21,9,12
30610,21,13,8
30615,21,11,10
30618,21,12,9
30653,21,10,11
30695,21,11,10
30705,21,16,5
30708,21,8,13
30720,21,13,8
30746,21,16,5
30770,21,13,8
30806,21,15,6
30825,21,11,10
30831,21,13,8
30853,21,16,5
30854,21,14,7
30860,21,9,12
30895,21,9,12
30914,21,3,18
30929,21,13,8
30003,22,8,14
30026,22,15,7
30040,22,17,5
30054,22,16,6
30085,22,14,8
30121,22,13,9
30149,22,20,2
30155,22,10,12
30164,22,14,8
30185,22,22,0
30199,22,12,10
30217,22,11,11
30227,22,11,11
30228,22,22,0
30247,22,10,12
30249,22,17,5
30261,22,13,9
30280,22,11,11
30285,22,18,4
30297,22,7,15
30301,22,10,12
30323,22,15,7
30417,22,19,3
30419,22,10,12
30425,22,11,11
30432,22,17,5
30480,22,13,9
30517,22,13,9
30521,22,12,10
30532,22,18,4
30533,22,11,11
30539,22,15,7
30547,22,4,18
30551,22,12,10
30575,22,18,4
30589,22,11,11
30614,22,8,14
30621,22,11,11
30626,22,16,6
30651,22,14,8
30663,22,15,7
30678,22,14,8
30689,22,13,9
30704,22,13,9
30734,22,10,12
30747,22,8,14
30749,22,8,14
30774,22,11,11
30791,22,16,6
30799,22,17,5
30801,22,14,8
30808,22,9,13
30816,22,10,12
30826,22,14,8
30867,22,17,5
30871,22,10,12
30875,22,20,2
30882,22,18,4
30885,22,12,10
30903,22,18,4
30912,22,12,10
30920,22,17,5
30025,23,14,9
30029,23,15,8
30033,23,14,9
30046,23,10,13
30076,23,14,9
30081,23,1,22
30090,23,20,3
30097,23,17,6
30109,23,13,10
30129,23,17,6
30141,23,14,9
30177,23,15,8
30181,23,9,14
30184,23,17,6
30205,23,15,8
30212,23,14,9
30222,23,18,5
30238,23,14,9
30266,23,18,5
30291,23,18,5
30298,23,16,7
30299,23,14,9
30304,23,18,5
30309,23,15,8
30324,23,15,8
30334,23,6,17
30342,23,16,7
30349,23,17,6
30359,23,18,5
30366,23,14,9
30374,23,14,9
30385,23,17,6
30394,23,18,5
30405,23,16,7
30431,23,13,10
30442,23,13,10
30447,23,13,10
30493,23,17,6
30504,23,12,11
30534,23,16,7
30536,23,15,8
30541,23,5,18
30561,23,22,1
30576,23,18,5
30593,23,7,16
30596,23,8,15
30608,23,17,6
30643,23,4,19
30670,23,10,13
30671,23,9,14
30675,23,14,9
30683,23,12,11
30706,23,10,13
30713,23,14,9
30777,23,8,15
30792,23,7,16
30803,23,14,9
30839,23,15,8
30845,23,16,7
30849,23,18,5
30876,23,16,7
30894,23,8,15
30904,23,12,11
30910,23,11,12
